,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2018-05-29,SS,0,삼성,승리, 14:4,0,1.0,1,1,1.00,5,5,2,1,0,0,0,0,0,1,22,2.00,0.400,0.400,1.000,9.00,0.02,-0.37,0.000,,,7+일
1,2018-06-20,SS,1,롯데,패배, 11:4,0,1.0,2,2,2.00,8,6,3,0,0,0,2,0,0,1,33,3.50,0.455,0.538,1.083,13.50,0.02,-1.37,-0.002,,,7+일
2,2019-03-23,SS,0,SK,패배, 4:7,0,1.0,1,0,1.00,4,2,0,0,0,0,2,0,0,0,18,2.00,0.000,0.500,0.500,0.00,0.23,-0.48,-0.027,,,7+일
3,2022-04-02,SS,0,키움,승리, 7:2,0,1.0,1,1,1.00,5,5,2,1,0,0,0,0,0,1,13,2.00,0.400,0.400,1.000,9.00,0.13,-0.49,0.003,,,7+일
4,2022-04-10,SS,1,두산,패배, 4:3,0,0.0,2,1,1.30,2,2,2,1,0,0,0,0,0,0,6,4.00,0.571,0.571,1.428,18.00,1.23,-1.41,-0.132,,,7+일
5,2022-04-15,SS,1,KT,승리, 7:9,0,0.1,3,2,2.15,5,2,1,0,0,0,3,0,0,0,20,6.00,0.556,0.667,1.445,27.00,0.57,-2.23,-0.099,,,5일
6,2022-05-04,SS,0,KT,승리, 5:0,0,0.2,0,0,0.00,4,3,1,0,0,0,1,0,0,1,21,5.00,0.500,0.625,1.292,18.00,0.14,0.10,0.003,,,7+일
7,2022-07-23,SS,1,KIA,패배, 9:3,0,0.1,2,2,2.00,4,2,1,1,0,0,2,0,0,1,21,5.57,0.500,0.650,1.364,23.14,0.09,-2.19,-0.012,,,7+일
8,2023-04-22,SS,0,NC,승리, 10:6,0,0.1,3,3,2.50,5,3,2,1,0,0,2,0,0,1,21,12.00,0.667,0.800,1.800,81.00,0.75,-2.45,-0.123,,,7+일
9,2023-04-23,SS,0,NC,승리, 5:3,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,0,15,3.75,0.429,0.556,1.127,20.25,0.15,0.52,0.006,,W,1일
10,2023-04-26,SS,1,한화,승리, 1:8,0,1.0,0,0,0.00,5,4,1,0,0,0,1,0,0,0,17,3.00,0.364,0.500,0.955,11.57,0.02,0.52,0.001,,,3일
11,2023-05-03,SS,0,KIA,패배, 2:10,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,2,11,2.10,0.286,0.412,0.769,8.10,0.00,0.52,0.000,,,7일
12,2023-05-09,SS,1,두산,패배, 5:2,0,1.0,1,1,1.00,4,4,1,1,0,0,0,0,0,0,16,1.85,0.278,0.381,0.770,8.31,0.27,-0.48,-0.027,,,6일
13,2023-05-12,SS,0,KT,패배, 1:2,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,0,17,1.69,0.273,0.360,0.724,6.75,1.56,0.52,0.075,,,3일
14,2023-05-14,SS,0,KT,승리, 8:3,0,0.2,3,3,2.50,6,4,2,1,0,0,2,0,0,1,30,2.17,0.308,0.419,0.842,10.50,0.01,-1.96,-0.001,,,2일
15,2023-05-18,SS,0,한화,승리, 7:3,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,1,2.05,0.296,0.406,0.813,9.95,0.16,0.21,0.005,,,4일
16,2023-05-20,SS,1,SSG,패배, 5:0,0,3.0,0,0,0.00,12,12,3,1,0,0,0,0,0,1,36,1.71,0.282,0.364,0.749,6.75,0.07,1.57,0.012,,,2일
17,2023-05-25,SS,1,NC,승리, 1:11,0,1.0,1,1,1.00,5,5,2,2,0,0,0,0,0,0,12,1.74,0.295,0.367,0.799,6.97,0.02,-0.48,0.000,,,5일
18,2023-06-01,SS,0,LG,패배, 1:6,0,1.0,1,1,1.00,5,4,2,0,2,0,1,0,0,0,16,1.85,0.313,0.389,0.910,7.15,0.06,-0.48,-0.006,,,7일
19,2023-06-02,SS,1,KIA,승리, 2:14,0,2.0,0,0,0.00,7,7,1,0,0,0,0,0,0,3,27,1.65,0.291,0.361,0.834,6.08,0.01,1.05,0.000,,,1일
20,2023-06-06,SS,1,KT,패배, 4:1,0,0.0,0,0,0.35,1,1,1,0,0,0,0,0,0,0,1,1.73,0.304,0.371,0.853,6.08,0.39,-0.73,-0.023,,,4일
21,2023-06-08,SS,1,KT,패배, 7:6,0,2.0,0,0,0.00,8,6,0,0,0,0,2,0,0,3,33,1.63,0.274,0.357,0.792,5.28,2.42,1.05,0.275,,,2일
22,2023-06-10,SS,0,삼성,패배, 7:9,0,0.2,0,0,0.35,4,3,1,0,0,0,1,0,0,0,17,1.69,0.277,0.365,0.796,5.06,0.98,0.26,-0.008,,,2일
23,2023-06-13,SS,1,한화,승리, 5:7,0,1.0,0,0,0.00,5,4,1,0,0,0,1,1,0,1,17,1.71,0.275,0.367,0.787,4.76,2.93,0.52,0.121,,HD,3일
24,2023-06-15,SS,1,한화,패배, 5:4,0,0.2,0,0,0.00,3,2,0,0,0,0,1,0,0,0,15,1.70,0.268,0.366,0.774,4.58,1.12,0.98,0.047,,,2일
25,2023-06-20,SS,0,KT,패배, 2:5,0,0.1,0,0,0.85,3,3,2,0,0,0,0,0,0,0,15,1.78,0.284,0.376,0.795,4.50,0.43,-0.96,-0.054,,,5일
26,2023-06-24,SS,0,LG,패배, 1:9,0,2.0,0,0,0.00,9,8,2,0,0,0,1,0,0,2,30,1.75,0.280,0.372,0.774,4.05,0.00,1.05,0.000,,,4일
27,2023-06-28,SS,1,삼성,승리, 6:9,0,0.2,1,1,1.00,4,3,1,0,0,1,1,0,0,0,19,1.79,0.282,0.378,0.813,4.35,0.74,-0.69,-0.040,,,4일
28,2023-07-25,SS,0,두산,패배, 5:8,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,2,16,1.71,0.273,0.366,0.786,4.15,0.01,0.52,0.001,,,7+일
29,2023-07-27,SS,0,두산,승리, 9:1,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,3,20,1.68,0.264,0.362,0.769,3.97,0.02,0.52,0.002,,,2일
30,2023-07-29,SS,0,KIA,패배, 1:4,0,2.0,0,0,0.00,8,6,1,0,0,0,1,0,0,0,27,1.62,0.258,0.357,0.749,3.65,0.23,1.05,0.022,,,2일
31,2023-07-30,SS,0,KIA,패배, 3:6,0,0.1,3,3,1.45,4,2,1,1,0,0,2,0,0,0,15,1.72,0.263,0.371,0.775,4.68,0.28,-1.14,-0.021,,,1일
32,2023-08-03,SS,1,NC,패배, 8:1,0,0.1,4,4,3.65,5,5,4,2,1,0,0,0,0,0,18,1.86,0.288,0.388,0.850,6.04,0.19,-3.68,-0.019,,,4일
33,2023-08-09,SS,0,키움,패배, 8:10,0,1.2,4,4,3.50,11,8,4,2,0,0,3,0,0,1,54,2.00,0.304,0.409,0.891,7.00,0.22,-2.45,-0.029,,,6일
34,2023-10-12,SS,0,KIA,패배, 5:6,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,5,1.93,0.296,0.400,0.870,6.75,0.41,0.52,0.031,,,7+일
35,2023-10-14,SS,0,한화,패배, 0:8,0,1.0,1,1,1.00,7,6,3,0,0,0,1,0,0,0,25,2.00,0.306,0.408,0.879,6.83,0.31,-0.48,-0.017,,,2일
36,2024-03-23,SS,0,SSG,패배, 3:5,0,0.2,0,0,0.00,2,1,0,0,0,0,1,0,0,0,9,1.50,0.000,0.500,0.500,0.00,0.21,0.32,0.008,,,7+일
37,2024-03-27,SS,0,KIA,패배, 2:8,0,1.2,0,0,0.85,8,6,2,0,0,0,2,0,0,2,31,2.14,0.286,0.500,0.786,0.00,0.04,0.19,-0.009,,,4일
38,2024-04-16,SS,0,LG,패배, 2:7,0,0.1,1,1,2.20,3,3,2,1,0,0,0,0,0,0,18,2.63,0.400,0.538,1.038,3.38,0.15,-2.46,-0.051,,,7+일
39,2024-04-24,SS,1,SSG,패배, 12:7,0,1.0,2,2,2.00,5,4,2,0,1,0,0,0,0,0,14,2.45,0.429,0.500,1.143,7.36,0.11,-1.39,-0.025,,,7+일
40,2024-04-26,SS,0,NC,패배, 0:4,0,0.1,0,0,0.00,3,1,0,0,0,0,1,0,1,0,13,2.50,0.400,0.524,1.124,6.75,0.10,0.39,0.002,,,2일
41,2024-04-28,SS,0,NC,패배, 3:5,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,17,2.20,0.333,0.480,0.980,5.40,0.29,0.61,0.014,,,2일
42,2024-04-30,SS,1,키움,패배, 9:7,0,1.2,1,1,1.70,9,7,3,0,0,0,1,0,0,0,29,2.25,0.360,0.471,0.951,5.40,0.17,-0.78,-0.022,,,2일
43,2024-05-10,SS,1,LG,패배, 9:1,0,1.1,2,2,1.30,10,7,3,0,0,0,3,0,0,1,44,2.63,0.375,0.500,0.969,6.75,0.13,-0.70,-0.010,,,7+일
44,2024-05-18,SS,0,두산,패배, 3:8,0,1.0,0,0,0.00,3,3,1,0,0,0,0,0,0,0,9,2.44,0.371,0.489,0.946,6.00,0.06,0.61,0.003,,,7+일
45,2024-05-19,SS,0,두산,패배, 3:3,0,1.0,0,0,0.00,2,2,1,0,0,0,0,0,0,0,9,2.30,0.378,0.490,0.949,5.40,2.45,0.98,0.211,,,1일
46,2024-05-24,SS,1,삼성,패배, 11:5,0,0.2,1,1,2.85,4,4,2,2,0,0,0,0,0,1,17,2.34,0.390,0.491,1.003,5.91,0.24,-1.97,-0.039,,,5일
47,2024-05-26,SS,1,삼성,승리, 1:9,0,1.2,0,0,0.00,8,8,3,0,0,0,0,0,0,1,41,2.27,0.388,0.475,0.965,5.11,1.15,0.96,0.083,,W,2일
48,2024-05-28,SS,0,한화,패배, 3:12,0,1.2,0,0,0.00,6,5,0,0,0,0,1,0,0,1,25,2.07,0.352,0.448,0.892,4.50,0.00,1.46,0.000,,,2일
49,2024-06-01,SS,1,NC,패배, 4:2,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,1,3,2.02,0.345,0.441,0.877,4.40,0.90,0.91,0.023,,,4일
50,2024-06-02,SS,1,NC,승리, 4:13,0,2.1,0,0,0.00,9,8,1,0,0,0,1,0,0,4,34,1.86,0.317,0.416,0.813,3.78,0.52,1.77,0.088,,W,1일
51,2024-06-05,SS,0,KIA,승리, 9:3,0,1.0,1,1,1.00,5,5,2,1,0,0,0,0,0,0,17,1.87,0.324,0.415,0.827,4.08,0.34,-0.39,0.004,,,3일
52,2024-06-06,SS,0,KIA,패배, 4:5,0,0.2,1,1,1.70,3,3,1,0,0,1,0,0,0,1,14,1.85,0.324,0.412,0.863,4.42,1.58,-1.39,-0.240,BLHD,,1일
53,2024-06-07,SS,1,SSG,승리, 7:11,0,1.2,1,1,1.35,9,7,3,0,0,0,1,0,0,0,37,1.90,0.333,0.415,0.864,4.50,1.05,-0.38,-0.033,,W,1일
54,2024-06-11,SS,1,키움,패배, 5:2,0,1.0,1,1,1.00,6,5,3,0,0,0,1,0,0,1,19,2.00,0.349,0.430,0.888,4.71,0.24,0.61,-0.015,,,4일
55,2024-06-13,SS,1,키움,승리, 10:18,0,0.1,4,4,2.80,5,3,3,1,0,0,1,0,0,0,14,2.16,0.372,0.452,0.940,6.33,1.75,-2.55,-0.309,,,2일
56,2024-07-25,SS,1,LG,패배, 9:6,0,0.2,2,0,2.70,6,4,1,1,0,0,2,1,0,1,22,2.23,0.367,0.455,0.944,6.14,2.86,-2.39,-0.459,,,7+일
57,2024-07-26,SS,0,NC,패배, 2:9,0,1.0,4,4,4.70,7,6,4,0,0,2,0,0,0,2,19,2.30,0.385,0.466,1.029,7.43,0.24,-3.94,-0.050,,,1일
58,2024-07-30,SS,0,SSG,패배, 5:11,0,1.2,1,1,1.70,8,8,3,0,0,0,0,0,0,0,24,2.27,0.385,0.460,1.008,7.30,1.36,-0.46,-0.101,,,4일
