,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2008-10-09,SP,1,삼성,패배, 4:3,8.0,0.0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.222,0.276,0.259,0.535,0,,,,
1,2013-10-08,SP,1,두산,승리, 3:4,6.0,5.0,1,4,3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.282,0.361,0.44,0.801,14,0.97,-0.22,-0.031,
2,2013-10-09,SP,1,두산,승리, 2:3,6.0,5.0,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.28,0.36,0.438,0.798,20,1.83,-0.42,0.037,
3,2013-10-11,SP,0,두산,패배, 3:4,5.0,5.0,1,5,5,1,3,0,0,1,6,3,0,1,0,0,0,0,0,0,0,0.284,0.362,0.446,0.808,18,1.42,1.99,0.289,
4,2013-10-12,SP,0,두산,패배, 1:2,5.0,5.0,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.282,0.361,0.443,0.804,14,1.61,-1.0,-0.168,
5,2013-10-14,SP,1,두산,패배, 8:5,5.0,5.0,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.281,0.36,0.44,0.8,21,1.59,-0.45,-0.136,
6,2014-10-24,SP,0,LG,승리, 4:3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.349,0.45,0.799,0,,,,
7,2014-10-27,PO,1,LG,승리, 3:6,6.0,5.0,1,4,2,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0.293,0.353,0.45,0.803,22,1.38,1.76,0.055,
8,2014-10-28,PO,1,LG,패배, 9:2,6.0,5.0,1,4,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.292,0.354,0.448,0.802,18,0.36,0.34,-0.029,
9,2014-10-30,PO,0,LG,승리, 6:2,6.0,5.0,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.291,0.353,0.446,0.799,17,0.5,-0.48,0.011,
10,2014-10-31,PO,0,LG,승리, 12:2,6.0,5.0,1,5,3,2,3,1,0,1,7,7,0,0,1,0,0,0,0,0,1,0.296,0.357,0.459,0.816,18,1.13,4.78,0.359,
11,2014-11-04,KS,0,삼성,승리, 4:2,6.0,5.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.294,0.355,0.455,0.81,20,0.85,-1.12,-0.088,
12,2014-11-05,KS,0,삼성,패배, 1:7,6.0,5.0,1,3,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.294,0.354,0.456,0.81,10,0.36,0.29,0.013,
13,2014-11-07,KS,1,삼성,패배, 3:1,6.0,5.0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.294,0.354,0.455,0.809,18,1.08,-0.46,-0.048,
14,2014-11-08,KS,1,삼성,승리, 3:9,6.0,5.0,1,4,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.294,0.355,0.457,0.812,17,0.18,0.05,0.011,
15,2014-11-10,KS,0,삼성,패배, 1:2,6.0,5.0,1,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.297,0.357,0.458,0.815,13,0.67,0.2,0.018,
16,2014-11-11,KS,1,삼성,패배, 11:1,6.0,5.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.355,0.455,0.81,14,0.49,-0.28,-0.037,
17,2015-10-07,WC,1,SK,승리, 4:5,6.0,5.0,1,5,4,0,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0.305,0.36,0.468,0.828,20,1.39,0.61,0.152,
18,2015-10-10,SP,0,두산,패배, 3:4,6.0,5.0,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.305,0.361,0.467,0.828,19,0.83,0.03,0.009,
19,2015-10-11,SP,0,두산,패배, 2:3,6.0,5.0,1,4,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.305,0.36,0.467,0.827,24,1.75,-0.51,-0.104,
20,2015-10-13,SP,1,두산,승리, 2:5,6.0,5.0,1,4,3,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,1,0.305,0.359,0.468,0.827,18,0.68,0.26,-0.035,
21,2015-10-14,SP,1,두산,패배, 11:9,6.0,5.0,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.304,0.358,0.466,0.824,18,0.84,-1.07,-0.07,
22,2016-10-13,SP,1,LG,패배, 7:0,5.0,5.0,1,4,4,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0.307,0.368,0.502,0.87,17,1.26,-1.1,-0.086,
23,2016-10-14,SP,1,LG,승리, 1:5,6.0,5.0,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.307,0.367,0.5,0.867,12,0.4,-1.97,-0.007,
24,2016-10-16,SP,0,LG,패배, 1:4,5.0,10.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.305,0.364,0.496,0.86,16,1.81,-1.28,-0.138,
25,2016-10-17,SP,0,LG,패배, 4:5,6.0,5.0,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.303,0.364,0.493,0.857,14,1.53,-0.63,-0.106,
26,2018-10-16,WC,1,KIA,승리, 6:10,6.0,5.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.281,0.348,0.41,0.758,19,0.81,-1.57,-0.086,
27,2018-10-19,SP,0,한화,승리, 3:2,7.0,5.0,1,4,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.283,0.35,0.413,0.763,18,0.7,0.39,0.021,
