,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2017-10-25,KS,1,두산,패배, 5:3,8,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.22,0.281,0.29,0.571,12,0.73,-0.65,-0.059,
1,2017-10-26,KS,1,두산,승리, 0:1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.281,0.29,0.571,0,,,,
2,2017-10-28,KS,0,두산,승리, 6:3,9,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.279,0.288,0.567,20,0.92,-1.37,-0.077,
3,2017-10-29,KS,0,두산,승리, 5:1,8,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.219,0.279,0.288,0.567,12,0.61,-0.29,-0.039,
4,2017-10-30,KS,0,두산,승리, 7:6,8,2,1,4,3,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.22,0.281,0.291,0.572,16,0.5,0.43,0.002,
5,2018-10-16,WC,0,넥센,패배, 6:10,8,2,1,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.247,0.336,0.353,0.689,10,1.02,0.51,0.042,
6,2022-11-01,KS,1,키움,패배, 7:6,9,2,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.221,0.319,0.296,0.615,14,1.22,-0.57,-0.053,
7,2022-11-04,KS,0,키움,승리, 8:2,9,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.225,0.322,0.3,0.622,8,0.86,0.93,0.061,
8,2022-11-05,KS,0,키움,패배, 3:6,9,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.225,0.325,0.3,0.625,5,1.54,0.53,0.044,
9,2022-11-07,KS,1,키움,승리, 4:5,9,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.321,0.296,0.617,13,0.53,-0.54,-0.043,
10,2023-10-22,SP,1,NC,패배, 4:3,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.217,0.301,0.315,0.616,8,1.96,-0.46,-0.046,after
11,2023-10-23,SP,1,NC,패배, 7:3,9,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.216,0.302,0.312,0.614,17,1.49,0.17,-0.027,after
12,2023-10-25,SP,0,NC,패배, 6:7,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.215,0.301,0.311,0.612,5,1.86,-0.49,-0.042,after
