,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2019-10-03,WC,0,LG,패배, 1:3,6,10,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.277,0.306,0.38,0.686,12,2.63,0.45,0.082,
1,2022-10-16,SP,1,KT,승리, 4:8,6,3,1,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.271,0.318,0.298,0.616,10,0.88,0.38,0.006,after
2,2022-10-17,SP,1,KT,패배, 2:0,6,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.268,0.314,0.295,0.609,14,1.28,-0.75,-0.097,after
3,2022-10-19,SP,0,KT,승리, 9:2,6,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.265,0.311,0.292,0.603,11,0.22,-0.88,-0.024,after
4,2022-10-24,PO,0,LG,패배, 3:6,2,3,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.263,0.311,0.289,0.6,8,0.86,-0.51,-0.047,after
5,2022-10-25,PO,0,LG,승리, 7:6,6,3,1,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.266,0.313,0.292,0.605,32,0.84,-0.77,-0.016,after
6,2022-10-27,PO,1,LG,승리, 4:6,6,3,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.266,0.313,0.292,0.605,8,1.26,0.28,0.108,after
7,2022-10-28,PO,1,LG,승리, 1:4,6,3,1,4,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.27,0.315,0.295,0.61,17,1.29,-0.28,-0.071,after
8,2022-11-01,KS,0,SSG,승리, 7:6,6,4,1,4,3,2,1,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0.27,0.318,0.299,0.617,17,1.98,0.71,0.177,after
9,2022-11-02,KS,0,SSG,패배, 1:6,6,3,1,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.274,0.32,0.302,0.622,6,0.5,-0.41,-0.018,after
10,2022-11-04,KS,1,SSG,패배, 8:2,7,3,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.273,0.319,0.301,0.62,14,2.68,-2.1,-0.143,after
11,2022-11-05,KS,1,SSG,승리, 3:6,5,3,1,4,3,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.277,0.325,0.305,0.63,10,0.59,0.85,0.075,after
12,2022-11-07,KS,0,SSG,패배, 4:5,5,3,1,4,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.277,0.324,0.304,0.628,13,0.94,0.62,0.117,after
13,2022-11-08,KS,0,SSG,패배, 3:4,5,3,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.274,0.323,0.301,0.624,22,1.35,-0.36,-0.073,after
