,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2016-10-29,KS,1,NC,승리, 0:1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.356,0.407,0.763,0,,,,before
1,2016-10-30,KS,1,NC,승리, 1:5,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.356,0.407,0.763,0,,,,before
2,2016-11-01,KS,0,NC,승리, 6:0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.356,0.407,0.763,0,,,,before
3,2016-11-02,KS,0,NC,승리, 8:1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.356,0.407,0.763,0,,,,before
4,2017-10-17,PO,1,NC,패배, 13:5,9,6,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.26,0.317,0.36,0.677,13,1.67,0.24,0.012,before
5,2017-10-18,PO,1,NC,승리, 7:17,2,6,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.26,0.316,0.359,0.675,23,0.73,-0.89,-0.049,before
6,2017-10-20,PO,0,NC,승리, 14:3,2,6,1,5,2,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0.258,0.32,0.356,0.676,23,0.46,0.4,0.045,before
7,2017-10-21,PO,0,NC,승리, 14:5,2,6,1,5,4,0,1,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0.258,0.322,0.358,0.68,22,1.11,1.06,0.073,before
8,2017-10-25,KS,0,KIA,승리, 5:3,2,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.256,0.319,0.355,0.674,12,0.91,-0.89,-0.073,before
9,2017-10-29,KS,1,KIA,패배, 5:1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.319,0.355,0.674,0,,,,before
10,2017-10-30,KS,1,KIA,패배, 7:6,9,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.254,0.317,0.352,0.669,5,1.53,-1.59,-0.107,before
11,2018-11-05,KS,1,SK,승리, 3:7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.372,0.311,0.683,0,,,,before
12,2018-11-09,KS,0,SK,승리, 2:1,8,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.265,0.369,0.309,0.678,6,0.73,-0.4,-0.037,before
13,2018-11-10,KS,0,SK,패배, 1:4,8,3,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.263,0.369,0.306,0.675,10,1.27,-0.24,-0.028,before
14,2018-11-12,KS,1,SK,패배, 5:4,8,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.366,0.303,0.669,7,3.61,-0.92,-0.195,before
15,2019-10-22,KS,1,키움,승리, 6:7,8,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.248,0.321,0.284,0.605,8,2.05,-0.76,-0.094,before
16,2019-10-23,KS,1,키움,승리, 5:6,8,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0.321,0.284,0.605,0,2.92,0.15,0.064,before
17,2022-10-13,WC,0,KT,패배, 2:6,1,5,1,5,4,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.274,0.369,0.347,0.716,23,1.16,0.22,0.043,after
18,2024-10-13,PO,1,LG,승리, 4:10,9,3,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.259,0.343,0.325,0.668,19,0.3,0.11,-0.012,
19,2024-10-15,PO,1,LG,승리, 5:10,9,4,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.261,0.344,0.326,0.67,5,0.1,-0.09,-0.006,
20,2024-10-17,PO,0,LG,패배, 0:1,9,4,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.262,0.347,0.327,0.674,16,1.06,-0.04,-0.024,
21,2024-10-21,KS,0,KIA,패배, 1:5,9,4,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.262,0.346,0.326,0.672,17,0.9,0.63,0.066,
22,2024-10-23,KS,0,KIA,패배, 3:8,7,4,1,4,3,2,3,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0.269,0.353,0.339,0.692,18,0.17,1.37,0.037,
23,2024-10-25,KS,1,KIA,승리, 2:4,2,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.267,0.351,0.336,0.687,10,0.76,-0.87,-0.053,
24,2024-10-26,KS,1,KIA,패배, 9:2,2,4,1,3,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.268,0.351,0.336,0.687,7,0.61,0.08,0.028,
25,2024-10-28,KS,0,KIA,패배, 5:7,2,4,1,4,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.269,0.352,0.336,0.688,15,1.47,0.15,0.075,
