,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2013-10-08,SP,1,두산,승리, 3:4,4.0,3.0,1,3,2,2,1,0,0,1,4,1,0,0,2,0,1,0,0,0,0,0.319,0.439,0.608,1.047,21,1.11,1.28,0.146,
1,2013-10-09,SP,1,두산,승리, 2:3,4.0,3.0,1,5,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.316,0.439,0.604,1.043,16,1.36,-0.14,0.05,
2,2013-10-11,SP,0,두산,패배, 3:4,4.0,3.0,1,6,5,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.313,0.436,0.598,1.034,27,1.81,-0.68,-0.158,
3,2013-10-12,SP,0,두산,패배, 1:2,4.0,3.0,1,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.313,0.435,0.597,1.032,11,1.51,-0.76,-0.116,
4,2013-10-14,SP,1,두산,패배, 8:5,4.0,3.0,1,6,6,1,2,1,0,1,6,3,0,0,0,0,0,1,0,0,0,0.313,0.434,0.602,1.036,28,0.89,2.12,0.505,
5,2014-10-24,SP,0,LG,승리, 4:3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,0.433,0.686,1.119,0,,,,
6,2014-10-27,PO,1,LG,승리, 3:6,4.0,3.0,1,4,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.303,0.433,0.684,1.117,21,0.75,-0.32,-0.019,
7,2014-10-28,PO,1,LG,패배, 9:2,4.0,3.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.3,0.43,0.678,1.108,16,0.74,-0.87,-0.075,
8,2014-10-30,PO,0,LG,승리, 6:2,4.0,3.0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.3,0.429,0.674,1.103,14,0.44,-0.8,-0.021,
9,2014-10-31,PO,0,LG,승리, 12:2,4.0,3.0,1,5,4,3,3,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0.304,0.432,0.677,1.109,27,0.74,1.82,0.065,
10,2014-11-04,KS,0,삼성,승리, 4:2,4.0,3.0,1,4,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.303,0.434,0.676,1.11,13,1.49,0.81,0.114,
11,2014-11-05,KS,0,삼성,패배, 1:7,4.0,3.0,1,4,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.303,0.433,0.678,1.111,9,0.38,-0.1,-0.014,
12,2014-11-07,KS,1,삼성,패배, 3:1,4.0,3.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.3,0.43,0.673,1.103,18,0.96,-1.01,-0.097,
13,2014-11-08,KS,1,삼성,승리, 3:9,4.0,3.0,1,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.302,0.43,0.674,1.104,10,0.13,0.37,0.018,
14,2014-11-10,KS,0,삼성,패배, 1:2,4.0,3.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.299,0.428,0.668,1.096,17,0.91,-1.07,-0.093,
15,2014-11-11,KS,1,삼성,패배, 11:1,4.0,3.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.297,0.425,0.663,1.088,25,0.58,-1.36,-0.08,
16,2015-10-07,WC,1,SK,승리, 4:5,4.0,3.0,1,5,3,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0.341,0.435,0.71,1.145,21,1.48,-0.18,-0.058,
17,2015-10-10,SP,0,두산,패배, 3:4,4.0,3.0,1,4,2,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,1,0.341,0.436,0.715,1.151,13,1.58,1.05,0.226,
18,2015-10-11,SP,0,두산,패배, 2:3,4.0,3.0,1,4,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.34,0.435,0.711,1.146,20,2.1,-0.52,-0.063,
19,2015-10-13,SP,1,두산,승리, 2:5,4.0,3.0,1,4,2,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.34,0.437,0.71,1.147,20,0.77,0.31,0.018,
20,2015-10-14,SP,1,두산,패배, 11:9,4.0,3.0,1,5,4,2,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.341,0.438,0.714,1.152,19,0.48,1.38,0.062,
21,2018-10-16,WC,1,KIA,승리, 6:10,4.0,3.0,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.342,0.452,0.71,1.162,17,0.73,-1.49,-0.081,
22,2018-10-19,SP,0,한화,승리, 3:2,4.0,3.0,1,4,4,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.343,0.453,0.716,1.169,17,0.95,0.81,0.117,
23,2018-10-20,SP,0,한화,승리, 7:5,4.0,3.0,1,5,3,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.341,0.452,0.71,1.162,25,0.81,0.25,0.036,
24,2018-10-22,SP,1,한화,패배, 4:3,4.0,3.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.337,0.449,0.704,1.153,14,0.96,-0.25,-0.027,
25,2018-10-23,SP,1,한화,승리, 2:5,4.0,3.0,1,4,2,2,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.338,0.451,0.703,1.154,13,0.96,1.0,0.069,
26,2018-10-27,PO,0,SK,패배, 8:10,4.0,3.0,1,5,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.337,0.45,0.698,1.148,16,1.26,-0.26,-0.045,
27,2018-10-28,PO,0,SK,패배, 1:5,4.0,3.0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.334,0.447,0.692,1.139,17,1.3,-1.99,-0.165,
28,2018-10-30,PO,1,SK,승리, 2:3,4.0,3.0,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.332,0.446,0.687,1.133,20,1.06,0.23,-0.067,
29,2018-10-31,PO,1,SK,승리, 2:4,4.0,3.0,1,4,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.329,0.444,0.682,1.126,16,0.6,-0.66,-0.012,
30,2018-11-02,PO,0,SK,패배, 10:11,4.0,3.0,1,5,5,1,2,0,0,1,5,2,0,0,0,0,0,2,0,0,0,0.33,0.444,0.686,1.13,20,1.36,1.39,0.279,
31,2019-10-06,SP,1,LG,승리, 0:1,4.0,3.0,1,4,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.28,0.397,0.564,0.961,15,1.28,-1.14,0.289,
32,2019-10-07,SP,1,LG,승리, 4:5,4.0,3.0,1,5,5,1,1,0,0,1,4,2,0,0,0,0,0,3,0,0,0,0.279,0.396,0.567,0.963,23,2.53,-0.6,-0.179,
33,2019-10-09,SP,0,LG,패배, 2:4,4.0,3.0,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.279,0.394,0.564,0.958,22,1.03,1.34,0.015,
34,2019-10-10,SP,0,LG,승리, 10:5,4.0,3.0,1,5,3,1,3,0,0,1,6,2,0,0,2,0,1,0,0,0,0,0.283,0.4,0.574,0.974,11,1.31,3.76,0.272,
35,2019-10-14,PO,0,SK,승리, 3:0,4.0,3.0,1,6,4,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0.281,0.399,0.569,0.968,30,1.63,-0.6,-0.189,
36,2019-10-15,PO,0,SK,승리, 8:7,4.0,3.0,1,5,4,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.281,0.399,0.566,0.965,18,0.79,0.62,0.011,
37,2019-10-17,PO,1,SK,승리, 1:10,4.0,3.0,1,4,3,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0.281,0.4,0.564,0.964,14,0.65,0.53,0.042,
38,2019-10-22,KS,0,두산,패배, 6:7,4.0,3.0,1,5,4,1,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.283,0.402,0.566,0.968,22,2.03,1.89,0.129,
39,2019-10-23,KS,0,두산,패배, 5:6,4.0,3.0,1,4,4,1,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.283,0.401,0.565,0.966,14,0.88,0.52,0.138,
40,2019-10-25,KS,1,두산,패배, 5:0,4.0,3.0,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.284,0.402,0.565,0.967,16,0.74,0.42,0.026,
41,2019-10-26,KS,1,두산,패배, 11:9,4.0,3.0,1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.28,0.398,0.558,0.956,20,1.15,-0.68,-0.051,
42,2020-11-02,WC,0,LG,패배, 3:4,4.0,3.0,1,6,5,2,2,0,0,1,5,1,0,0,1,0,0,3,0,0,0,0.226,0.355,0.459,0.814,29,2.05,0.43,0.099,
43,2021-11-01,WC,0,두산,승리, 7:4,4.0,3.0,1,5,4,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0.23,0.324,0.431,0.755,23,1.06,0.64,0.064,
44,2021-11-02,WC,0,두산,패배, 8:16,4.0,10.0,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.23,0.322,0.428,0.75,12,0.64,-1.77,-0.127,
45,2022-10-13,WC,1,KIA,승리, 2:6,4.0,10.0,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.273,0.348,0.556,0.904,12,0.91,-1.29,-0.103,before
46,2022-10-16,SP,0,키움,패배, 4:8,4.0,10.0,1,4,4,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.275,0.349,0.562,0.911,15,1.36,0.87,0.081,before
