,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2017-10-08,SP,1,NC,패배, 9:2,8,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0.312,0.316,0.628,1,0.02,-0.21,0.0,before
1,2017-10-09,SP,1,NC,승리, 0:1,9,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.234,0.309,0.313,0.622,16,1.19,-1.23,-0.088,before
2,2017-10-11,SP,0,NC,패배, 6:13,9,6,1,5,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.234,0.308,0.311,0.619,13,1.79,-0.87,-0.07,before
3,2017-10-13,SP,0,NC,승리, 7:1,9,5,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.234,0.307,0.311,0.618,16,0.83,0.05,0.093,before
4,2017-10-15,SP,1,NC,패배, 9:0,9,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0.306,0.31,0.616,3,1.21,-0.4,-0.034,before
5,2021-11-15,KS,1,두산,승리, 1:6,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.234,0.332,0.297,0.629,5,0.01,-0.11,0.0,after
6,2021-11-17,KS,0,두산,승리, 3:1,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0.33,0.295,0.625,1,0.29,-0.26,-0.008,after
7,2021-11-18,KS,0,두산,승리, 8:4,8,4,1,4,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0.233,0.329,0.311,0.64,13,0.43,-0.15,-0.001,after
8,2022-10-16,SP,0,키움,패배, 4:8,7,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.252,0.23,0.482,4,3.88,-0.5,-0.107,after
9,2022-10-17,SP,0,키움,승리, 2:0,9,6,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.183,0.252,0.23,0.482,12,0.64,-0.48,-0.018,after
10,2022-10-19,SP,1,키움,패배, 9:2,9,5,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.18,0.248,0.227,0.475,12,0.08,-0.23,-0.004,after
11,2022-10-20,SP,1,키움,승리, 6:9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.248,0.227,0.475,0,,,,after
12,2022-10-22,SP,0,키움,패배, 3:4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.248,0.227,0.475,0,,,,after
13,2023-11-03,PO,0,NC,승리, 11:2,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.36,0.291,0.651,1,0.0,-0.1,0.0,after
14,2023-11-07,KS,0,LG,승리, 3:2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.36,0.291,0.651,0,,,,after
15,2023-11-08,KS,0,LG,패배, 4:5,8,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.355,0.286,0.641,12,0.4,-0.26,-0.01,after
16,2023-11-10,KS,1,LG,패배, 8:7,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0.355,0.286,0.641,0,7.15,0.6,0.208,after
17,2023-11-11,KS,1,LG,패배, 15:4,2,6,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.207,0.359,0.293,0.652,10,0.01,0.32,0.0,after
