,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2016-10-10,WC,1,KIA,패배, 4:2,9,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.275,0.296,0.422,0.718,6,1.15,-0.22,-0.029,before
1,2016-10-11,WC,1,KIA,승리, 0:1,7,3,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.274,0.295,0.418,0.713,19,2.02,-1.09,-0.157,before
2,2016-10-13,SP,0,넥센,승리, 7:0,7,3,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.27,0.294,0.412,0.706,16,0.49,-0.77,0.008,before
3,2016-10-16,SP,1,넥센,승리, 1:4,7,3,1,4,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.271,0.298,0.411,0.709,7,1.09,0.69,0.028,before
4,2016-10-17,SP,1,넥센,승리, 4:5,7,3,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.272,0.298,0.41,0.708,13,1.99,-0.4,-0.021,before
5,2016-10-21,PO,0,NC,패배, 2:3,7,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.297,0.408,0.705,1,0.45,-0.39,-0.013,before
6,2016-10-22,PO,0,NC,패배, 0:2,7,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.267,0.293,0.403,0.696,13,1.45,-1.32,-0.143,before
7,2016-10-24,PO,1,NC,승리, 1:2,7,11,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.27,0.296,0.405,0.701,2,4.11,-1.65,0.156,before
8,2021-11-01,WC,1,키움,패배, 7:4,5,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.27,0.335,0.486,0.821,24,1.33,-0.86,-0.128,after
9,2021-11-02,WC,1,키움,승리, 8:16,5,3,1,5,5,1,3,0,0,0,3,4,1,0,0,0,0,1,0,0,0,0.274,0.337,0.487,0.824,21,0.5,3.65,0.193,after
10,2021-11-04,SP,0,LG,승리, 5:1,5,3,1,5,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.273,0.336,0.486,0.822,18,1.01,-1.57,-0.123,after
11,2021-11-05,SP,1,LG,패배, 9:3,5,3,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.27,0.333,0.481,0.814,21,1.0,-1.68,-0.12,after
12,2021-11-07,SP,0,LG,승리, 10:3,5,3,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.27,0.332,0.479,0.811,17,0.4,-0.55,-0.063,after
13,2021-11-09,PO,0,삼성,승리, 6:4,5,3,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.269,0.331,0.477,0.808,18,1.04,-1.36,-0.12,after
14,2021-11-10,PO,1,삼성,승리, 3:11,5,3,1,5,4,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0.269,0.33,0.475,0.805,22,0.44,-0.19,-0.003,after
15,2021-11-14,KS,0,KT,패배, 2:4,5,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.267,0.328,0.471,0.799,20,1.47,-1.84,-0.191,after
16,2021-11-15,KS,0,KT,패배, 1:6,6,3,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.266,0.327,0.469,0.796,17,0.67,-0.58,-0.018,after
17,2021-11-17,KS,1,KT,패배, 3:1,6,3,1,4,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.267,0.328,0.469,0.797,21,0.76,-0.21,-0.009,after
18,2021-11-18,KS,1,KT,패배, 8:4,6,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.265,0.326,0.465,0.791,17,0.63,-0.01,-0.069,after
19,2023-10-19,WC,0,NC,패배, 9:14,5,3,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.278,0.33,0.45,0.78,13,1.05,-1.52,-0.158,after
20,2024-10-02,WC,1,KT,패배, 4:0,5,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.244,0.314,0.484,0.798,17,1.08,-1.8,-0.117,after
21,2024-10-03,WC,1,KT,패배, 1:0,5,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.244,0.314,0.483,0.797,10,0.93,0.13,0.006,after
