,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2022-10-13,WC,1,KIA,승리, 2:6,6,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.234,0.324,0.343,0.667,6,1.12,0.44,0.009,after
1,2022-10-17,SP,0,키움,승리, 2:0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,0.324,0.343,0.667,0,,,,after
2,2022-10-19,SP,1,키움,패배, 9:2,8,4,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.24,0.328,0.347,0.675,13,0.03,0.93,0.003,after
3,2022-10-20,SP,1,키움,승리, 6:9,8,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.238,0.326,0.345,0.671,10,1.04,-1.02,-0.08,after
4,2022-10-22,SP,0,키움,패배, 3:4,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.325,0.344,0.669,4,2.12,-0.17,-0.053,after
5,2023-10-30,PO,1,NC,패배, 9:5,6,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.255,0.317,0.39,0.707,5,0.26,0.68,0.012,after
6,2023-10-31,PO,1,NC,패배, 3:2,9,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.254,0.314,0.388,0.702,6,6.71,-1.13,-0.332,after
7,2023-11-03,PO,0,NC,승리, 11:2,7,4,1,5,5,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.262,0.32,0.393,0.713,27,0.4,1.46,0.1,after
8,2023-11-05,PO,1,NC,승리, 2:3,7,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.319,0.391,0.71,6,1.08,-0.26,-0.027,after
9,2023-11-07,KS,0,LG,승리, 3:2,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,0.317,0.389,0.706,6,1.16,-0.39,-0.032,after
10,2023-11-08,KS,0,LG,패배, 4:5,8,4,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.262,0.319,0.39,0.709,7,0.55,0.19,0.009,after
11,2023-11-10,KS,1,LG,패배, 8:7,8,4,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.261,0.32,0.389,0.709,11,1.18,-0.05,-0.016,after
12,2023-11-11,KS,1,LG,패배, 15:4,8,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.256,0.315,0.381,0.696,15,0.4,-1.64,-0.043,after
13,2024-10-02,WC,0,두산,승리, 4:0,6,3,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0.29,0.368,0.483,0.851,17,0.47,0.32,-0.006,after
14,2024-10-03,WC,0,두산,승리, 1:0,6,4,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.289,0.366,0.478,0.844,19,0.94,-0.54,-0.047,after
15,2024-10-05,SP,0,LG,승리, 3:2,6,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.359,0.467,0.826,14,0.59,-0.84,-0.06,after
16,2024-10-06,SP,0,LG,패배, 2:7,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.357,0.465,0.822,3,0.27,-0.29,-0.007,after
17,2024-10-08,SP,1,LG,패배, 6:5,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.28,0.355,0.462,0.817,5,0.31,-0.13,-0.008,after
18,2024-10-09,SP,1,LG,승리, 5:6,8,3,1,5,5,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.283,0.356,0.461,0.817,14,1.67,0.39,0.074,after
19,2024-10-11,SP,0,LG,패배, 1:4,8,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.284,0.356,0.459,0.815,14,1.34,-0.48,-0.065,after
