,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2012-10-08,SP,1,롯데,패배, 8:5,5,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0.23,0.347,0.577,0,,,,
1,2012-10-11,SP,0,롯데,승리, 7:2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0.229,0.346,0.575,0,,,,
2,2013-10-08,SP,0,넥센,패배, 3:4,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,0.403,0.475,0.878,5,2.31,-0.57,-0.101,
3,2013-10-09,SP,0,넥센,패배, 2:3,8,11,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.294,0.4,0.471,0.871,1,4.01,0.05,0.077,
4,2013-10-11,SP,1,넥센,승리, 3:4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.4,0.471,0.871,0,,,,
5,2013-10-12,SP,1,넥센,승리, 1:2,4,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.294,0.404,0.471,0.875,4,0.83,0.3,0.021,
6,2013-10-14,SP,0,넥센,승리, 8:5,4,3,1,4,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.289,0.407,0.463,0.87,23,0.57,0.19,0.001,
7,2013-10-16,PO,0,LG,승리, 4:2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0.407,0.463,0.87,0,,,,
8,2013-10-19,PO,1,LG,승리, 4:5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0.407,0.463,0.87,0,,,,
9,2013-10-20,PO,1,LG,승리, 1:5,4,3,1,4,3,1,1,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0.29,0.409,0.476,0.885,23,0.59,0.92,0.018,
10,2013-10-24,KS,0,삼성,승리, 7:2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.409,0.476,0.885,0,,,,
11,2013-10-25,KS,0,삼성,승리, 5:1,4,3,0,2,2,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.294,0.41,0.5,0.91,7,1.8,0.83,0.336,
12,2013-10-27,KS,1,삼성,패배, 3:2,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.408,0.496,0.904,2,2.58,-0.36,-0.061,
13,2013-10-28,KS,1,삼성,승리, 1:2,5,3,1,4,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0.287,0.41,0.488,0.898,23,0.55,-0.08,-0.01,
14,2013-10-29,KS,1,삼성,패배, 7:5,5,3,1,4,4,0,1,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0.286,0.406,0.489,0.895,19,1.14,1.28,0.149,
15,2013-10-31,KS,0,삼성,패배, 2:6,5,3,1,5,3,0,2,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0.294,0.418,0.5,0.918,19,1.18,1.51,0.091,
16,2013-11-01,KS,0,삼성,패배, 3:7,6,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.288,0.41,0.489,0.899,18,1.36,-1.21,-0.104,
17,2015-10-10,SP,1,넥센,승리, 3:4,8,3,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.29,0.386,0.59,0.976,8,2.05,-0.42,-0.101,
18,2015-10-11,SP,1,넥센,승리, 2:3,8,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.384,0.587,0.971,8,0.74,-0.42,-0.018,
19,2015-10-13,SP,0,넥센,패배, 2:5,5,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.382,0.584,0.966,4,0.95,-0.38,-0.024,
20,2015-10-14,SP,0,넥센,승리, 11:9,3,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.286,0.385,0.584,0.969,4,2.18,0.73,0.084,
21,2015-10-18,PO,0,NC,승리, 7:0,8,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.28,0.378,0.571,0.949,22,0.26,-0.63,-0.018,
22,2015-10-19,PO,0,NC,패배, 1:2,8,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.277,0.375,0.565,0.94,9,1.49,-0.71,-0.072,
23,2015-10-21,PO,1,NC,패배, 16:2,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.373,0.563,0.936,3,0.0,-0.12,0.0,
24,2015-10-22,PO,1,NC,승리, 0:7,8,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.372,0.56,0.932,4,2.07,-0.66,-0.061,
25,2015-10-24,PO,0,NC,승리, 6:4,8,3,1,4,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.27,0.37,0.551,0.921,17,1.3,-0.54,-0.048,
26,2015-10-26,KS,0,삼성,패배, 8:9,8,3,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.266,0.368,0.543,0.911,15,0.28,-0.12,0.003,
