,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2020-11-02,WC,0,LG,패배, 3:4,9,5,1,5,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.235,0.311,0.354,0.665,23,1.72,0.04,0.016,after
1,2021-11-01,WC,0,두산,승리, 7:4,7,5,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.185,0.319,0.306,0.625,13,1.21,-0.75,-0.034,after
2,2021-11-02,WC,0,두산,패배, 8:16,7,5,1,4,4,1,2,2,0,0,4,1,0,0,0,0,0,1,0,0,0,0.191,0.322,0.318,0.64,15,0.27,1.87,-0.018,after
3,2022-10-16,SP,1,KT,승리, 4:8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0.288,0.315,0.603,0,,,,after
4,2022-10-17,SP,1,KT,패배, 2:0,8,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.207,0.291,0.318,0.609,6,1.36,0.21,0.036,after
5,2022-10-19,SP,0,KT,승리, 9:2,6,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.289,0.315,0.604,5,0.01,-0.46,-0.001,after
6,2022-10-22,SP,1,KT,승리, 3:4,7,3,1,4,4,0,1,0,1,0,3,1,0,0,0,0,0,3,0,0,0,0.206,0.288,0.324,0.612,15,1.04,0.08,0.028,after
7,2022-10-24,PO,0,LG,패배, 3:6,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.205,0.287,0.322,0.609,9,0.97,-0.37,-0.022,after
8,2022-10-28,PO,1,LG,승리, 1:4,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.287,0.322,0.609,0,,,,after
9,2022-11-01,KS,0,SSG,승리, 7:6,8,3,0,2,2,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0.213,0.293,0.343,0.636,7,4.26,2.55,0.951,after
10,2022-11-02,KS,0,SSG,패배, 1:6,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.212,0.292,0.341,0.633,5,0.04,-0.2,-0.001,after
11,2022-11-04,KS,1,SSG,패배, 8:2,2,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.21,0.289,0.338,0.627,8,0.42,-0.85,-0.023,after
12,2022-11-05,KS,1,SSG,승리, 3:6,2,3,1,4,4,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.215,0.293,0.346,0.639,18,0.47,0.53,0.088,after
13,2022-11-07,KS,0,SSG,패배, 4:5,2,10,1,5,4,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0.211,0.291,0.339,0.63,22,0.55,-1.32,-0.054,after
14,2022-11-08,KS,0,SSG,패배, 3:4,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.209,0.289,0.336,0.625,13,1.16,-0.72,-0.069,after
15,2024-10-15,PO,1,LG,승리, 5:10,9,4,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.223,0.315,0.402,0.717,12,0.4,0.16,0.006,
16,2024-10-19,PO,0,LG,승리, 1:0,8,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.217,0.308,0.391,0.699,16,1.18,-1.04,-0.095,
17,2024-10-23,KS,0,KIA,패배, 3:8,8,5,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.216,0.311,0.388,0.699,10,0.38,-0.03,-0.001,
18,2024-10-26,KS,1,KIA,패배, 9:2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.309,0.385,0.694,2,0.08,-0.29,-0.002,
