,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2016-10-13,SP,1,LG,패배, 7:0,0,1.0,2,2,2.0,5,4,2,1,0,0,0,0,0,1,16,1.51,0.271,0.342,0.753,4.8,0.25,-1.36,-0.049,,,6일,before
1,2016-10-16,SP,0,LG,패배, 1:4,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,2,17,1.5,0.268,0.341,0.748,4.74,0.13,0.64,0.006,,,3일,before
2,2016-10-17,SP,0,LG,패배, 4:5,0,1.1,0,0,0.85,7,6,1,0,0,0,0,0,1,1,24,1.49,0.266,0.34,0.742,4.66,2.46,0.04,-0.023,BLHD,,1일,before
3,2018-10-16,WC,1,KIA,승리, 6:10,0,1.0,0,0,0.0,4,3,0,0,0,0,0,0,1,1,9,1.34,0.247,0.322,0.741,5.08,0.26,0.63,0.014,,,3일,before
4,2018-10-19,SP,0,한화,승리, 3:2,0,1.2,0,0,0.0,6,6,1,0,0,0,0,0,0,2,26,1.32,0.244,0.319,0.731,4.94,4.59,1.8,0.442,,SV,3일,before
5,2018-10-20,SP,0,한화,승리, 7:5,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,13,1.3,0.241,0.315,0.721,4.85,1.19,0.63,0.091,,SV,1일,before
6,2018-10-27,PO,0,SK,패배, 8:10,0,0.2,2,2,2.0,4,3,1,0,0,1,1,0,0,0,18,1.32,0.242,0.318,0.737,5.1,2.54,0.91,-0.312,,L,7일,before
7,2018-10-30,PO,1,SK,승리, 2:3,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,9,1.3,0.239,0.314,0.727,5.02,2.13,0.63,0.162,,SV,3일,before
8,2018-10-31,PO,1,SK,승리, 2:4,0,0.2,0,0,0.0,3,3,1,1,0,0,0,0,0,0,21,1.3,0.24,0.314,0.73,4.96,0.9,0.34,0.035,,SV,1일,before
9,2018-11-02,PO,0,SK,패배, 10:11,0,0.2,2,2,2.0,5,4,2,1,0,0,1,0,0,0,19,1.33,0.245,0.32,0.742,5.2,0.12,-1.66,-0.021,,,2일,before
10,2019-10-06,SP,1,LG,승리, 0:1,0,1.0,0,0,0.0,3,2,0,0,0,0,1,0,0,0,10,1.37,0.238,0.336,0.646,2.97,1.89,0.52,0.107,,,5일,before
11,2019-10-09,SP,0,LG,패배, 2:4,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,0,15,1.36,0.238,0.335,0.657,3.07,0.27,-0.48,-0.058,,,3일,before
12,2019-10-14,PO,0,SK,승리, 3:0,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,14,1.36,0.239,0.333,0.654,3.02,1.94,0.52,0.137,,,5일,before
13,2019-10-15,PO,0,SK,승리, 8:7,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,2,18,1.35,0.239,0.332,0.665,3.12,1.14,-0.48,-0.108,BLHD,,1일,before
14,2019-10-17,PO,1,SK,승리, 1:10,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,14,1.33,0.236,0.328,0.657,3.06,0.01,0.52,0.001,,,2일,before
15,2019-10-23,KS,0,두산,패배, 5:6,0,0.1,1,0,1.0,4,3,1,0,0,0,1,0,0,1,16,1.35,0.237,0.331,0.66,3.05,1.46,-1.67,-0.198,,,6일,before
16,2019-10-26,KS,1,두산,패배, 11:9,0,0.2,0,0,1.55,4,3,1,0,0,0,0,0,1,1,12,1.36,0.238,0.333,0.662,3.02,3.39,-1.35,-0.208,BLHD,,3일,before
17,2020-11-02,WC,0,LG,패배, 3:4,0,0.1,2,2,0.95,3,3,2,1,0,0,0,0,0,0,9,1.45,0.271,0.347,0.729,5.05,4.24,-0.72,-0.259,,L,7+일,before
