,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2019-10-07,SP,1,LG,승리, 4:5,0,0.2,0,0,0.0,3,3,1,0,0,0,0,0,0,0,5,1.43,0.284,0.334,0.727,4.46,1.11,0.94,0.041,,,6일,before
1,2019-10-09,SP,0,LG,패배, 2:4,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,1,16,1.42,0.283,0.333,0.724,4.4,1.33,0.52,0.075,,,2일,before
2,2019-10-10,SP,0,LG,승리, 10:5,0,0.1,0,0,0.0,2,2,1,0,0,0,0,0,0,0,9,1.43,0.285,0.334,0.725,4.38,1.66,-0.01,-0.005,,HD,1일,before
3,2019-10-15,PO,0,SK,승리, 8:7,0,0.0,1,1,0.65,2,2,2,0,0,0,0,0,0,0,4,1.46,0.29,0.339,0.735,4.5,1.92,-1.48,-0.206,,,5일,before
4,2019-10-25,KS,1,두산,패배, 5:0,0,0.1,0,0,0.0,2,1,0,0,0,0,1,0,0,1,13,1.47,0.289,0.34,0.734,4.48,0.44,0.34,0.011,,,7+일,before
5,2019-10-26,KS,1,두산,패배, 11:9,0,0.1,2,2,0.95,3,3,2,1,0,0,0,0,0,0,6,1.49,0.293,0.343,0.744,4.71,0.81,-1.14,-0.082,,,1일,before
6,2020-11-02,WC,0,LG,패배, 3:4,0,0.1,0,0,1.05,4,3,2,0,0,0,1,1,0,0,16,1.48,0.287,0.356,0.719,4.2,6.46,0.3,-0.541,BLSV,,7+일,before
7,2021-11-01,WC,0,두산,승리, 7:4,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,0,6,1.43,0.247,0.333,0.633,3.18,2.4,0.79,0.124,,,2일,before
8,2022-10-16,SP,1,KT,승리, 4:8,0,0.0,2,2,1.3,2,2,2,0,0,1,0,0,0,0,7,1.44,0.264,0.346,0.73,3.56,0.76,-1.41,-0.088,,,7+일,before
9,2022-10-19,SP,0,KT,승리, 9:2,0,1.0,1,1,1.0,5,5,2,0,0,0,0,0,0,1,22,1.45,0.268,0.347,0.731,3.68,0.04,-0.49,0.001,,,3일,before
10,2022-10-24,PO,0,LG,패배, 3:6,0,1.0,1,1,1.5,5,4,1,0,0,0,0,0,0,0,14,1.44,0.268,0.345,0.726,3.8,0.5,-0.83,-0.059,,,5일,before
11,2022-11-01,KS,0,SSG,승리, 7:6,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,0,6,1.42,0.265,0.342,0.718,3.74,0.85,0.7,0.043,,,7+일,before
12,2022-11-02,KS,0,SSG,패배, 1:6,0,1.0,1,1,1.0,5,5,2,0,0,1,0,0,0,1,19,1.44,0.269,0.343,0.737,3.86,0.08,-0.49,-0.012,,,1일,before
13,2022-11-04,KS,1,SSG,패배, 8:2,0,0.2,2,2,3.55,6,6,3,2,0,0,0,0,0,0,19,1.48,0.276,0.348,0.757,4.18,0.16,-3.26,-0.044,,,2일,before
14,2024-10-13,PO,1,LG,승리, 4:10,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,1,15,1.3,0.24,0.32,0.697,3.91,0.1,0.22,0.002,,,7+일,after
15,2024-10-15,PO,1,LG,승리, 5:10,0,1.0,1,1,2.2,4,4,1,0,0,1,0,0,0,2,14,1.3,0.24,0.319,0.708,4.0,0.03,-1.36,0.003,,,2일,after
16,2024-10-17,PO,0,LG,패배, 0:1,0,1.1,0,0,0.0,4,4,1,0,0,0,0,0,0,1,12,1.28,0.241,0.318,0.705,3.9,0.77,0.87,0.065,,,2일,after
17,2024-10-21,KS,0,KIA,패배, 1:5,0,0.1,1,1,0.85,2,1,1,0,0,0,0,0,0,0,6,1.29,0.244,0.321,0.711,4.04,3.41,-0.51,-0.113,,L,4일,after
18,2024-10-23,KS,0,KIA,패배, 3:8,0,1.0,1,0,1.0,4,3,1,0,0,0,0,0,0,0,14,1.29,0.245,0.32,0.709,3.97,0.02,-0.39,-0.002,,,2일,after
19,2024-10-28,KS,0,KIA,패배, 5:7,0,0.2,3,3,1.8,5,3,1,0,0,1,2,0,0,1,22,1.33,0.247,0.325,0.727,4.4,1.61,-0.65,-0.071,,,5일,after
