,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2012-10-24,KS,1,SK,승리, 1:3,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,0,8,1.1,0.188,0.289,0.586,1.8,,,,,HD,7+일,before
1,2012-10-28,KS,0,SK,패배, 8:12,0,0.1,0,0,0.0,2,1,0,0,0,0,1,0,0,0,11,1.12,0.187,0.292,0.587,1.79,,,,,HD,4일,before
2,2013-10-24,KS,1,두산,패배, 7:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,17,1.05,0.197,0.287,0.568,2.63,0.05,0.53,0.003,,,7+일,before
3,2013-10-25,KS,1,두산,패배, 5:1,0,0.1,3,0,3.0,5,4,2,0,0,0,1,0,0,1,19,1.1,0.203,0.295,0.581,2.61,0.77,-3.09,-0.164,,,1일,before
4,2013-10-28,KS,0,두산,패배, 1:2,0,0.1,0,0,0.0,2,2,1,0,0,0,0,0,0,1,9,1.12,0.207,0.297,0.585,2.6,0.35,0.21,0.007,,,3일,before
5,2013-10-31,KS,1,두산,승리, 2:6,0,1.1,0,0,0.0,6,5,1,0,0,0,1,0,0,1,20,1.13,0.206,0.298,0.584,2.53,1.29,0.45,0.021,,W,3일,before
6,2014-11-04,KS,1,넥센,패배, 4:2,0,1.1,0,0,0.0,4,3,0,0,0,0,1,0,0,2,26,1.74,0.275,0.39,0.854,6.58,0.38,0.93,0.036,,,7+일,before
7,2014-11-08,KS,0,넥센,패배, 3:9,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,4,1.73,0.273,0.388,0.849,6.53,0.0,0.29,0.0,,,4일,before
8,2014-11-11,KS,0,넥센,승리, 11:1,0,1.0,0,0,0.0,4,4,0,0,0,0,0,0,0,1,22,1.68,0.266,0.38,0.829,6.37,0.02,0.64,0.002,,,3일,before
9,2015-10-26,KS,1,두산,승리, 8:9,0,0.0,0,0,0.0,2,2,2,0,0,0,0,0,0,0,3,1.19,0.225,0.305,0.666,4.28,2.24,-1.04,-0.215,,,7+일,before
10,2015-10-27,KS,1,두산,패배, 6:1,0,0.1,1,1,1.0,4,0,0,0,0,0,1,0,1,0,13,1.2,0.225,0.309,0.67,4.39,0.3,-1.5,-0.031,,,1일,before
11,2015-10-29,KS,0,두산,패배, 1:5,0,1.0,2,1,2.0,6,4,1,0,0,0,2,0,0,1,25,1.22,0.225,0.313,0.673,4.46,0.7,-1.39,-0.095,,,2일,before
12,2015-10-31,KS,0,두산,패배, 2:13,0,0.2,0,0,1.2,4,3,1,1,0,0,1,0,0,0,15,1.24,0.227,0.315,0.678,4.41,0.13,-0.88,-0.011,,,2일,before
13,2021-11-10,PO,0,두산,패배, 3:11,0,1.1,1,1,1.0,7,4,1,0,0,0,3,0,0,1,30,1.58,0.238,0.365,0.781,5.13,0.02,-0.69,-0.001,,,7+일,before
