,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2016-10-24,PO,0,LG,패배, 1:2,1,1.0,1,1,1.0,8,3,0,0,0,0,5,0,0,0,38,1.5,0.238,0.349,0.699,4.54,1.69,-0.77,-0.089,44.0,,7+일,before
1,2016-11-02,KS,1,두산,패배, 8:1,0,0.1,1,1,1.0,3,3,2,0,0,0,0,0,0,0,12,1.52,0.242,0.352,0.705,4.64,0.01,-1.01,-0.001,,,7+일,before
2,2017-10-09,SP,0,롯데,패배, 0:1,1,7.0,1,0,1.0,29,24,3,1,0,0,5,0,0,4,110,1.51,0.262,0.35,0.764,5.03,0.93,3.24,0.215,68.0,L,6일,before
3,2017-10-17,PO,0,두산,승리, 13:5,1,3.2,4,4,4.0,18,16,6,1,0,1,2,0,0,7,73,1.52,0.265,0.353,0.773,5.15,1.33,-2.2,-0.32,38.0,,7+일,before
4,2017-10-21,PO,1,두산,패배, 14:5,0,0.2,1,1,1.0,6,2,1,0,0,0,1,0,2,1,22,1.53,0.266,0.356,0.777,5.19,1.3,-1.2,-0.096,,,4일,before
5,2022-10-13,WC,0,KT,패배, 2:6,0,0.1,0,0,1.55,2,2,1,1,0,0,0,0,0,0,9,1.55,0.268,0.35,0.755,3.1,0.85,-2.06,-0.108,,,6일,after
6,2024-10-21,KS,1,삼성,승리, 1:5,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,6,1.46,0.26,0.341,0.74,3.94,1.54,-0.58,-0.056,,,7+일,after
7,2024-10-23,KS,1,삼성,승리, 3:8,0,1.2,0,0,0.0,6,5,1,0,0,0,1,0,0,2,31,1.45,0.259,0.341,0.737,3.86,0.29,1.13,0.036,,,2일,after
8,2024-10-25,KS,0,삼성,패배, 2:4,0,1.0,0,0,0.0,3,2,0,0,0,0,0,0,0,0,4,1.44,0.258,0.339,0.732,3.81,1.28,1.06,0.079,,,2일,after
9,2024-10-26,KS,0,삼성,승리, 9:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,13,1.42,0.255,0.336,0.725,3.76,0.08,0.61,0.006,,,1일,after
10,2024-10-28,KS,1,삼성,승리, 5:7,0,1.1,0,0,0.0,5,3,0,0,0,0,1,0,0,0,17,1.41,0.252,0.335,0.72,3.7,1.89,0.38,0.049,,HD,2일,after
