,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2019-10-10,SP,0,LG,승리, 10:5,1,1.0,4,4,3.15,9,9,6,0,0,1,0,0,0,0,20,1.31,0.274,0.316,0.67,3.58,1.24,-3.58,-0.324,25,,7+일,before
1,2019-10-15,PO,0,SK,승리, 8:7,1,4.0,5,5,3.8,17,16,4,0,0,2,0,0,1,1,58,1.3,0.273,0.316,0.676,3.77,0.8,-2.04,-0.219,35,,5일,before
2,2019-10-26,KS,1,두산,패배, 11:9,1,2.0,3,3,3.0,10,9,4,1,0,0,1,0,0,1,33,1.31,0.275,0.319,0.682,3.89,0.87,-1.96,-0.213,36,,7+일,before
3,2021-11-02,WC,0,두산,패배, 8:16,0,1.2,4,3,3.15,10,10,4,1,0,0,0,0,0,1,39,1.52,0.289,0.356,0.75,4.72,0.14,-1.92,-0.012,,,7일,before
4,2022-10-16,SP,1,KT,승리, 4:8,0,1.0,1,1,1.7,5,4,1,1,0,0,1,0,0,1,17,1.27,0.234,0.311,0.647,3.8,2.33,-1.08,-0.064,,HD,7+일,before
5,2022-10-17,SP,1,KT,패배, 2:0,0,1.0,0,0,0.0,5,4,1,0,0,0,1,1,0,0,10,1.27,0.234,0.312,0.647,3.76,0.63,0.92,0.028,,,1일,before
6,2022-10-20,SP,0,KT,패배, 6:9,0,0.1,0,0,0.5,3,2,1,0,0,0,1,0,0,0,14,1.29,0.235,0.314,0.65,3.75,2.16,-0.59,-0.105,,,3일,before
7,2022-10-25,PO,0,LG,승리, 7:6,0,2.0,0,0,0.0,8,7,1,0,0,0,0,0,1,2,29,1.27,0.234,0.313,0.646,3.68,1.53,1.02,0.196,,HD,5일,before
8,2022-10-28,PO,1,LG,승리, 1:4,0,1.1,0,0,0.0,6,5,1,0,0,0,0,0,1,1,19,1.27,0.233,0.314,0.645,3.64,1.24,-0.27,0.031,,HD,3일,before
9,2022-11-01,KS,0,SSG,승리, 7:6,0,1.0,0,0,0.5,6,4,2,0,0,0,1,1,0,0,17,1.28,0.236,0.317,0.65,3.61,1.99,-0.74,-0.131,BLHD,,4일,before
10,2022-11-04,KS,1,SSG,패배, 8:2,0,1.1,1,0,0.3,5,5,0,0,0,0,0,0,0,2,18,1.27,0.233,0.313,0.642,3.56,1.5,0.48,0.089,,,3일,before
11,2022-11-05,KS,1,SSG,승리, 3:6,0,1.1,0,0,0.0,7,6,1,0,0,0,1,0,0,1,35,1.27,0.232,0.313,0.639,3.52,1.44,1.45,0.117,,SV,1일,before
12,2022-11-07,KS,0,SSG,패배, 4:5,0,0.0,3,3,3.0,3,2,2,0,0,1,1,0,0,0,18,1.3,0.236,0.317,0.653,3.76,3.64,0.51,-0.909,BLSV,L,2일,before
13,2023-11-08,KS,1,KT,승리, 4:5,1,0.1,4,4,3.15,5,3,2,1,0,0,2,0,0,0,20,1.35,0.267,0.329,0.695,4.53,1.77,-3.05,-0.254,29,,7+일,after
14,2023-11-11,KS,0,KT,승리, 15:4,0,1.0,1,1,1.0,5,2,0,0,0,0,2,0,0,0,26,1.36,0.266,0.329,0.694,4.56,0.0,-0.48,0.0,,,3일,after
15,2024-10-08,SP,0,KT,승리, 6:5,1,2.2,3,2,2.5,14,12,5,1,0,0,1,0,0,4,65,1.46,0.266,0.344,0.718,4.31,1.23,-0.7,-0.126,41,,7+일,after
16,2024-10-13,PO,0,삼성,패배, 4:10,1,3.0,5,5,5.0,16,15,7,1,0,2,0,0,0,3,50,1.48,0.272,0.347,0.738,4.56,0.76,-3.16,-0.275,28,L,5일,after
