,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2013-09-05,SS,1,넥센,패배, 2:1,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,1.81,-0.11,-0.047,
1,2013-09-08,SS,0,SK,패배, 6:10,8,11,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,3,0.03,0.69,0.002,
2,2013-09-12,SS,1,한화,패배, 8:5,9,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.667,1.0,1.667,8,0.91,0.4,0.046,
3,2017-06-08,SS,1,롯데,승리, 0:16,5,5,0,1,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,6,0.0,0.55,0.0,
4,2017-06-09,SS,1,KT,승리, 5:6,9,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.5,2.5,5,1.38,-0.12,-0.035,
5,2017-06-10,SS,1,KT,승리, 1:4,2,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.5,2.5,5,3.12,0.55,0.091,
6,2017-06-11,SS,1,KT,승리, 0:5,6,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.333,2.333,4,0.01,0.13,0.0,
7,2017-06-13,SS,0,넥센,승리, 14:5,4,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.8,1.0,1.8,4,0.0,-0.4,0.0,
8,2017-06-14,SS,0,넥센,패배, 4:8,1,8,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.8,0.833,1.0,1.833,1,1.42,1.0,0.056,
9,2017-06-16,SS,0,두산,승리, 11:5,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,0.857,1.0,1.857,5,0.01,0.43,0.0,
10,2017-06-17,SS,0,두산,패배, 4:14,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.857,1.0,1.857,0,,,,
11,2017-06-18,SS,0,두산,패배, 11:13,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.667,0.75,0.833,1.583,4,2.09,-0.38,-0.05,
12,2017-06-20,SS,0,SK,패배, 1:7,4,3,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.556,0.636,0.667,1.303,10,0.27,-0.39,-0.015,
13,2017-06-22,SS,0,SK,패배, 6:13,1,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0.5,0.5,1.0,8,0.02,-0.92,-0.001,
14,2017-07-13,SS,0,KIA,패배, 1:7,6,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.467,0.462,0.929,8,0.0,-0.12,0.0,
15,2017-07-19,SS,0,한화,승리, 13:9,7,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.385,0.5,0.462,0.962,4,0.01,0.14,0.0,
16,2017-08-16,SS,0,KIA,패배, 3:4,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.471,0.429,0.9,4,4.05,-0.48,-0.113,
17,2017-08-17,SS,1,한화,승리, 1:3,9,11,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.533,1.033,4,1.39,0.55,0.091,
18,2017-08-18,SS,1,한화,패배, 14:9,7,8,0,1,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0.438,0.526,0.625,1.151,1,0.5,2.6,0.043,
19,2017-08-19,SS,0,넥센,패배, 3:4,3,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0.476,0.556,1.032,10,3.98,-1.05,-0.205,
20,2017-08-23,SS,0,LG,패배, 3:9,4,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0.455,0.526,0.981,2,0.01,-0.12,0.0,
21,2017-09-03,SS,1,LG,승리, 0:5,5,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.35,0.435,0.5,0.935,5,0.09,-1.4,-0.005,
22,2017-09-05,SS,0,삼성,패배, 3:9,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.417,0.476,0.893,4,0.03,-0.21,-0.001,
23,2017-09-07,SS,1,SK,승리, 3:4,5,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.44,0.476,0.916,4,1.01,0.28,0.014,
24,2017-09-09,SS,0,한화,패배, 3:6,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.423,0.455,0.878,5,1.53,-0.4,-0.035,
25,2017-09-10,SS,0,한화,승리, 11:5,6,10,0,1,1,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.348,0.444,0.609,1.053,2,0.02,1.0,0.004,
26,2017-09-12,SS,1,두산,패배, 14:13,6,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.348,0.464,0.609,1.073,5,3.47,0.43,0.134,
27,2017-09-13,SS,1,두산,패배, 13:3,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.448,0.583,1.031,3,1.84,-0.85,-0.064,
28,2017-09-14,SS,1,삼성,패배, 11:11,3,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.433,0.56,0.993,4,1.8,-0.21,-0.045,
29,2017-09-15,SS,1,삼성,패배, 11:3,6,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.419,0.538,0.957,4,0.06,0.53,0.001,
30,2017-09-17,SS,1,넥센,패배, 14:6,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0.406,0.519,0.925,8,0.01,-0.21,0.0,
31,2018-03-31,SS,0,롯데,승리, 10:5,7,7,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,3,0.08,0.52,0.003,
32,2018-04-01,SS,0,롯데,패배, 2:3,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,3,1.41,-0.12,-0.036,
33,2018-04-04,SS,1,삼성,승리, 1:4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0,,,,
34,2018-04-05,SS,1,삼성,패배, 4:1,7,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,12,1.19,-0.76,-0.061,
35,2018-04-07,SS,0,두산,패배, 3:6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,0,,,,
36,2018-04-08,SS,0,두산,패배, 10:11,9,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.858,4,0.75,0.44,0.038,
37,2018-04-10,SS,1,KT,패배, 5:4,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.375,0.375,0.75,5,2.63,-0.22,-0.065,
38,2018-04-11,SS,1,KT,패배, 12:4,7,7,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.364,0.364,0.364,0.728,11,0.66,-0.62,-0.015,
39,2018-04-12,SS,1,KT,패배, 7:2,7,7,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.267,0.267,0.267,0.534,18,1.01,-0.81,-0.156,
40,2018-04-13,SS,0,SK,패배, 2:4,9,7,0,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.294,0.294,0.353,0.647,7,0.76,0.24,-0.017,
41,2018-04-14,SS,0,SK,패배, 0:7,8,7,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.263,0.3,0.316,0.616,13,0.32,1.07,-0.02,
42,2018-04-15,SS,0,SK,패배, 2:3,8,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.261,0.292,0.304,0.596,7,1.58,-0.96,-0.149,
43,2018-04-19,SS,0,넥센,패배, 3:6,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.28,0.292,0.572,6,0.35,-0.41,-0.008,
44,2018-04-20,SS,1,LG,패배, 9:4,2,7,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.28,0.308,0.32,0.628,1,0.09,0.52,0.004,
