,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2019-05-01,SS,0,한화,패배, 1:4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
1,2019-05-03,SS,1,LG,승리, 2:7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
2,2019-05-04,SS,1,LG,승리, 2:3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
3,2019-05-05,SS,1,LG,승리, 2:11,3,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,-0.32,0.0,before
4,2019-05-07,SS,1,KIA,승리, 3:4,9,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1.38,0.24,0.072,before
5,2019-05-08,SS,1,KIA,승리, 0:1,9,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,9,0.92,-0.36,-0.049,before
6,2019-05-09,SS,1,KIA,패배, 5:3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
7,2019-05-10,SS,0,NC,패배, 11:12,8,8,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,7,1.55,0.9,-0.115,before
8,2019-05-11,SS,0,NC,승리, 12:0,8,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.125,0.125,0.125,0.25,9,0.55,-0.5,-0.03,before
9,2019-05-25,SS,1,한화,승리, 4:7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,0,,,,before
10,2019-05-26,SS,1,한화,승리, 1:2,5,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,2,0.29,-0.1,-0.007,before
11,2019-05-30,SS,1,삼성,패배, 2:1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,0,,,,before
12,2019-05-31,SS,0,KT,패배, 2:3,8,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.154,0.308,13,1.06,-0.94,-0.088,before
13,2019-06-01,SS,0,KT,패배, 3:13,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.143,0.286,3,0.0,-0.16,0.0,before
14,2019-06-04,SS,0,KIA,승리, 7:2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,,,before
15,2019-06-05,SS,0,KIA,승리, 5:4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,,,before
16,2019-06-06,SS,0,KIA,패배, 3:12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,,,before
17,2019-06-07,SS,1,키움,승리, 1:7,1,9,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,5,0.09,1.0,0.007,before
18,2019-06-11,SS,0,한화,패배, 1:4,9,9,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.222,0.222,0.222,0.444,13,1.89,-0.73,-0.117,before
19,2019-06-12,SS,0,한화,승리, 9:6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,,before
20,2019-06-13,SS,0,한화,승리, 7:2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,,before
