,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2017-04-19,SS,1,NC,패배, 8:2,8,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,8,0.59,-0.46,-0.032,before
1,2017-04-23,SS,0,넥센,패배, 5:6,5,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,6,5.46,-0.53,-0.141,before
2,2017-04-27,SS,1,한화,패배, 6:1,9,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,11,0.34,-0.61,-0.026,before
3,2017-04-30,SS,0,두산,승리, 6:0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
4,2017-06-15,SS,1,KIA,패배, 7:5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
5,2017-06-17,SS,0,넥센,패배, 2:8,7,6,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,4,0.09,0.03,0.004,before
6,2017-06-18,SS,0,넥센,패배, 3:14,9,5,1,4,3,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.273,0.333,0.273,0.606,23,0.45,0.81,0.069,before
7,2017-06-20,SS,0,KT,승리, 10:2,9,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.231,0.286,0.231,0.517,11,0.64,-0.64,-0.027,before
8,2017-06-21,SS,0,KT,승리, 10:4,9,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.188,0.235,0.188,0.423,12,0.98,-1.59,-0.083,before
9,2017-06-22,SS,0,KT,패배, 3:10,9,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.176,0.222,0.176,0.398,5,1.39,-0.4,-0.032,before
10,2019-09-11,SS,1,KIA,패배, 4:0,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,3,0.15,-0.1,-0.004,before
11,2019-09-12,SS,1,SK,패배, 2:1,7,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,14,2.16,-1.02,-0.154,before
12,2019-09-13,SS,1,SK,승리, 0:1,7,5,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,14,1.08,0.25,0.05,before
13,2019-09-14,SS,0,한화,패배, 2:5,7,5,1,4,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.182,0.182,0.273,0.455,15,0.62,-0.27,-0.004,before
14,2019-09-15,SS,0,한화,승리, 7:1,7,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.133,0.133,0.2,0.333,20,0.4,-0.93,-0.04,before
15,2019-09-18,SS,0,KIA,패배, 5:6,7,5,1,4,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.176,0.263,0.235,0.498,20,0.92,0.75,0.038,before
16,2019-09-20,SS,1,KT,패배, 7:0,7,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.15,0.227,0.2,0.427,9,0.75,-0.55,-0.082,before
17,2019-09-23,SS,1,NC,패배, 6:1,7,5,1,4,4,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.25,0.308,0.333,0.641,9,0.48,0.19,0.002,before
18,2019-09-25,SS,1,두산,패배, 7:0,7,5,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.25,0.3,0.321,0.621,17,0.35,-0.37,-0.03,before
19,2019-09-26,SS,1,KIA,패배, 3:1,7,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.226,0.273,0.29,0.563,18,1.07,-0.72,-0.085,before
20,2019-09-29,SS,1,키움,패배, 4:1,7,5,1,4,3,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0.235,0.297,0.324,0.621,20,1.12,0.7,0.025,before
21,2020-06-16,SS,0,키움,승리, 7:5,6,5,1,4,4,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,15,0.97,0.82,0.028,before
22,2020-06-17,SS,0,키움,패배, 3:4,6,5,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.333,0.429,0.333,0.762,16,0.75,-0.13,-0.005,before
23,2020-10-28,SS,1,NC,패배, 7:1,6,5,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.25,0.4,0.25,0.65,21,0.55,-0.63,-0.033,before
24,2021-04-06,SS,0,NC,승리, 10:5,9,6,0,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,16,0.74,-0.67,-0.059,before
25,2021-04-07,SS,0,NC,패배, 6:10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0,,,,before
26,2021-04-22,SS,1,두산,패배, 13:1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,0.02,-0.46,0.0,before
27,2021-04-25,SS,0,KT,패배, 5:6,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,7,1.34,-0.64,-0.04,before
28,2021-04-27,SS,0,LG,패배, 0:4,6,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.143,0.286,4,2.52,-0.94,-0.056,before
29,2021-04-29,SS,0,LG,패배, 2:3,7,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1,0.2,7,0.87,-0.55,-0.067,before
