,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2013-10-01,SS,1,LG,승리, 3:4,9,2,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,10,4.12,-1.17,0.284,before
1,2013-10-02,SS,1,삼성,패배, 9:2,8,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.4,0.4,0.4,0.8,10,1.91,-0.88,-0.117,before
2,2013-10-03,SS,1,삼성,승리, 7:8,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,2,0.11,-0.21,-0.003,before
3,2013-10-04,SS,1,SK,승리, 2:7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,0,,,,before
4,2015-06-21,SS,0,두산,패배, 0:10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
5,2015-06-23,SS,1,삼성,패배, 12:4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,1.0,10,0.04,0.48,0.002,before
6,2015-06-27,SS,1,넥센,패배, 8:3,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.5,0.0,0.5,4,0.49,-0.41,-0.025,before
7,2015-06-28,SS,1,넥센,패배, 7:1,8,2,1,3,3,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.5,0.6,0.5,1.1,8,0.65,0.28,0.029,before
8,2015-07-01,SS,0,NC,승리, 4:3,8,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.375,0.286,0.661,12,0.98,-0.83,-0.08,before
9,2015-07-02,SS,0,NC,패배, 2:3,8,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.273,0.2,0.473,11,1.27,-0.66,-0.092,before
10,2015-07-03,SS,1,SK,패배, 8:7,8,2,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.25,0.357,0.25,0.607,13,1.09,0.47,0.024,before
11,2015-07-05,SS,1,SK,패배, 5:1,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.333,0.231,0.564,6,0.06,-0.12,-0.002,before
12,2015-07-10,SS,1,두산,패배, 6:5,8,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.294,0.2,0.494,5,2.75,-0.75,-0.153,before
13,2015-07-14,SS,0,한화,패배, 3:4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.294,0.2,0.494,0,,,,before
14,2015-08-06,SS,0,NC,패배, 3:8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.294,0.2,0.494,0,,,,before
15,2015-08-07,SS,0,NC,패배, 0:13,8,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.25,0.167,0.417,9,0.35,-0.79,-0.027,before
16,2015-08-13,SS,0,KT,승리, 4:2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.25,0.167,0.417,0,,,,before
17,2015-08-14,SS,0,KT,패배, 4:9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.25,0.167,0.417,0,,,,before
18,2015-08-15,SS,0,넥센,승리, 4:3,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.158,0.238,0.158,0.396,3,1.14,-0.38,-0.028,before
19,2015-08-17,SS,0,넥센,패배, 5:9,6,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.15,0.261,0.15,0.411,9,0.89,-0.8,-0.046,before
20,2015-08-18,SS,1,LG,승리, 4:7,8,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.19,0.292,0.19,0.482,4,1.33,0.21,0.028,before
21,2015-08-21,SS,1,KIA,승리, 1:9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.292,0.19,0.482,0,,,,before
22,2015-08-22,SS,0,삼성,패배, 4:15,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.182,0.28,0.182,0.462,6,0.02,-0.29,0.0,before
23,2015-08-23,SS,0,삼성,승리, 15:0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.182,0.308,0.182,0.49,5,0.0,0.32,0.0,before
24,2015-09-06,SS,0,LG,패배, 1:1,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.174,0.296,0.174,0.47,4,2.32,-0.29,-0.059,before
25,2015-09-17,SS,0,두산,패배, 0:13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.296,0.174,0.47,0,,,,before
26,2015-09-20,SS,1,삼성,패배, 17:13,5,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16,0.276,0.16,0.436,9,0.64,-0.97,-0.03,before
27,2015-09-24,SS,1,두산,패배, 3:2,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.276,0.16,0.436,0,,,,before
28,2015-09-30,SS,1,KIA,패배, 13:1,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.154,0.267,0.154,0.421,4,0.02,-0.29,-0.001,before
29,2015-10-02,SS,0,넥센,패배, 6:10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.267,0.154,0.421,0,,,,before
30,2015-10-03,SS,0,LG,패배, 2:5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.267,0.154,0.421,0,,,,before
31,2016-05-27,SS,0,한화,패배, 7:11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
32,2016-05-29,SS,0,한화,패배, 2:9,6,2,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,6,0.03,0.61,0.004,before
33,2016-06-02,SS,1,KT,패배, 2:1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0,,,,before
34,2016-06-03,SS,1,NC,패배, 5:3,9,11,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,1,2.9,1.0,0.21,before
35,2016-06-05,SS,1,NC,패배, 14:7,9,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1.5,4,0.47,0.7,0.022,before
36,2016-06-07,SS,0,SK,승리, 9:6,5,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0.8,0.75,1.55,6,0.11,0.21,0.001,before
37,2016-06-11,SS,0,두산,승리, 10:8,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.667,0.6,1.267,4,3.88,-0.64,-0.107,before
38,2016-06-12,SS,0,두산,패배, 4:5,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.571,0.5,1.071,6,2.32,-0.28,-0.059,before
39,2016-06-14,SS,0,넥센,패배, 6:9,8,2,1,4,3,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.444,0.545,0.444,0.989,15,1.22,0.65,0.153,before
40,2016-06-15,SS,0,넥센,승리, 11:6,8,2,1,5,4,1,2,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0.462,0.5,0.462,0.962,22,0.38,1.25,0.012,before
41,2016-06-16,SS,0,넥센,패배, 7:10,8,2,1,4,3,1,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0.438,0.5,0.438,0.938,21,1.96,1.2,0.154,before
42,2016-06-17,SS,1,SK,패배, 12:1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412,0.476,0.412,0.888,5,0.0,-0.28,0.0,before
43,2016-06-18,SS,1,SK,패배, 4:0,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0.455,0.389,0.844,4,0.16,-0.28,-0.005,before
44,2016-06-22,SS,0,KIA,승리, 18:5,5,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.368,0.458,0.368,0.826,11,0.0,-0.7,0.0,before
45,2016-06-23,SS,0,KIA,패배, 2:6,8,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.318,0.407,0.318,0.725,12,0.79,-0.85,-0.062,before
46,2016-06-26,SS,0,한화,승리, 12:4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.407,0.318,0.725,0,,,,before
47,2016-06-28,SS,1,삼성,승리, 4:7,7,2,1,5,4,2,1,0,0,1,4,1,0,0,1,0,0,2,0,0,0,0.308,0.406,0.423,0.829,20,1.53,0.44,0.073,before
48,2016-06-29,SS,1,삼성,승리, 4:5,8,2,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.276,0.389,0.379,0.768,18,2.48,-1.28,-0.257,before
49,2016-06-30,SS,1,삼성,승리, 6:7,8,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.276,0.405,0.379,0.784,8,1.65,0.13,0.043,before
50,2016-07-06,SS,0,NC,패배, 3:12,6,2,0,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0.3,0.421,0.467,0.888,5,0.0,1.04,0.0,before
51,2016-07-08,SS,1,LG,승리, 5:8,7,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.41,0.452,0.862,5,0.11,-0.28,-0.003,before
52,2016-07-10,SS,1,LG,패배, 6:0,8,2,1,4,3,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.324,0.442,0.471,0.913,14,0.25,0.68,0.02,before
53,2016-07-12,SS,0,삼성,패배, 4:8,5,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.306,0.422,0.444,0.866,7,0.73,-0.74,-0.037,before
54,2016-07-13,SS,0,삼성,승리, 13:12,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.306,0.422,0.444,0.866,3,3.44,-0.18,-0.024,before
55,2016-07-21,SS,1,KIA,승리, 1:10,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,0.413,0.432,0.845,2,0.0,-0.43,0.0,before
56,2016-07-22,SS,1,한화,승리, 2:10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,0.413,0.432,0.845,0,,,,before
57,2016-07-24,SS,1,한화,패배, 8:1,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.289,0.404,0.421,0.825,4,0.03,-0.13,-0.001,before
58,2016-07-26,SS,0,LG,승리, 12:10,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.396,0.41,0.806,2,0.39,-0.38,-0.01,before
59,2016-07-27,SS,0,LG,패배, 1:7,8,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.268,0.392,0.39,0.782,13,0.73,-0.53,-0.063,before
60,2016-07-30,SS,0,KT,패배, 3:4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.392,0.39,0.782,3,,,,before
61,2016-08-16,SS,0,넥센,패배, 1:8,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.262,0.385,0.381,0.766,4,3.3,-0.99,-0.085,before
62,2016-08-17,SS,0,넥센,패배, 0:7,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.377,0.372,0.749,2,0.03,-0.28,-0.001,before
63,2016-08-18,SS,1,KIA,승리, 3:4,8,2,1,5,2,0,1,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0.267,0.414,0.378,0.792,28,2.6,-0.39,0.364,before
64,2016-08-19,SS,1,KIA,패배, 10:9,8,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.267,0.424,0.378,0.802,6,1.65,0.13,0.043,before
65,2016-08-20,SS,1,SK,패배, 3:2,8,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.397,0.347,0.744,13,1.62,-1.22,-0.166,before
66,2016-08-21,SS,1,SK,승리, 3:4,8,2,1,4,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.235,0.403,0.333,0.736,14,2.16,-0.38,-0.063,before
67,2016-08-23,SS,1,KT,승리, 4:8,8,2,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.222,0.394,0.315,0.709,20,1.2,-1.52,-0.088,before
68,2016-08-24,SS,1,KT,패배, 5:2,8,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.228,0.392,0.316,0.708,11,1.48,-1.16,-0.094,before
69,2016-08-26,SS,0,두산,패배, 4:11,8,2,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.237,0.403,0.322,0.725,16,0.16,0.33,0.011,before
70,2016-08-27,SS,0,삼성,패배, 0:13,8,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.242,0.4,0.323,0.723,10,0.22,-0.06,-0.001,before
71,2016-08-30,SS,1,LG,승리, 4:8,8,2,1,4,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.234,0.405,0.313,0.718,19,0.39,0.31,-0.011,before
72,2016-08-31,SS,1,LG,승리, 1:9,8,2,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.235,0.398,0.309,0.707,23,0.18,-1.47,0.005,before
73,2016-09-01,SS,1,NC,패배, 4:2,8,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.229,0.396,0.3,0.696,15,1.2,-0.48,-0.056,before
74,2016-09-03,SS,0,KIA,승리, 2:1,8,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.216,0.379,0.284,0.663,14,0.8,-1.16,-0.081,before
75,2016-09-04,SS,0,KIA,패배, 3:4,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.211,0.371,0.276,0.647,10,0.89,-0.51,-0.045,before
76,2016-09-06,SS,1,두산,승리, 7:9,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0.367,0.273,0.64,4,0.67,-0.22,-0.017,before
77,2016-09-07,SS,1,두산,패배, 10:5,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.364,0.269,0.633,1,0.07,-0.13,-0.002,before
78,2016-09-08,SS,1,삼성,승리, 4:5,9,2,1,4,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.22,0.369,0.28,0.649,12,0.83,0.07,0.028,before
79,2016-09-09,SS,1,삼성,패배, 7:5,9,2,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.226,0.371,0.286,0.657,11,0.95,0.4,0.041,before
80,2016-09-10,SS,0,LG,패배, 6:9,9,2,1,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.241,0.38,0.299,0.679,14,0.71,0.0,0.004,before
81,2016-09-11,SS,0,LG,패배, 8:12,9,2,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.247,0.382,0.303,0.685,8,0.97,0.12,0.02,before
82,2016-09-13,SS,0,KT,승리, 9:2,9,2,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.245,0.374,0.298,0.672,19,0.68,-1.02,-0.091,before
83,2016-09-14,SS,0,KT,승리, 8:7,9,2,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.242,0.367,0.293,0.66,31,0.99,-0.7,-0.059,before
84,2016-09-15,SS,0,한화,패배, 6:7,9,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.248,0.369,0.297,0.666,6,0.74,0.01,0.001,before
85,2016-09-16,SS,0,한화,승리, 8:6,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0.369,0.297,0.666,0,,,,before
86,2016-09-18,SS,1,넥센,승리, 6:13,9,2,1,4,3,1,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.25,0.373,0.308,0.681,16,0.21,1.75,0.004,before
87,2016-09-19,SS,1,넥센,패배, 11:1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.373,0.308,0.681,0,,,,before
88,2016-09-24,SS,0,NC,패배, 1:3,9,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.255,0.375,0.311,0.686,8,0.99,0.08,0.008,before
89,2016-09-25,SS,0,NC,패배, 0:1,9,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.262,0.38,0.318,0.698,6,2.87,0.41,0.115,before
90,2016-09-27,SS,1,KT,승리, 7:9,9,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.266,0.382,0.321,0.703,10,0.68,0.01,0.006,before
91,2016-09-29,SS,1,KT,승리, 7:9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0.382,0.321,0.703,0,,,,before
92,2016-09-30,SS,1,KT,승리, 4:5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0.382,0.321,0.703,0,,,,before
93,2016-10-01,SS,1,NC,패배, 8:0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0.382,0.321,0.703,0,,,,before
94,2016-10-02,SS,1,NC,패배, 11:6,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.379,0.318,0.697,3,0.07,-0.13,-0.002,before
95,2016-10-04,SS,0,두산,패배, 5:6,9,2,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.27,0.383,0.333,0.716,2,3.27,1.0,0.295,before
96,2016-10-06,SS,1,LG,패배, 4:1,9,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.265,0.378,0.327,0.705,10,1.9,-0.7,-0.087,before
97,2016-10-07,SS,1,넥센,승리, 4:5,9,2,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.265,0.374,0.325,0.699,12,0.62,-0.72,-0.006,before
98,2016-10-09,SS,1,넥센,승리, 5:8,9,2,1,4,3,1,2,1,0,1,6,4,0,0,1,0,0,0,0,0,0,0.275,0.385,0.367,0.752,18,1.54,3.26,0.425,before
99,2019-03-26,SS,1,삼성,승리, 2:7,8,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,0.51,-0.6,-0.018,before
100,2019-03-27,SS,1,삼성,패배, 23:4,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,3,0.01,-0.5,0.0,before
101,2019-03-28,SS,1,삼성,패배, 12:7,8,2,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,6,0.17,0.28,-0.003,before
102,2019-03-29,SS,0,LG,패배, 1:2,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.125,0.125,0.125,0.25,8,0.93,-0.24,-0.027,before
103,2019-03-30,SS,0,LG,승리, 7:1,8,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.083,0.083,0.083,0.166,19,0.67,-1.27,-0.068,before
104,2019-03-31,SS,0,LG,패배, 5:6,8,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.067,0.067,0.134,18,0.84,-1.56,-0.1,before
105,2019-04-02,SS,0,SK,승리, 5:0,8,2,1,4,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0.056,0.105,0.056,0.161,21,1.12,0.65,0.066,before
