,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2017-07-11,SS,0,KIA,패배, 4:7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
1,2017-07-13,SS,0,KIA,패배, 1:7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
2,2018-06-05,SS,1,롯데,패배, 12:6,1,4,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,10,0.06,0.03,-0.002,before
3,2018-06-06,SS,1,롯데,패배, 10:5,8,6,0,2,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.5,0.75,1.0,1.75,10,0.23,1.09,0.019,before
4,2018-06-07,SS,1,롯데,승리, 4:5,7,6,1,4,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.2,0.5,0.4,0.9,11,1.31,0.36,-0.045,before
5,2018-06-08,SS,0,두산,패배, 1:6,7,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.364,0.25,0.614,5,1.26,-1.15,-0.125,before
6,2018-06-09,SS,0,두산,패배, 0:3,8,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.125,0.417,0.25,0.667,2,0.75,0.44,0.038,before
7,2018-06-10,SS,0,두산,패배, 3:6,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.385,0.222,0.607,6,1.23,-0.28,-0.031,before
8,2018-06-12,SS,1,LG,승리, 4:8,8,6,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.091,0.375,0.182,0.557,9,0.41,-0.46,-0.01,before
9,2018-06-13,SS,1,LG,승리, 3:6,8,6,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.077,0.368,0.154,0.522,12,0.39,-0.07,0.022,before
