,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2015-07-16,SS,1,SK,패배, 2:2,1,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12,0.61,-0.53,-0.047,
1,2016-06-26,SS,1,KIA,패배, 15:4,8,5,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,12,0.03,0.59,0.002,
2,2016-06-28,SS,0,두산,패배, 3:12,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0,,,,
3,2018-09-11,SS,1,KIA,승리, 7:10,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
4,2018-09-15,SS,0,두산,승리, 13:7,6,4,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,5,0.04,0.32,0.002,
5,2018-09-16,SS,0,두산,패배, 1:5,9,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,12,0.58,-0.53,-0.026,
6,2018-09-18,SS,1,한화,승리, 3:10,6,10,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,2,0.02,0.17,0.0,
7,2018-09-19,SS,1,한화,패배, 7:4,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,2,1.25,-0.28,-0.032,
8,2018-09-20,SS,0,KIA,패배, 6:7,4,5,0,2,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,5,1.67,0.85,0.134,
9,2018-09-21,SS,0,KIA,패배, 4:6,6,5,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.444,0.5,0.444,0.944,10,1.36,0.32,0.045,
10,2018-09-22,SS,1,두산,패배, 13:10,7,5,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.455,0.5,0.455,0.955,3,0.66,0.46,-0.001,
11,2018-09-23,SS,1,두산,승리, 3:4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.5,0.455,0.955,0,,,,
12,2018-09-25,SS,0,롯데,패배, 7:8,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0.462,0.417,0.879,2,3.87,-0.37,-0.092,
13,2018-09-26,SS,0,롯데,패배, 7:10,8,5,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.412,0.333,0.745,15,0.94,-0.72,-0.09,
14,2018-09-27,SS,0,SK,패배, 4:11,1,4,0,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.375,0.444,0.563,1.007,4,0.03,1.3,0.002,
15,2018-09-28,SS,0,SK,패배, 2:6,8,5,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.368,0.429,0.526,0.955,10,0.15,-0.24,-0.011,
16,2018-09-29,SS,0,넥센,패배, 5:6,7,5,1,2,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0.381,0.435,0.524,0.959,5,0.83,-0.32,-0.001,
17,2018-09-30,SS,0,넥센,패배, 2:8,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.417,0.5,0.917,8,0.14,-0.28,-0.004,
18,2018-10-02,SS,0,KIA,승리, 6:5,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.4,0.478,0.878,5,1.8,-0.22,-0.045,
19,2018-10-06,SS,1,넥센,승리, 5:6,8,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.348,0.423,0.478,0.901,6,1.71,0.44,0.078,
20,2018-10-07,SS,1,롯데,패배, 8:2,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.407,0.458,0.865,3,0.09,-0.22,-0.002,
21,2018-10-12,SS,0,두산,패배, 2:13,7,4,1,3,3,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.37,0.433,0.481,0.914,7,0.69,0.18,0.024,
22,2018-10-13,SS,0,한화,패배, 8:10,9,5,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.355,0.412,0.452,0.864,15,0.36,-0.21,-0.005,
23,2019-03-28,SS,1,KT,승리, 2:6,2,10,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,0.57,-0.83,-0.057,
24,2019-03-29,SS,0,한화,패배, 0:9,2,4,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,13,0.88,-1.56,-0.057,
25,2019-03-30,SS,0,한화,패배, 5:13,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.111,0.111,0.222,3,0.03,-0.26,-0.001,
26,2019-04-02,SS,1,키움,패배, 8:6,8,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1,0.2,5,3.89,-0.63,-0.114,
27,2019-04-03,SS,1,키움,승리, 1:9,8,4,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.154,0.154,0.154,0.308,9,1.15,0.54,0.051,
28,2019-04-06,SS,0,두산,승리, 6:5,2,4,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.188,0.188,0.188,0.376,12,1.13,0.1,0.012,
29,2019-04-12,SS,1,롯데,승리, 1:2,2,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.3,11,0.89,-0.63,-0.092,
30,2019-04-13,SS,1,롯데,승리, 5:7,2,9,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.174,0.174,0.174,0.348,11,1.82,0.21,0.041,
31,2019-04-14,SS,1,롯데,승리, 1:8,3,8,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.208,0.208,0.208,0.416,6,0.0,0.27,0.0,
32,2019-04-16,SS,1,LG,패배, 7:2,3,10,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.24,0.24,0.24,0.48,3,1.38,0.1,0.029,
33,2019-04-17,SS,1,LG,패배, 4:2,9,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.231,0.462,4,1.91,-0.26,-0.049,
34,2019-04-18,SS,1,LG,패배, 6:1,7,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.222,0.222,0.222,0.444,1,0.21,-0.53,-0.007,
35,2019-04-19,SS,0,SK,승리, 14:11,9,5,1,4,4,1,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.226,0.226,0.258,0.484,12,0.64,1.28,0.162,
36,2019-04-20,SS,0,SK,패배, 4:10,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0.25,0.469,3,0.03,-0.16,-0.001,
37,2019-04-21,SS,0,SK,패배, 1:4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0.25,0.469,0,,,,
38,2019-04-23,SS,0,KT,승리, 4:3,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0.25,0.469,0,,,,
39,2019-04-24,SS,0,KT,승리, 10:2,9,7,1,4,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.306,0.556,12,0.71,0.89,0.048,
40,2019-04-27,SS,1,한화,승리, 1:15,7,8,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.27,0.27,0.324,0.594,3,0.0,0.9,0.0,
41,2019-04-28,SS,1,한화,승리, 4:10,9,5,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.275,0.275,0.325,0.6,11,0.66,-0.43,-0.045,
42,2019-05-01,SS,0,롯데,승리, 9:5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.275,0.325,0.6,0,,,,
