,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2021-06-16,SS,1,LG,승리, 3:6,9,5,1,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.0,0.667,0.0,0.667,14,1.36,0.03,-0.037,before
1,2021-06-18,SS,0,NC,패배, 0:5,8,5,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.5,0.0,0.5,17,1.15,-0.29,-0.049,before
2,2021-06-19,SS,0,NC,승리, 12:7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0,,,,before
3,2021-06-20,SS,0,NC,승리, 8:4,9,4,1,5,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0.0,0.364,0.0,0.364,26,0.5,-0.33,-0.016,before
4,2021-06-22,SS,0,두산,패배, 3:10,8,5,1,4,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.4,0.0,0.4,20,0.71,-0.11,-0.019,before
5,2021-06-23,SS,0,두산,승리, 4:3,9,4,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.333,0.0,0.333,10,1.55,-1.31,-0.096,before
6,2021-06-24,SS,0,두산,승리, 2:1,9,4,1,4,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.067,0.318,0.133,0.451,13,1.83,-0.84,-0.146,before
7,2021-06-25,SS,1,KIA,승리, 5:14,9,5,1,5,3,2,3,0,0,0,3,1,1,0,1,1,0,0,0,0,0,0.222,0.444,0.278,0.722,16,0.27,2.5,0.054,before
8,2021-06-26,SS,1,KIA,승리, 1:6,9,5,1,4,3,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.238,0.452,0.286,0.738,18,0.55,1.39,0.057,before
9,2021-06-27,SS,1,KIA,승리, 4:5,9,5,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.217,0.441,0.261,0.702,16,1.04,-0.35,-0.025,before
10,2021-06-29,SS,1,롯데,패배, 13:5,9,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.417,0.24,0.657,5,0.5,-0.6,-0.027,before
11,2021-06-30,SS,1,롯데,승리, 5:6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0.417,0.24,0.657,2,3.94,-0.17,-0.042,before
12,2021-07-01,SS,1,롯데,승리, 1:13,9,5,1,5,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.185,0.439,0.222,0.661,24,0.37,0.1,0.065,before
13,2021-07-02,SS,0,KT,패배, 1:4,9,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.172,0.419,0.207,0.626,5,1.43,-0.56,-0.066,before
14,2021-07-04,SS,0,KT,패배, 3:12,9,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.409,0.2,0.609,3,0.54,-0.19,-0.014,before
15,2021-07-05,SS,0,KT,승리, 15:5,9,6,1,5,5,1,1,0,0,1,4,4,0,0,0,0,0,1,0,0,0,0.171,0.388,0.286,0.674,26,0.37,1.74,0.051,before
16,2021-07-06,SS,1,SSG,승리, 0:4,7,4,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.184,0.396,0.289,0.685,22,0.5,0.13,-0.041,before
17,2021-07-07,SS,1,SSG,승리, 2:8,9,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.167,0.368,0.262,0.63,16,0.37,-1.59,-0.042,before
18,2021-08-11,SS,1,KT,승리, 1:4,7,5,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.156,0.361,0.244,0.605,23,0.41,-0.43,-0.012,before
19,2021-08-12,SS,1,KT,승리, 4:6,6,5,1,4,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.184,0.369,0.265,0.634,11,2.61,0.56,0.229,before
20,2021-08-13,SS,1,두산,패배, 16:9,6,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0.353,0.25,0.603,17,0.85,-0.7,-0.066,before
21,2021-08-14,SS,1,두산,승리, 1:5,9,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.343,0.241,0.584,10,0.69,-0.36,-0.035,before
22,2021-08-15,SS,1,두산,승리, 1:8,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0.338,0.236,0.574,4,0.0,-0.22,0.0,before
23,2021-08-20,SS,0,KIA,패배, 2:3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0.338,0.236,0.574,0,,,,before
24,2021-08-22,SS,0,KIA,승리, 6:1,9,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.153,0.32,0.22,0.54,16,1.17,-1.16,-0.108,before
25,2021-08-24,SS,0,KIA,승리, 8:2,9,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.312,0.213,0.525,6,0.46,-0.47,-0.024,before
26,2021-08-25,SS,1,한화,패배, 7:2,9,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0.296,0.2,0.496,18,0.47,-1.21,-0.045,before
27,2021-09-21,SS,0,SSG,패배, 10:13,9,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.134,0.289,0.194,0.483,11,0.07,-0.51,-0.004,before
28,2021-09-22,SS,0,SSG,패배, 7:7,9,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.282,0.188,0.47,7,0.45,-0.36,-0.023,before
29,2021-09-25,SS,1,롯데,패배, 12:6,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.282,0.188,0.47,0,,,,before
30,2021-09-26,SS,1,롯데,승리, 2:11,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.282,0.188,0.47,0,,,,before
31,2021-09-28,SS,0,한화,패배, 1:1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.282,0.188,0.47,0,,,,before
32,2021-10-01,SS,0,KIA,패배, 0:6,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0.279,0.186,0.465,2,0.06,-0.19,-0.002,before
33,2021-10-02,SS,1,LG,패배, 10:3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0.279,0.186,0.465,0,,,,before
34,2022-04-03,SS,1,롯데,승리, 3:4,9,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
35,2022-04-20,SS,0,SSG,패배, 1:6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
36,2022-04-24,SS,1,KIA,패배, 14:2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
37,2022-04-27,SS,0,한화,승리, 7:0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
38,2022-04-29,SS,1,KT,패배, 6:4,7,10,0,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,6,1.75,0.93,0.098,before
39,2022-05-01,SS,1,KT,승리, 3:9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0,,,,before
