,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2012-06-21,SS,1,넥센,승리, 0:3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
1,2012-06-26,SS,0,넥센,패배, 3:13,8,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0,,,,
2,2015-08-09,SS,1,LG,승리, 1:9,2,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,6,0.0,-0.29,0.0,
3,2015-08-12,SS,0,KIA,패배, 3:10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
4,2015-08-18,SS,1,삼성,패배, 12:2,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4,0.01,-0.12,0.0,
5,2015-08-22,SS,0,KT,패배, 3:4,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
6,2015-09-08,SS,0,넥센,패배, 3:11,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
7,2015-09-12,SS,1,KT,패배, 11:1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
8,2015-09-15,SS,1,롯데,패배, 8:2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
9,2015-09-16,SS,1,롯데,패배, 9:7,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
10,2015-09-19,SS,0,한화,패배, 6:7,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
11,2015-09-20,SS,0,한화,승리, 16:4,7,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,-0.26,0.0,
12,2015-09-25,SS,1,KT,패배, 10:4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
13,2015-09-26,SS,1,삼성,승리, 3:14,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
14,2015-09-27,SS,1,LG,패배, 10:3,8,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,6,0.03,-0.26,-0.001,
15,2015-09-30,SS,1,NC,패배, 17:5,9,6,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2,0.0,0.48,0.0,
16,2016-04-07,SS,1,NC,패배, 8:2,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,5,0.21,-0.64,-0.006,
17,2016-04-13,SS,0,한화,승리, 7:3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
18,2016-04-14,SS,0,한화,승리, 17:2,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,5,0.0,-0.39,0.0,
19,2016-04-15,SS,1,삼성,승리, 2:7,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.03,-0.39,-0.001,
20,2016-04-17,SS,1,삼성,승리, 2:6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
21,2016-04-20,SS,0,KT,승리, 13:4,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,-0.28,0.0,
22,2016-04-21,SS,0,KT,패배, 3:8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
23,2016-04-22,SS,1,한화,승리, 2:8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
24,2016-04-23,SS,1,한화,승리, 2:3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
25,2016-04-26,SS,1,SK,승리, 3:4,6,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,3,0.18,-0.22,-0.005,
26,2016-04-29,SS,0,KIA,패배, 1:4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
27,2016-04-30,SS,0,KIA,승리, 7:5,9,6,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.143,0.25,0.143,0.393,10,1.33,-0.14,-0.023,
28,2016-05-04,SS,0,LG,승리, 17:1,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.2,0.111,0.311,6,0.01,-0.8,0.0,
29,2016-05-05,SS,0,LG,패배, 7:8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.2,0.111,0.311,0,,,,
30,2016-05-06,SS,1,롯데,패배, 7:0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.2,0.111,0.311,0,,,,
31,2016-05-08,SS,1,롯데,패배, 17:11,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.2,0.111,0.311,0,,,,
32,2016-05-10,SS,0,SK,승리, 11:7,7,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.182,0.1,0.282,4,0.75,-0.39,-0.018,
33,2016-05-11,SS,0,SK,승리, 7:3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.182,0.1,0.282,0,,,,
34,2016-05-14,SS,0,넥센,승리, 12:2,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.167,0.091,0.258,10,0.0,-0.13,0.0,
35,2016-05-15,SS,0,넥센,승리, 5:3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.167,0.091,0.258,0,,,,
36,2016-05-17,SS,1,KIA,승리, 3:4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.167,0.091,0.258,0,,,,
37,2016-05-18,SS,1,KIA,승리, 5:15,8,3,0,1,1,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.167,0.231,0.25,0.481,1,0.01,1.0,0.0,
