,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2014-03-30,SS,0,삼성,패배, 5:8,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
1,2014-04-01,SS,1,NC,승리, 0:1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
2,2014-06-20,SS,0,두산,승리, 7:1,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4,0.01,-0.23,0.0,before
3,2014-06-24,SS,1,SK,패배, 12:4,4,8,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,5,0.01,0.43,0.001,before
4,2014-06-25,SS,1,SK,승리, 4:5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0,,,,before
5,2014-06-26,SS,1,SK,승리, 4:8,9,8,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,2,0.58,0.27,0.014,before
6,2014-07-01,SS,1,두산,패배, 4:3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,0,,,,before
7,2014-07-03,SS,1,두산,승리, 3:6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,0,,,,before
8,2014-07-04,SS,0,넥센,승리, 10:6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,0,,,,before
9,2014-07-05,SS,0,넥센,패배, 4:6,9,7,1,4,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.5,0.571,0.5,1.071,12,0.98,0.23,0.019,before
10,2014-07-06,SS,0,넥센,패배, 4:5,6,9,1,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.375,0.545,0.375,0.92,28,1.1,-0.22,0.011,before
11,2014-07-08,SS,0,SK,승리, 10:6,6,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.5,0.333,0.833,5,0.25,-0.53,-0.007,before
12,2014-07-09,SS,0,SK,패배, 3:9,5,7,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4,0.571,0.4,0.971,9,0.1,0.64,0.01,before
13,2014-07-10,SS,0,SK,승리, 7:5,6,9,1,4,4,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.429,0.556,0.429,0.985,14,0.78,-0.39,0.008,before
14,2014-07-11,SS,1,롯데,패배, 12:5,6,9,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.353,0.5,0.353,0.853,18,0.28,-0.13,-0.021,before
