,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2013-09-01,SS,1,NC,패배, 12:3,1,10,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,6,0.01,-0.23,0.0,before
1,2013-09-04,SS,0,삼성,승리, 7:5,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,3,0.02,-0.25,-0.001,before
2,2013-09-05,SS,0,두산,패배, 2:6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.5,0.333,0.833,6,0.75,0.55,0.038,before
3,2013-09-06,SS,0,두산,패배, 5:6,7,2,1,4,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0.167,0.375,0.167,0.542,20,1.43,-0.23,-0.057,before
4,2013-09-07,SS,1,한화,패배, 11:5,7,2,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.111,0.333,0.111,0.444,17,0.6,-0.45,-0.026,before
5,2013-09-08,SS,1,한화,패배, 8:7,7,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.111,0.385,0.111,0.496,6,1.81,0.4,0.064,before
6,2013-09-10,SS,1,SK,패배, 5:3,6,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.077,0.294,0.077,0.371,19,2.0,-1.4,-0.194,before
7,2013-09-11,SS,1,SK,승리, 1:2,9,2,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.3,0.125,0.425,11,0.73,-0.22,-0.017,before
8,2013-09-12,SS,0,LG,패배, 3:11,2,2,0,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0.167,0.318,0.222,0.54,6,0.07,-0.78,0.003,before
9,2013-09-13,SS,0,LG,패배, 2:7,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.158,0.304,0.211,0.515,4,0.27,-0.25,-0.007,before
10,2013-09-16,SS,0,한화,패배, 6:9,9,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.28,0.19,0.47,5,0.46,-0.46,-0.022,before
11,2013-09-17,SS,0,한화,승리, 5:2,7,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.25,0.167,0.417,9,0.66,-0.74,-0.05,before
12,2013-09-18,SS,0,롯데,패배, 3:12,8,2,1,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.12,0.29,0.16,0.45,17,2.03,1.5,0.05,before
13,2013-09-19,SS,1,넥센,패배, 4:1,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.115,0.281,0.154,0.435,5,1.85,-0.52,-0.048,before
14,2013-09-20,SS,1,넥센,패배, 6:0,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.148,0.421,3,0.22,-0.51,-0.004,before
15,2013-09-21,SS,0,두산,패배, 6:8,7,2,1,4,4,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0.129,0.27,0.194,0.464,10,1.13,-0.67,-0.048,before
16,2013-09-22,SS,0,두산,패배, 3:11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0.27,0.194,0.464,0,,,,before
17,2013-09-24,SS,1,롯데,패배, 8:2,7,2,1,3,3,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0.147,0.275,0.235,0.51,13,0.96,-1.12,-0.071,before
18,2013-09-25,SS,1,롯데,승리, 1:7,8,2,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.158,0.273,0.237,0.51,13,0.71,0.17,0.106,before
19,2013-09-26,SS,1,롯데,패배, 2:1,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.154,0.267,0.231,0.498,3,2.63,-0.17,-0.065,before
20,2013-09-27,SS,0,SK,패배, 1:1,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15,0.261,0.225,0.486,4,3.04,-0.36,-0.073,before
21,2013-09-28,SS,0,SK,승리, 14:6,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.25,0.214,0.464,7,1.17,-0.77,-0.074,before
22,2013-09-29,SS,1,한화,패배, 14:10,8,2,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.152,0.25,0.217,0.467,9,1.15,0.12,0.046,before
23,2013-09-30,SS,0,NC,승리, 3:0,8,2,1,4,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.16,0.25,0.24,0.49,14,0.84,-0.09,0.015,before
24,2013-10-02,SS,1,SK,패배, 9:0,8,2,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.173,0.259,0.25,0.509,9,0.47,0.15,0.001,before
25,2013-10-03,SS,1,두산,패배, 7:6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0.259,0.25,0.509,0,,,,before
26,2014-04-16,SS,1,한화,패배, 8:6,7,2,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,1.43,-0.15,-0.032,before
27,2014-04-18,SS,0,SK,패배, 0:11,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,4,0.32,-0.13,-0.008,before
28,2014-04-19,SS,0,SK,패배, 4:6,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,5,2.87,-0.42,-0.064,before
29,2014-04-29,SS,1,SK,패배, 18:5,8,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,8,0.01,-0.54,0.0,before
30,2014-05-01,SS,1,SK,승리, 2:20,6,2,0,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.375,0.625,2,0.0,1.21,0.0,before
31,2014-05-03,SS,1,넥센,패배, 3:2,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.222,0.333,0.555,3,6.14,-0.87,-0.155,before
32,2014-05-04,SS,1,넥센,승리, 7:8,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,4,3.19,-0.42,-0.077,before
33,2014-05-05,SS,1,넥센,패배, 16:8,8,2,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.154,0.214,0.231,0.445,13,0.06,-1.41,0.003,before
34,2014-05-09,SS,0,한화,승리, 3:2,8,2,0,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.2,0.25,0.467,0.717,6,2.06,0.71,0.321,before
35,2014-05-10,SS,0,한화,승리, 11:5,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.235,0.438,0.673,5,0.03,-0.36,-0.001,before
36,2014-05-11,SS,0,한화,승리, 5:2,7,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.158,0.2,0.368,0.568,14,0.51,-1.36,-0.044,before
37,2014-05-14,SS,0,NC,패배, 5:9,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15,0.19,0.35,0.54,4,0.13,-0.26,-0.004,before
38,2014-05-16,SS,1,삼성,패배, 4:3,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.182,0.333,0.515,5,2.63,-0.23,-0.065,before
