,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2020-05-07,SS,1,두산,패배, 9:3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
1,2020-06-16,SS,0,한화,승리, 9:5,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.01,-0.29,0.0,before
2,2020-06-17,SS,0,한화,승리, 7:1,9,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0.65,-1.25,-0.082,before
3,2020-06-18,SS,0,한화,승리, 9:7,9,5,0,2,2,0,2,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0.333,0.333,0.5,0.833,6,1.0,1.84,0.123,before
4,2020-06-19,SS,1,두산,패배, 18:10,9,5,1,5,5,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.364,0.364,0.455,0.819,19,0.17,0.81,0.024,before
5,2020-06-20,SS,1,두산,패배, 8:2,9,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.308,0.308,0.385,0.693,4,1.0,-1.04,-0.089,before
6,2020-06-21,SS,1,두산,패배, 3:1,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.308,0.385,0.693,0,,,,before
7,2020-07-11,SS,1,NC,패배, 6:6,7,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.357,0.643,4,1.8,-0.18,-0.045,before
8,2020-07-15,SS,0,롯데,승리, 9:3,9,5,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.467,0.8,2,0.1,0.81,0.005,before
9,2020-07-16,SS,0,롯데,패배, 10:15,9,5,1,4,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.368,0.368,0.474,0.842,15,1.02,0.88,0.04,before
10,2020-07-17,SS,1,한화,승리, 0:8,7,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.429,0.762,7,1.28,-0.89,-0.059,before
11,2020-08-23,SS,1,한화,패배, 4:3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.429,0.762,0,,,,before
12,2020-08-24,SS,1,한화,패배, 6:3,6,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.429,0.762,0,,,,before
13,2020-08-25,SS,0,삼성,패배, 3:4,8,5,1,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.348,0.375,0.435,0.81,11,1.11,0.4,0.056,before
14,2020-08-26,SS,0,삼성,승리, 8:5,8,5,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.36,0.385,0.44,0.825,8,0.54,-0.06,-0.011,before
15,2020-08-27,SS,1,KT,승리, 0:2,9,5,1,3,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.357,0.379,0.429,0.808,11,0.43,-0.17,-0.016,before
16,2020-08-28,SS,1,KT,승리, 5:6,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.345,0.367,0.414,0.781,1,2.53,-2.17,-0.325,before
17,2020-09-01,SS,0,SK,승리, 13:5,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.367,0.414,0.781,0,0.01,0.32,0.0,before
18,2020-09-03,SS,1,NC,승리, 5:6,6,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.367,0.414,0.781,0,,,,before
19,2020-09-04,SS,1,NC,패배, 5:3,1,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.345,0.367,0.414,0.781,0,3.32,0.06,0.033,before
20,2020-09-06,SS,0,롯데,승리, 7:1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.367,0.414,0.781,0,,,,before
21,2020-10-03,SS,0,KT,패배, 2:12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.367,0.414,0.781,0,,,,before
22,2020-10-04,SS,0,KT,승리, 13:8,7,3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.367,0.387,0.433,0.82,5,0.2,1.0,0.007,before
