,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2008-03-29,SS,1,롯데,패배, 11:1,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
1,2008-04-01,SS,0,우리,패배, 5:6,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
2,2008-04-09,SS,0,두산,패배, 1:5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
3,2008-04-18,SS,0,KIA,승리, 6:1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
4,2008-04-23,SS,0,LG,승리, 8:4,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
5,2008-04-24,SS,0,LG,승리, 13:1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
6,2008-04-25,SS,1,두산,패배, 4:3,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
7,2008-04-26,SS,1,두산,승리, 2:3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
8,2008-04-27,SS,1,두산,승리, 3:4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
9,2008-04-29,SS,1,SK,패배, 8:4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
10,2008-05-03,SS,0,삼성,패배, 5:13,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
11,2008-05-05,SS,0,삼성,승리, 8:1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
12,2008-05-06,SS,0,롯데,승리, 4:3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
13,2008-05-09,SS,1,LG,승리, 5:11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
14,2008-05-11,SS,1,LG,패배, 6:1,7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0,,,,before
15,2008-05-14,SS,1,KIA,패배, 10:4,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.125,0.25,0,,,,before
16,2008-05-15,SS,1,KIA,패배, 6:5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,0,,,,before
17,2008-05-21,SS,0,두산,패배, 2:6,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,0,,,,before
18,2008-05-22,SS,0,두산,패배, 3:4,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1,0.2,0,,,,before
19,2008-05-23,SS,1,삼성,패배, 12:5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,,,,before
20,2008-05-24,SS,1,삼성,패배, 11:4,4,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.182,0.182,0.273,0.455,0,,,,before
21,2008-05-31,SS,1,LG,패배, 11:7,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.25,0.417,0,,,,before
22,2008-06-01,SS,1,LG,패배, 8:2,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.231,0.385,0,,,,before
23,2008-06-03,SS,0,KIA,승리, 4:1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.214,0.357,0,,,,before
24,2008-06-04,SS,0,KIA,패배, 1:6,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.133,0.2,0.333,0,,,,before
25,2008-06-10,SS,0,삼성,승리, 10:1,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.125,0.125,0.188,0.313,0,,,,before
26,2008-06-12,SS,0,삼성,승리, 9:2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.118,0.118,0.176,0.294,0,,,,before
27,2008-06-14,SS,0,LG,승리, 14:4,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.167,0.278,0,,,,before
28,2008-06-19,SS,1,롯데,승리, 8:9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.167,0.278,0,,,,before
29,2008-06-20,SS,0,우리,승리, 13:2,5,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.158,0.158,0.211,0.369,0,,,,before
30,2008-06-22,SS,0,우리,패배, 0:7,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15,0.15,0.2,0.35,0,,,,before
31,2008-07-10,SS,0,KIA,승리, 2:0,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.136,0.182,0.318,0,,,,before
32,2008-07-11,SS,1,우리,승리, 4:7,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.174,0.304,0,,,,before
33,2008-07-12,SS,1,우리,패배, 11:5,9,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.208,0.375,0,,,,before
34,2008-07-13,SS,1,우리,승리, 6:7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.208,0.375,0,,,,before
35,2008-07-16,SS,1,LG,승리, 4:11,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16,0.16,0.2,0.36,0,,,,before
36,2008-08-26,SS,1,롯데,패배, 11:4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.2,0.36,0,,,,before
37,2008-08-28,SS,1,롯데,패배, 11:4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.2,0.36,0,,,,before
38,2008-08-31,SS,1,SK,패배, 16:2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.192,0.346,0,,,,before
39,2008-09-02,SS,0,두산,패배, 1:6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.192,0.346,0,,,,before
40,2008-09-04,SS,0,두산,패배, 5:6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.154,0.185,0.192,0.377,0,,,,before
41,2008-09-09,SS,0,LG,패배, 0:2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.185,0.192,0.377,0,,,,before
42,2008-09-10,SS,0,LG,패배, 0:1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.185,0.192,0.377,0,,,,before
43,2008-09-16,SS,1,롯데,패배, 9:6,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.179,0.185,0.364,0,,,,before
44,2008-09-17,SS,1,롯데,승리, 4:7,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.172,0.179,0.351,0,,,,before
45,2008-10-04,SS,1,우리,승리, 3:5,8,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.161,0.167,0.328,0,,,,before
46,2009-04-04,SS,0,SK,승리, 8:2,9,0,1,3,3,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.667,0.75,0.667,1.417,0,,,,before
47,2009-04-05,SS,0,SK,패배, 2:5,9,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.286,0.375,0.286,0.661,0,,,,before
48,2009-04-07,SS,1,두산,패배, 7:7,9,0,1,5,5,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.25,0.308,0.333,0.641,0,,,,before
49,2009-04-08,SS,1,두산,승리, 2:3,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.231,0.286,0.308,0.594,0,,,,before
50,2009-04-09,SS,1,두산,패배, 11:2,9,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.235,0.278,0.294,0.572,0,,,,before
51,2009-04-10,SS,1,롯데,승리, 3:8,9,0,1,4,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.238,0.273,0.429,0.702,0,,,,before
52,2009-04-11,SS,1,롯데,승리, 6:10,9,0,1,4,4,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.28,0.308,0.48,0.788,0,,,,before
53,2009-04-12,SS,1,롯데,패배, 7:4,9,0,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.276,0.3,0.448,0.748,0,,,,before
54,2009-04-14,SS,0,삼성,승리, 7:5,9,0,1,2,2,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.29,0.353,0.452,0.805,0,,,,before
55,2009-04-16,SS,0,삼성,패배, 2:8,9,0,1,4,4,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.286,0.342,0.429,0.771,0,,,,before
56,2009-04-17,SS,1,SK,패배, 10:9,7,0,1,5,5,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.275,0.326,0.4,0.726,0,,,,before
57,2009-04-18,SS,1,SK,패배, 9:4,7,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.256,0.304,0.372,0.676,0,,,,before
58,2009-04-19,SS,1,SK,패배, 8:2,9,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.239,0.286,0.348,0.634,0,,,,before
59,2009-04-21,SS,0,우리,승리, 8:4,2,0,1,5,5,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.255,0.296,0.392,0.688,0,,,,before
60,2009-04-22,SS,0,우리,승리, 11:1,9,0,1,4,4,1,3,0,0,1,6,1,0,0,0,0,0,0,0,1,0,0.291,0.328,0.473,0.801,0,,,,before
61,2009-04-23,SS,0,우리,승리, 7:6,2,0,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.283,0.317,0.45,0.767,0,,,,before
62,2009-04-26,SS,0,두산,패배, 2:6,9,0,1,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.297,0.328,0.453,0.781,0,,,,before
