,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2015-05-08,SS,0,NC,패배, 3:4,8,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,12,1.13,-0.15,0.0,before
1,2015-05-10,SS,0,NC,패배, 2:6,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.333,0.0,0.333,7,1.02,-0.83,-0.027,before
2,2015-05-14,SS,1,넥센,패배, 10:5,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,0,,,,before
3,2015-05-16,SS,0,KT,승리, 10:1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,0,,,,before
4,2015-05-17,SS,0,KT,승리, 6:2,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,3,0.03,-0.12,-0.001,before
5,2015-05-20,SS,1,KIA,패배, 9:5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0,,,,before
6,2015-05-22,SS,1,LG,패배, 20:12,9,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,4,0.01,0.32,0.0,before
7,2015-05-23,SS,1,LG,승리, 11:19,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.2,0.533,3,0.0,-0.12,0.0,before
8,2015-05-24,SS,1,LG,승리, 3:10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.2,0.533,0,,,,before
9,2015-05-26,SS,0,SK,승리, 10:5,4,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.429,0.2,0.629,5,0.02,0.48,0.001,before
10,2015-05-27,SS,0,SK,패배, 0:6,8,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.333,0.143,0.476,8,1.8,-0.47,-0.027,before
11,2015-05-29,SS,1,한화,승리, 1:9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.333,0.143,0.476,0,,,,before
12,2015-06-03,SS,0,삼성,패배, 1:8,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.3,0.125,0.425,4,0.01,-0.2,0.0,before
13,2015-06-04,SS,0,삼성,패배, 2:6,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111,0.273,0.111,0.384,2,0.75,-0.94,-0.031,before
14,2015-06-24,SS,1,삼성,승리, 9:13,7,3,0,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.25,0.357,0.25,0.607,9,0.34,1.69,0.054,before
15,2015-06-26,SS,1,넥센,승리, 2:8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.357,0.25,0.607,0,,,,before
16,2015-06-27,SS,1,넥센,패배, 8:3,6,4,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.267,0.353,0.267,0.62,11,0.61,-0.27,0.006,before
17,2015-06-28,SS,1,넥센,패배, 7:1,9,4,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.263,0.333,0.263,0.596,14,0.65,-0.87,-0.018,before
18,2015-07-01,SS,0,NC,승리, 4:3,6,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0.364,0.3,0.664,6,2.87,0.45,0.115,before
19,2015-07-03,SS,1,SK,패배, 8:7,7,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.273,0.333,0.273,0.606,8,4.48,-0.84,-0.208,before
20,2015-07-04,SS,1,SK,승리, 2:7,7,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0.308,0.25,0.558,6,0.91,-0.73,-0.056,before
21,2015-07-07,SS,0,LG,승리, 7:6,7,4,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.28,0.333,0.32,0.653,5,0.26,0.62,0.019,before
22,2015-07-09,SS,0,LG,패배, 1:2,9,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.321,0.308,0.629,8,1.32,-0.12,-0.034,before
23,2015-09-03,SS,0,KIA,승리, 7:5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.321,0.308,0.629,0,0.45,0.03,0.002,before
24,2015-09-08,SS,0,SK,승리, 10:4,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.321,0.308,0.629,0,,,,before
25,2015-09-09,SS,0,SK,패배, 2:3,8,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.31,0.296,0.606,4,0.91,-0.2,-0.023,before
26,2015-10-02,SS,0,넥센,패배, 6:10,7,3,1,4,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.29,0.333,0.419,0.752,16,1.11,1.59,0.142,before
