,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2013-04-02,SS,1,롯데,패배, 4:0,3,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1.27,0.16,0.025,before
1,2013-04-03,SS,1,롯데,패배, 3:2,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4,2.63,-0.17,-0.065,before
2,2013-04-04,SS,1,롯데,패배, 5:1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,5,1.5,0.2,0.017,before
3,2013-04-05,SS,0,삼성,패배, 4:10,3,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,1,0.01,-0.36,0.0,before
4,2013-04-07,SS,0,삼성,패배, 2:4,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,0,,,,before
5,2013-04-09,SS,0,LG,패배, 5:9,8,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.2,0.0,0.2,5,0.65,-0.75,-0.033,before
6,2013-04-11,SS,0,LG,승리, 4:1,3,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.2,0,1.06,0.13,0.009,before
7,2013-04-14,SS,1,SK,승리, 3:4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.2,0,,,,before
8,2013-04-16,SS,0,한화,패배, 4:6,7,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.167,0.0,0.167,2,1.76,0.02,0.022,before
9,2013-04-17,SS,0,한화,패배, 3:4,6,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.167,0.0,0.167,0,2.89,0.26,0.05,before
10,2013-04-18,SS,0,한화,패배, 5:8,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.167,0.0,0.167,0,,,,before
11,2013-04-19,SS,0,넥센,패배, 0:1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.167,0.0,0.167,0,,,,before
12,2013-04-21,SS,0,넥센,패배, 2:11,3,4,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.167,0.286,0.333,0.619,5,0.01,1.2,0.001,before
13,2013-04-24,SS,1,KIA,패배, 5:5,7,4,1,6,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.182,0.308,0.273,0.581,18,1.79,-0.24,-0.21,before
14,2013-04-25,SS,1,KIA,패배, 11:4,7,4,1,4,4,0,3,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0.333,0.412,0.467,0.879,11,0.76,2.31,0.126,before
15,2013-04-26,SS,1,두산,패배, 8:4,8,5,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.412,0.474,0.529,1.003,7,0.72,0.56,0.052,before
16,2013-04-27,SS,1,두산,패배, 8:5,2,4,1,4,4,0,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.381,0.435,0.524,0.959,10,1.43,0.33,0.006,before
17,2013-04-28,SS,1,두산,패배, 3:1,2,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.4,0.478,0.878,8,0.78,-0.42,-0.039,before
18,2013-05-01,SS,1,LG,승리, 6:7,8,4,1,3,2,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0.36,0.429,0.48,0.909,17,0.9,-0.69,-0.055,before
19,2013-05-02,SS,1,LG,승리, 1:8,2,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,0.4,0.444,0.844,11,0.54,-0.35,-0.027,before
20,2013-05-07,SS,1,한화,패배, 8:4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.4,0.444,0.844,0,,,,before
21,2013-05-08,SS,1,한화,패배, 6:4,6,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.4,0.444,0.844,0,0.54,0.2,0.009,before
22,2013-05-09,SS,1,한화,승리, 3:7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.4,0.444,0.844,0,,,,before
23,2013-05-10,SS,0,두산,패배, 3:4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.4,0.444,0.844,0,,,,before
24,2013-05-11,SS,0,두산,패배, 5:6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.4,0.444,0.844,0,,,,before
25,2013-05-12,SS,0,두산,승리, 17:5,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.4,0.444,0.844,0,,,,before
26,2013-05-14,SS,0,롯데,패배, 2:2,8,4,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.345,0.406,0.448,0.854,6,2.35,-0.01,-0.001,before
27,2013-05-15,SS,0,롯데,승리, 6:4,6,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.345,0.406,0.448,0.854,0,0.65,-0.46,-0.022,before
28,2013-05-16,SS,0,롯데,승리, 8:5,8,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.394,0.433,0.827,4,4.05,-0.39,-0.099,before
29,2013-05-17,SS,1,삼성,패배, 2:1,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.394,0.433,0.827,0,,,,before
30,2013-05-18,SS,1,삼성,패배, 7:3,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.394,0.433,0.827,0,,,,before
31,2013-05-21,SS,0,SK,패배, 2:6,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.394,0.433,0.827,0,,,,before
32,2013-05-25,SS,0,KIA,승리, 9:2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.394,0.433,0.827,0,,,,before
33,2013-05-26,SS,0,KIA,패배, 4:7,9,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.394,0.433,0.827,0,,,,before
34,2013-05-29,SS,1,넥센,패배, 6:4,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.394,0.433,0.827,0,,,,before
35,2013-05-31,SS,0,한화,승리, 7:2,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.394,0.433,0.827,0,,,,before
