,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2014-10-13,SS,0,SK,패배, 6:7,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
1,2014-10-15,SS,1,SK,승리, 3:6,1,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,10,0.18,-0.58,-0.009,
2,2014-10-16,SS,1,SK,패배, 7:5,3,9,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,8,2.48,-0.15,0.021,
3,2014-10-17,SS,1,NC,승리, 1:2,3,7,0,4,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.25,0.25,0.375,0.625,15,1.99,-0.79,-0.191,
4,2017-04-22,SS,0,SK,패배, 4:8,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4,0.34,-0.28,-0.009,
5,2017-04-25,SS,0,넥센,패배, 9:13,4,7,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,6,0.1,0.18,0.006,
6,2017-09-03,SS,1,삼성,승리, 1:7,4,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,3,0.02,-0.4,0.0,
7,2017-09-13,SS,0,NC,승리, 13:3,6,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,3,0.0,-0.38,0.0,
8,2018-03-27,SS,0,KIA,패배, 0:17,3,9,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,5,0.0,0.32,0.0,before
9,2018-04-08,SS,0,SK,승리, 12:4,3,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,9,0.0,0.44,0.0,before
10,2018-04-10,SS,1,두산,패배, 8:1,7,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.4,0.25,0.65,7,0.82,-1.24,-0.077,before
11,2018-04-11,SS,1,두산,패배, 7:6,8,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.333,0.2,0.533,5,2.34,-0.37,-0.056,before
12,2018-04-24,SS,1,NC,승리, 2:7,8,10,1,4,2,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.286,0.5,0.286,0.786,17,0.48,1.05,0.031,before
13,2018-04-25,SS,1,NC,패배, 9:2,8,10,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.417,0.222,0.639,7,1.46,-0.86,-0.074,before
14,2018-04-27,SS,0,LG,패배, 2:9,3,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.385,0.2,0.585,5,0.0,-0.12,0.0,before
15,2018-05-01,SS,1,SK,패배, 12:3,8,10,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.231,0.375,0.231,0.606,7,0.07,-0.34,-0.004,before
16,2018-08-12,SS,1,NC,승리, 2:9,7,10,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.188,0.316,0.188,0.504,11,1.11,-0.87,-0.094,before
17,2019-04-25,SS,1,SK,패배, 4:3,8,10,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,8,1.28,-0.68,-0.072,before
18,2019-07-09,SS,1,KIA,승리, 2:3,9,9,1,3,3,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.4,0.4,0.6,1.0,12,1.22,0.87,0.094,before
19,2019-07-11,SS,1,KIA,승리, 2:4,8,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.375,0.625,8,0.95,0.0,-0.022,before
20,2019-07-12,SS,0,LG,승리, 6:3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.375,0.625,0,,,,before
21,2019-07-16,SS,0,키움,패배, 0:6,7,10,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.182,0.273,0.455,13,0.5,-0.48,-0.038,before
22,2019-07-18,SS,0,키움,패배, 1:5,7,7,1,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.357,0.571,9,0.97,-0.18,-0.033,before
23,2019-07-26,SS,1,한화,승리, 8:9,9,9,1,3,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.235,0.235,0.412,0.647,9,0.57,0.42,0.025,before
24,2019-07-28,SS,1,한화,승리, 6:13,6,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.389,0.611,1,0.0,-0.26,0.0,before
25,2019-07-31,SS,1,롯데,패배, 8:4,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.211,0.368,0.579,7,0.06,-0.1,-0.002,before
26,2019-08-01,SS,1,롯데,패배, 9:4,9,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.182,0.182,0.318,0.5,18,0.09,-0.36,-0.006,before
27,2019-09-20,SS,0,한화,패배, 3:5,8,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.174,0.304,0.478,1,2.41,-0.34,-0.068,before
28,2019-09-21,SS,0,KT,승리, 6:3,7,10,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.185,0.185,0.296,0.481,12,0.4,-0.32,0.004,before
29,2019-09-29,SS,0,KT,패배, 0:7,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.179,0.286,0.465,3,0.03,-0.26,-0.001,before
30,2020-05-19,SS,1,LG,패배, 10:6,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,7,0.85,-1.07,-0.031,before
31,2020-05-21,SS,1,LG,패배, 2:0,6,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,1.06,0.29,0.046,before
32,2020-05-22,SS,1,두산,패배, 12:7,6,9,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.2,0.333,0.2,0.533,21,1.05,-1.1,-0.092,before
33,2020-05-24,SS,1,두산,승리, 0:13,8,3,0,2,2,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.286,0.375,0.429,0.804,9,0.01,0.77,0.001,before
34,2020-05-27,SS,0,롯데,승리, 11:1,5,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333,0.375,0.708,4,0.0,-0.18,0.0,before
35,2020-05-29,SS,1,NC,승리, 4:5,7,10,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.273,0.333,0.364,0.697,13,1.53,0.41,0.079,before
36,2020-05-30,SS,1,NC,승리, 1:9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.333,0.364,0.697,0,,,,before
