,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2024-03-23,SS,0,KIA,패배, 5:7,9,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,5,0.59,-0.55,-0.031,after
1,2024-03-26,SS,0,NC,패배, 5:10,9,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,10,0.41,-0.59,-0.021,after
2,2024-03-27,SS,0,NC,패배, 2:6,9,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,13,0.92,-1.22,-0.097,after
3,2024-03-29,SS,1,LG,패배, 3:0,9,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,9,0.81,-0.32,-0.041,after
4,2024-03-31,SS,1,LG,승리, 4:8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,after
5,2024-04-02,SS,0,삼성,승리, 8:3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,after
6,2024-04-04,SS,0,삼성,승리, 10:1,7,6,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.091,0.091,0.182,0.273,1,0.0,0.26,0.0,after
7,2024-04-10,SS,0,SSG,패배, 4:8,9,6,1,3,3,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0.214,0.214,0.5,0.714,8,0.94,2.55,0.258,after
8,2024-04-11,SS,0,SSG,승리, 5:2,9,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.389,0.556,16,0.82,-1.34,-0.078,after
9,2024-04-12,SS,1,롯데,승리, 4:9,9,6,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.182,0.182,0.364,0.546,12,0.58,-0.74,-0.058,after
10,2024-04-13,SS,1,롯데,승리, 1:8,9,6,1,4,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.385,0.616,11,0.41,0.57,0.056,after
