,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2021-04-07,SS,0,KT,패배, 3:7,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4.45,-1.18,-0.281,before
1,2021-04-08,SS,0,KT,승리, 7:3,7,3,1,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.333,0.5,0.333,0.833,11,0.79,1.31,0.089,before
2,2021-04-09,SS,1,SSG,승리, 5:9,8,3,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.2,0.429,0.2,0.629,11,1.32,-0.55,-0.048,before
3,2021-04-10,SS,1,SSG,패배, 4:3,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.375,0.167,0.542,7,2.63,-0.19,-0.065,before
4,2021-04-11,SS,1,SSG,승리, 0:1,2,10,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.125,0.3,0.125,0.425,11,1.17,-0.28,-0.019,before
5,2021-04-14,SS,0,키움,승리, 13:2,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.111,0.384,4,0.0,-0.26,0.0,before
6,2021-04-17,SS,1,두산,패배, 3:1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.111,0.384,0,,,,before
7,2021-05-26,SS,0,롯데,승리, 5:3,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.25,0.1,0.35,5,2.75,-0.34,-0.078,before
8,2021-06-09,SS,1,NC,승리, 3:6,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.091,0.322,4,0.08,-0.19,-0.002,before
9,2021-06-10,SS,1,NC,패배, 6:0,9,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.083,0.214,0.083,0.297,4,0.89,-0.36,-0.022,before
10,2021-06-12,SS,1,두산,패배, 8:3,7,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.071,0.188,0.071,0.259,7,0.82,-0.36,-0.041,before
11,2021-06-15,SS,0,키움,승리, 4:2,2,8,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.133,0.235,0.133,0.368,2,1.6,-0.19,-0.013,before
12,2021-06-26,SS,0,삼성,패배, 7:10,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.222,0.125,0.347,7,0.75,-0.26,-0.019,before
