,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2016-05-31,SS,0,LG,패배, 6:6,9,9,1,6,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.167,0.0,0.167,30,2.14,-1.73,-0.291,before
1,2016-06-01,SS,0,LG,승리, 5:1,9,9,1,4,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.1,0.0,0.1,16,0.67,-0.26,0.045,before
2,2016-06-02,SS,0,LG,패배, 1:9,9,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.077,0.0,0.077,6,0.32,-1.17,-0.024,before
3,2016-06-03,SS,1,넥센,패배, 9:1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.077,0.0,0.077,0,,,,before
4,2016-06-05,SS,1,넥센,패배, 4:3,2,9,1,3,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0.067,0.125,0.067,0.192,17,1.0,-0.82,-0.086,before
5,2016-06-07,SS,0,한화,패배, 3:5,8,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.059,0.111,0.059,0.17,6,0.82,-0.5,-0.043,before
6,2016-06-08,SS,0,한화,패배, 3:5,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.111,0.059,0.17,0,,,,before
7,2016-06-09,SS,0,한화,승리, 12:1,7,9,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.158,0.2,0.158,0.358,7,0.04,1.41,0.004,before
8,2016-06-10,SS,1,삼성,승리, 0:4,7,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15,0.19,0.15,0.34,4,0.62,-0.39,-0.015,before
9,2016-06-11,SS,1,삼성,패배, 5:4,9,9,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.143,0.217,0.143,0.36,11,0.94,-0.16,-0.015,before
10,2016-06-12,SS,1,삼성,패배, 10:7,2,9,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.12,0.185,0.12,0.305,14,0.6,-1.81,-0.08,before
11,2016-06-14,SS,1,두산,패배, 8:6,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.185,0.12,0.305,0,,,,before
12,2016-06-16,SS,1,두산,패배, 13:4,3,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.12,0.214,0.12,0.334,7,0.0,0.43,0.0,before
13,2016-09-14,SS,1,넥센,패배, 7:3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.214,0.12,0.334,0,,,,before
14,2016-09-15,SS,0,LG,패배, 3:5,1,9,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.154,0.241,0.154,0.395,2,0.97,0.3,0.045,before
15,2016-09-19,SS,0,한화,승리, 4:2,1,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.226,0.143,0.369,9,0.7,-1.27,-0.035,before
16,2016-09-23,SS,0,NC,패배, 7:11,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.138,0.219,0.138,0.357,3,0.04,-0.13,-0.001,before
17,2017-05-23,SS,0,한화,승리, 13:8,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.02,-0.4,-0.001,before
18,2017-05-24,SS,0,한화,승리, 9:3,1,7,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,3,0.0,0.31,0.0,before
19,2017-05-25,SS,0,한화,승리, 6:4,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0,,,,before
20,2017-05-26,SS,1,롯데,패배, 8:2,4,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.667,0.5,1.167,8,0.1,0.55,0.003,before
21,2017-05-27,SS,1,롯데,승리, 7:15,4,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,7,0.01,-0.38,0.0,before
22,2017-05-28,SS,1,롯데,승리, 4:8,4,10,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0.6,0.5,1.1,4,2.17,-0.73,-0.154,before
23,2017-05-30,SS,0,NC,승리, 9:7,8,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.5,1.1,0,,,,before
24,2017-05-31,SS,0,NC,승리, 10:2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.5,1.1,0,,,,before
25,2017-06-01,SS,0,NC,패배, 7:8,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.5,1.1,0,,,,before
