,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2014-03-29,SS,1,KIA,패배, 2:1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,
1,2014-03-30,SS,1,KIA,승리, 5:8,8,2,1,4,3,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.333,0.5,0.333,0.833,18,0.95,0.03,0.079,
2,2014-04-01,SS,0,한화,승리, 6:5,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.2,0.533,7,0.77,-0.36,-0.026,
3,2014-04-02,SS,0,한화,패배, 5:10,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.25,0.143,0.393,8,0.91,-0.71,-0.048,
4,2014-04-04,SS,0,롯데,패배, 2:4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.25,0.143,0.393,0,,,,
5,2014-04-05,SS,0,롯데,패배, 4:6,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.125,0.222,0.125,0.347,8,1.31,-0.76,-0.06,
6,2014-04-06,SS,0,롯데,승리, 7:1,8,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.083,0.154,0.083,0.237,19,0.37,-1.26,-0.041,
7,2014-04-11,SS,1,SK,패배, 3:2,8,2,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.125,0.176,0.125,0.301,17,1.65,0.23,0.03,
8,2014-04-12,SS,1,SK,패배, 10:7,8,2,1,3,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.211,0.25,0.263,0.513,11,1.17,0.35,0.026,
9,2014-04-13,SS,1,SK,승리, 9:10,8,2,1,5,3,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.227,0.32,0.273,0.593,20,0.3,0.93,0.022,
10,2014-04-15,SS,1,두산,패배, 4:1,8,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.208,0.296,0.25,0.546,9,0.74,-0.41,-0.038,
