,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2016-04-06,SS,0,롯데,패배, 1:11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
1,2016-04-07,SS,0,롯데,승리, 8:3,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.01,-0.13,0.0,before
2,2016-04-12,SS,1,KIA,패배, 7:6,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,5,2.63,-0.22,-0.065,before
3,2016-04-17,SS,0,KT,승리, 10:6,6,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,1.8,-0.22,-0.045,before
4,2016-04-19,SS,1,넥센,패배, 3:1,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4,3.21,-0.64,-0.089,before
5,2016-09-01,SS,0,넥센,패배, 2:8,5,11,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,0.01,0.41,0.001,before
6,2016-09-02,SS,0,넥센,패배, 9:10,8,10,1,3,2,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.286,0.375,0.286,0.661,12,0.68,0.53,0.044,before
7,2016-09-03,SS,0,NC,승리, 10:7,8,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333,0.25,0.583,3,0.39,-0.13,-0.01,before
8,2016-09-07,SS,1,KIA,승리, 3:11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333,0.25,0.583,0,,,,before
9,2016-09-08,SS,1,넥센,승리, 3:12,8,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.2,0.273,0.2,0.473,6,0.32,-0.42,-0.016,before
10,2016-09-10,SS,0,한화,패배, 0:14,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.182,0.25,0.182,0.432,4,0.0,-0.28,0.0,before
11,2022-05-11,SS,1,KT,패배, 10:5,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,0.31,-0.51,-0.016,after
12,2022-05-13,SS,0,LG,승리, 10:1,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,after
13,2022-05-15,SS,0,LG,패배, 3:6,8,11,0,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,5,0.17,1.0,0.008,after
14,2022-05-18,SS,0,롯데,승리, 15:7,8,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.143,0.143,0.571,0.714,22,1.55,0.04,-0.013,after
15,2022-08-20,SS,0,KT,승리, 5:2,8,3,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.111,0.2,0.444,0.644,10,1.03,-0.98,-0.074,after
16,2022-08-21,SS,0,KT,패배, 3:11,9,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.182,0.4,0.582,3,0.03,-0.37,-0.001,after
17,2022-08-24,SS,0,키움,패배, 10:11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.182,0.4,0.582,0,,,,after
18,2022-09-04,SS,1,KT,패배, 6:2,9,5,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.083,0.214,0.333,0.547,17,0.84,-0.18,-0.013,after
19,2022-09-09,SS,0,SSG,승리, 16:9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.214,0.333,0.547,0,,,,after
20,2022-10-08,SS,1,KT,패배, 7:2,7,3,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.071,0.235,0.286,0.521,17,1.46,-0.4,-0.044,after
