,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2009-04-22,SS,1,한화,패배, 11:1,7,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,,,,before
1,2009-04-23,SS,1,한화,패배, 7:6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
2,2009-04-25,SS,0,SK,패배, 1:7,7,0,1,4,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.375,0.75,0,,,,before
3,2009-04-26,SS,0,SK,패배, 3:4,7,0,1,2,2,1,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0.4,0.455,0.7,1.155,0,,,,before
4,2009-04-27,SS,0,SK,승리, 7:4,6,0,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.308,0.4,0.538,0.938,0,,,,before
5,2009-04-28,SS,0,삼성,패배, 1:4,7,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.235,0.316,0.412,0.728,0,,,,before
6,2009-04-30,SS,0,삼성,승리, 8:1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.3,0.389,0.689,0,,,,before
7,2009-05-01,SS,0,LG,패배, 5:9,7,0,1,4,3,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0,0,0.238,0.333,0.524,0.857,0,,,,before
8,2009-05-02,SS,0,LG,패배, 2:6,6,0,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.261,0.346,0.522,0.868,0,,,,before
9,2009-05-03,SS,0,LG,패배, 4:7,6,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.24,0.345,0.48,0.825,0,,,,before
10,2009-05-05,SS,1,KIA,승리, 6:7,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.333,0.462,0.795,0,,,,before
11,2009-05-06,SS,1,KIA,패배, 6:5,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.323,0.444,0.767,0,,,,before
12,2009-05-08,SS,0,SK,패배, 4:4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.323,0.444,0.767,0,,,,before
13,2009-05-09,SS,0,SK,패배, 3:7,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.214,0.313,0.429,0.742,0,,,,before
14,2009-05-10,SS,0,SK,패배, 2:8,7,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.194,0.306,0.387,0.693,0,,,,before
15,2009-09-26,SS,0,LG,패배, 8:9,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.182,0.289,0.364,0.653,0,,,,before
16,2010-04-11,SS,1,SK,패배, 10:1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,,,,before
17,2010-04-13,SS,1,롯데,패배, 9:0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
18,2010-04-14,SS,1,롯데,승리, 5:6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.333,0.0,0.333,0,,,,before
19,2010-04-15,SS,1,롯데,패배, 6:0,7,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.167,0.0,0.167,0,,,,before
20,2010-05-23,SS,0,KIA,패배, 3:13,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.143,0.0,0.143,0,,,,before
21,2010-05-25,SS,0,한화,패배, 0:2,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.125,0.0,0.125,0,,,,before
22,2010-05-27,SS,0,한화,승리, 6:3,7,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.1,0.0,0.1,0,,,,before
23,2010-05-28,SS,1,LG,승리, 6:8,7,0,1,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.083,0.214,0.083,0.297,0,,,,before
24,2010-05-29,SS,1,LG,패배, 12:9,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.188,0.071,0.259,0,,,,before
25,2010-06-01,SS,0,두산,패배, 1:7,7,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.118,0.211,0.118,0.329,0,,,,before
26,2010-06-03,SS,0,두산,패배, 0:9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.211,0.118,0.329,0,,,,before
27,2010-06-04,SS,1,KIA,패배, 7:4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111,0.2,0.111,0.311,0,,,,before
28,2010-06-27,SS,1,삼성,패배, 2:1,6,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.143,0.217,0.143,0.36,0,,,,before
29,2010-06-29,SS,0,LG,패배, 4:8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.136,0.208,0.136,0.344,0,,,,before
30,2010-06-30,SS,0,LG,승리, 7:3,7,0,1,5,4,1,3,0,0,1,6,3,0,0,0,1,0,0,0,0,0,0.231,0.31,0.346,0.656,0,,,,before
31,2010-07-01,SS,0,LG,승리, 12:5,7,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.241,0.313,0.345,0.658,0,,,,before
32,2010-07-03,SS,1,한화,패배, 7:2,7,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.219,0.286,0.313,0.599,0,,,,before
33,2010-07-04,SS,1,한화,패배, 7:1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.219,0.306,0.313,0.619,0,,,,before
