,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2015-08-22,SS,1,넥센,승리, 3:4,9.0,6.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12,1.4,-0.8,-0.103,before
1,2015-08-23,SS,1,넥센,승리, 4:5,9.0,6.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,7,0.99,-0.29,-0.025,before
2,2015-08-27,SS,1,SK,패배, 6:3,5.0,11.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,3,0.6,-0.4,-0.017,before
3,2015-08-30,SS,0,삼성,패배, 9:15,7.0,6.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.05,-0.48,-0.002,before
4,2015-09-01,SS,0,넥센,패배, 2:11,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
5,2015-09-02,SS,0,넥센,패배, 8:9,9.0,6.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,3,0.34,0.45,0.018,before
6,2015-09-03,SS,1,KT,패배, 3:1,7.0,6.0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,7,1.08,0.1,0.004,before
7,2015-09-04,SS,1,KT,승리, 1:8,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,,before
8,2015-09-05,SS,1,롯데,패배, 9:4,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,,before
9,2015-09-06,SS,1,롯데,패배, 1:1,9.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444,0,,,,before
10,2015-09-08,SS,1,한화,승리, 7:8,8.0,11.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,3,2.92,-0.38,-0.071,before
11,2015-09-09,SS,1,한화,승리, 1:8,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,,,,before
12,2015-09-19,SS,1,넥센,패배, 7:5,7.0,6.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,8,1.42,-0.78,-0.073,before
13,2015-09-20,SS,1,KT,승리, 3:7,8.0,6.0,1,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.214,0.267,0.214,0.481,16,0.17,0.2,-0.004,before
14,2015-09-21,SS,1,KT,패배, 4:1,8.0,6.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.176,0.222,0.176,0.398,11,1.71,-0.92,-0.123,before
15,2015-09-22,SS,0,KIA,승리, 15:5,8.0,6.0,1,5,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.227,0.261,0.227,0.488,14,0.11,-0.04,-0.007,before
16,2015-09-25,SS,0,NC,승리, 5:4,8.0,6.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.217,0.25,0.217,0.467,4,1.86,-0.64,-0.042,before
17,2015-09-27,SS,0,두산,승리, 10:3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.25,0.217,0.467,0,,,,before
18,2015-09-30,SS,0,SK,패배, 1:8,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.25,0.217,0.467,0,,,,before
19,2015-10-01,SS,1,NC,패배, 7:2,6.0,6.0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.208,0.231,0.208,0.439,5,0.22,-0.49,-0.009,before
20,2016-06-18,SS,1,KIA,승리, 1:7,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
