,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA,trade_team
0,2011-09-24,SS,0,LG,승리, 7:6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
1,2011-09-28,SS,1,넥센,패배, 5:0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
2,2011-09-29,SS,1,삼성,패배, 3:3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
3,2011-10-04,SS,0,KIA,패배, 0:4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.5,0.0,0.5,0,,,,before
4,2011-10-05,SS,0,KIA,승리, 3:0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0,,,,before
5,2011-10-06,SS,0,KIA,승리, 6:5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.667,0.0,0.667,0,,,,before
6,2012-05-17,SS,1,LG,패배, 1:0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
7,2012-05-18,SS,0,한화,승리, 9:3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
8,2012-05-19,SS,0,한화,승리, 10:4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,,,,before
9,2012-05-20,SS,0,한화,승리, 13:10,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0,,,,before
10,2012-05-24,SS,1,두산,패배, 11:2,5,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0.75,0.5,1.25,0,,,,before
11,2012-05-25,SS,0,삼성,패배, 1:7,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.6,0.333,0.933,0,,,,before
12,2012-06-06,SS,0,두산,패배, 1:2,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.429,0.2,0.629,0,,,,before
13,2012-06-07,SS,0,두산,승리, 2:1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.429,0.2,0.629,0,,,,before
14,2012-06-08,SS,1,삼성,승리, 1:5,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0.333,0.143,0.476,0,,,,before
15,2012-06-09,SS,1,삼성,패배, 5:4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.333,0.143,0.476,0,,,,before
16,2012-07-07,SS,0,한화,패배, 2:4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.333,0.143,0.476,0,,,,before
17,2012-07-12,SS,1,넥센,승리, 2:10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.333,0.143,0.476,0,,,,before
18,2012-07-13,SS,1,두산,승리, 0:3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.333,0.143,0.476,0,,,,before
19,2012-07-14,SS,1,두산,승리, 7:8,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.3,0.125,0.425,0,,,,before
20,2013-04-19,SS,1,KIA,패배, 4:3,2,8,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,10,1.9,-0.17,-0.065,before
21,2013-05-09,SS,1,두산,패배, 11:2,6,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0.0,-0.17,0.0,before
22,2013-05-15,SS,0,KIA,승리, 4:3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
23,2013-05-16,SS,0,KIA,승리, 9:2,9,8,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.125,0.25,16,0.72,-1.14,-0.076,before
24,2017-03-31,SS,1,KT,패배, 3:2,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,,,before
25,2017-04-02,SS,1,KT,패배, 8:1,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,-0.12,0.0,before
26,2017-04-06,SS,0,KIA,패배, 4:6,1,7,1,5,5,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,25,1.91,-0.7,-0.164,before
27,2017-04-08,SS,1,NC,승리, 2:9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,0,,,,before
28,2017-04-09,SS,1,NC,승리, 5:8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,0,,,,before
29,2017-04-11,SS,1,롯데,패배, 6:4,2,9,1,5,4,2,2,1,0,1,6,1,0,0,1,0,0,1,0,0,0,0.3,0.364,0.7,1.064,24,0.97,1.74,0.107,before
30,2017-04-12,SS,1,롯데,승리, 1:2,9,11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.364,0.417,0.727,1.144,4,1.8,0.31,0.055,before
