,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2009-04-30,SS,0,삼성,승리, 8:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,12,0.0,0.0,0.0,0.0,0.0,,,,,,7+일,
1,2009-05-02,SS,0,LG,패배, 2:6,0,2.1,0,0,0.0,10,9,3,1,0,0,1,0,0,1,46,1.2,0.25,0.308,0.641,0.0,,,,,,2일,
2,2009-05-05,SS,1,KIA,승리, 6:7,0,1.0,1,1,0.0,3,2,0,0,0,0,1,0,0,0,21,1.15,0.214,0.313,0.599,2.08,,,,,,3일,
3,2009-05-08,SS,0,SK,패배, 4:4,1,3.0,3,3,0.0,15,12,3,0,0,1,3,0,0,2,61,1.5,0.231,0.355,0.74,4.91,,,,40,,3일,
4,2009-05-12,SS,1,두산,패배, 3:1,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1,1.43,0.222,0.344,0.714,4.7,,,,,,4일,
5,2009-05-14,SS,1,두산,패배, 11:4,1,1.0,2,2,0.0,8,6,3,2,0,1,2,0,0,1,37,1.85,0.273,0.4,0.945,6.23,,,,38,,2일,
6,2009-05-15,SS,1,LG,패배, 22:17,0,1.2,3,3,0.0,9,7,3,1,0,0,2,0,0,0,42,2.03,0.3,0.429,0.979,7.84,,,,,HD,1일,
7,2009-05-17,SS,1,LG,패배, 11:5,0,0.2,2,2,0.0,4,3,2,1,0,0,0,0,0,0,13,2.09,0.326,0.434,1.015,9.0,,,,,,2일,
8,2009-05-19,SS,0,한화,패배, 2:4,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,3,14,1.92,0.304,0.411,0.954,8.25,,,,,,2일,
9,2009-05-20,SS,0,한화,승리, 7:6,0,0.1,0,0,0.0,2,2,1,0,0,0,0,0,0,1,7,1.95,0.313,0.414,0.956,8.03,,,,,,1일,
10,2009-05-22,SS,0,KIA,승리, 8:3,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,8,1.89,0.306,0.407,0.938,7.82,,,,,,2일,
11,2009-05-24,SS,0,KIA,패배, 1:8,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,5,1.85,0.3,0.4,0.92,7.62,,,,,,2일,
12,2009-05-26,SS,0,두산,승리, 5:4,0,0.0,0,0,0.0,2,1,1,0,0,0,1,0,0,0,5,2.0,0.314,0.419,0.948,7.62,,,,,,2일,
13,2009-05-27,SS,0,두산,승리, 7:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,12,1.86,0.296,0.4,0.9,7.07,,,,,,1일,
14,2009-05-28,SS,0,두산,승리, 4:0,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,6,1.93,0.296,0.409,0.909,7.07,,,,,,1일,
15,2009-05-30,SS,1,롯데,승리, 8:10,0,1.1,2,2,0.0,6,5,1,0,0,0,1,0,0,1,19,1.89,0.288,0.403,0.878,7.63,,,,,,2일,
16,2009-06-04,SS,0,삼성,패배, 5:6,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,2,1.85,0.283,0.397,0.864,7.47,,,,,,5일,
17,2009-06-06,SS,1,LG,승리, 4:11,1,2.2,4,3,0.0,14,12,5,0,0,0,2,0,0,2,51,1.96,0.306,0.414,0.872,7.85,,,,34,,2일,
18,2009-06-10,SS,1,KIA,승리, 2:4,0,3.2,0,0,0.0,14,11,1,0,0,0,3,0,0,5,73,1.82,0.277,0.396,0.806,6.55,,,,,,4일,
19,2009-06-16,SS,1,SK,승리, 3:6,1,4.2,1,1,0.0,21,16,3,0,0,1,5,0,0,5,86,1.8,0.263,0.393,0.797,5.74,,,,54,,6일,
20,2009-06-21,SS,1,한화,승리, 6:9,1,4.1,5,5,0.0,20,18,5,2,0,2,2,0,0,1,83,1.77,0.265,0.387,0.84,6.39,,,,32,,5일,
21,2009-06-26,SS,0,KIA,승리, 3:0,1,6.0,0,0,0.0,22,15,0,0,0,0,6,0,0,8,99,1.65,0.235,0.374,0.776,5.35,,,,74,W,5일,
22,2009-07-03,SS,0,삼성,패배, 3:10,1,4.2,4,4,0.0,22,18,4,1,0,2,4,0,0,6,88,1.66,0.233,0.373,0.8,5.62,,,,42,L,7일,
23,2009-07-11,SS,1,롯데,패배, 4:3,0,0.1,0,0,0.0,3,0,0,0,0,0,2,0,0,0,15,1.69,0.233,0.38,0.807,5.57,,,,,,7+일,
24,2009-07-16,SS,1,KIA,승리, 2:6,0,0.0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,2,1.71,0.238,0.383,0.813,5.57,,,,,,5일,
