,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2019-05-04,SS,1,KT,승리, 9:10,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,8,0.00,0.0,0.0,0.0,0.00,0.23,0.52,0.017,,W,7+일,before
1,2019-05-07,SS,0,SK,패배, 2:11,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,3,0.00,0.0,0.0,0.0,0.00,0.0,0.85,0.0,,,3일,before
2,2019-05-08,SS,0,SK,패배, 2:17,0,1.0,0,0,0.0,5,5,2,0,0,0,0,0,0,1,17,0.86,0.222,0.222,0.444,0.00,0.0,0.52,0.0,,,1일,before
3,2019-08-08,SS,0,KIA,패배, 2:5,1,5.0,1,1,1.0,19,16,3,1,0,0,3,0,0,2,95,1.09,0.2,0.286,0.526,1.23,1.01,1.6,0.171,56.0,,7+일,before
4,2019-08-14,SS,1,NC,승리, 3:9,1,5.2,2,2,1.5,23,19,2,1,0,0,4,0,0,5,94,1.08,0.159,0.275,0.48,2.08,0.67,1.68,0.17,58.0,W,6일,before
5,2019-08-20,SS,1,삼성,패배, 5:0,1,2.1,4,4,4.0,18,10,4,0,0,0,6,0,1,0,74,1.57,0.204,0.362,0.603,4.11,1.04,-4.09,-0.314,27.0,L,6일,before
6,2019-08-25,SS,1,두산,패배, 3:2,1,5.2,2,2,2.0,25,25,10,4,0,0,0,0,0,3,104,1.62,0.266,0.372,0.714,3.86,1.23,0.92,0.071,44.0,,5일,before
7,2019-09-03,SS,1,KIA,패배, 6:5,1,3.1,6,6,5.15,18,16,7,2,0,1,2,0,0,2,66,1.77,0.295,0.393,0.804,5.55,1.21,-3.45,-0.348,22.0,L,7+일,before
8,2019-09-08,SS,1,롯데,패배, 12:0,1,3.2,2,2,2.0,15,14,3,1,0,0,1,0,0,0,60,1.68,0.284,0.378,0.772,5.46,0.96,-0.55,-0.086,46.0,L,5일,before
9,2019-09-16,SS,0,삼성,승리, 11:1,1,5.0,1,1,1.0,20,17,5,0,0,1,2,0,1,1,90,1.64,0.286,0.381,0.786,4.91,1.15,1.6,0.197,52.0,W,7+일,before
10,2019-09-25,SS,0,NC,승리, 3:2,1,5.0,1,0,0.5,24,21,6,0,0,0,3,0,0,1,95,1.66,0.286,0.38,0.768,4.26,1.45,1.48,0.166,51.0,W,7+일,before
11,2020-05-09,SS,0,키움,패배, 3:5,1,5.0,1,1,1.0,22,17,2,0,0,0,4,0,1,3,91,1.20,0.118,0.318,0.436,1.80,1.45,1.92,0.166,58.0,,7+일,before
12,2020-05-15,SS,1,롯데,승리, 1:2,1,6.0,1,1,1.0,25,24,7,1,0,0,1,0,0,2,101,1.27,0.22,0.319,0.563,1.64,0.97,2.5,0.222,55.0,W,6일,before
13,2020-05-21,SS,0,KT,승리, 9:4,1,3.1,3,3,3.0,19,14,6,2,0,0,3,0,0,3,84,1.60,0.273,0.369,0.696,3.14,0.91,-1.97,-0.033,36.0,,6일,before
14,2020-05-26,SS,1,LG,패배, 3:0,0,3.2,2,2,2.0,15,15,5,0,0,2,0,0,0,4,64,1.56,0.286,0.363,0.777,3.50,0.89,0.05,-0.112,,L,5일,before
15,2020-06-02,SS,1,키움,패배, 15:3,1,3.0,7,7,6.3,17,10,3,0,0,2,6,0,0,3,78,1.76,0.288,0.392,0.867,6.00,0.87,-4.71,-0.35,22.0,L,7일,before
16,2020-06-07,SS,1,NC,패배, 8:2,1,2.2,4,4,4.0,16,11,4,3,0,0,5,0,0,1,79,1.94,0.297,0.416,0.911,6.85,1.08,-3.14,-0.266,30.0,L,5일,before
17,2020-08-24,SS,0,LG,승리, 6:3,1,4.0,1,0,1.0,17,14,1,0,0,0,3,0,0,5,84,1.81,0.267,0.392,0.83,5.86,0.9,1.34,0.077,60.0,,7+일,before
18,2020-08-29,SS,0,롯데,패배, 7:9,1,2.1,6,6,5.65,17,12,6,2,0,2,4,0,0,1,56,2.00,0.291,0.415,0.928,7.20,0.66,-5.11,-0.299,18.0,L,5일,before
19,2020-09-09,SS,0,삼성,승리, 7:0,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,15,1.94,0.283,0.407,0.907,6.97,0.02,0.58,0.001,,,7+일,before
20,2020-09-12,SS,0,KT,패배, 2:5,1,4.1,3,3,2.65,22,17,5,0,0,0,4,0,1,0,98,1.95,0.285,0.413,0.887,6.88,1.26,-0.38,-0.079,37.0,L,3일,before
21,2020-09-18,SS,0,키움,승리, 2:0,1,4.1,0,0,0.0,20,17,4,2,0,0,3,0,0,3,79,1.92,0.279,0.406,0.867,6.13,1.12,1.05,0.077,55.0,,6일,before
22,2020-09-25,SS,1,롯데,승리, 5:6,1,2.2,5,5,5.0,18,13,6,0,0,2,3,0,1,3,75,2.01,0.293,0.419,0.916,6.80,0.84,-3.77,-0.311,26.0,,7일,before
23,2020-10-01,SS,1,두산,승리, 4:12,1,4.1,3,3,2.65,19,17,5,0,0,1,1,0,0,2,67,1.95,0.293,0.412,0.907,6.75,1.05,-0.59,-0.119,42.0,,6일,before
24,2020-10-07,SS,0,KIA,승리, 5:0,1,6.0,0,0,0.0,23,20,3,0,0,0,2,0,1,4,84,1.82,0.279,0.398,0.859,5.98,0.88,3.5,0.253,68.0,W,6일,before
25,2020-10-13,SS,0,두산,패배, 0:5,1,3.1,5,5,4.5,19,17,8,2,0,0,1,0,0,0,81,1.88,0.294,0.405,0.876,6.43,0.79,-2.73,-0.239,23.0,L,6일,before
26,2020-10-18,SS,1,삼성,패배, 5:4,1,5.2,4,4,2.45,24,21,4,1,0,0,3,0,0,3,100,1.82,0.285,0.396,0.846,6.42,1.19,0.61,0.098,45.0,L,5일,before
27,2020-10-28,SS,0,LG,승리, 7:6,1,3.0,5,5,5.0,16,14,6,0,0,0,1,0,0,3,59,1.84,0.293,0.398,0.847,6.82,1.04,-3.25,-0.27,29.0,,7+일,before
28,2021-04-07,SS,0,SSG,승리, 17:0,1,2.2,0,0,0.0,13,10,2,1,0,0,2,0,1,2,66,1.50,0.2,0.385,0.685,0.00,0.85,1.2,0.092,54.0,,7+일,before
29,2021-04-13,SS,0,삼성,패배, 3:4,0,5.0,0,0,0.35,19,16,1,0,0,0,2,0,1,4,68,0.91,0.115,0.281,0.435,0.00,0.52,3.7,0.127,,,6일,before
30,2021-04-18,SS,0,NC,승리, 11:3,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,0,15,0.92,0.133,0.278,0.545,1.04,0.09,-0.45,0.004,,,5일,before
31,2021-04-24,SS,1,LG,승리, 5:19,1,2.2,5,5,5.0,20,15,7,1,0,0,5,0,0,2,77,1.76,0.244,0.393,0.749,4.76,1.12,-4.16,-0.386,21.0,,6일,before
32,2021-04-30,SS,0,롯데,승리, 11:7,1,1.1,5,5,3.45,10,8,4,1,0,0,2,0,0,0,41,2.05,0.283,0.424,0.82,7.82,1.22,-2.65,-0.183,24.0,,6일,before
33,2021-07-09,SS,0,SSG,승리, 9:3,0,1.1,0,0,0.0,5,4,1,0,0,0,1,0,0,0,16,2.00,0.281,0.423,0.809,7.07,0.14,0.63,0.01,,,7+일,before
34,2021-08-10,SS,0,KIA,패배, 1:4,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,0,23,2.00,0.279,0.421,0.798,6.60,0.18,0.55,0.006,,,7+일,before
35,2021-08-13,SS,1,NC,패배, 5:1,0,1.1,1,1,1.0,6,4,2,1,0,0,0,0,1,0,17,1.96,0.292,0.432,0.832,6.61,0.74,-0.48,-0.041,,,3일,before
36,2021-08-18,SS,1,삼성,패배, 6:2,0,2.0,0,0,0.0,7,5,0,0,0,0,2,0,0,1,40,1.85,0.271,0.42,0.791,5.89,0.3,1.11,0.038,,,5일,before
37,2021-08-24,SS,0,두산,패배, 8:11,1,2.1,4,4,4.0,15,14,7,1,0,1,1,0,0,0,47,2.03,0.31,0.437,0.877,6.97,1.3,-2.64,-0.234,26.0,L,6일,before
38,2021-09-01,SS,1,KT,패배, 8:3,0,1.0,2,2,0.5,7,4,1,0,0,0,3,0,0,1,33,2.12,0.307,0.445,0.877,7.48,1.43,-0.56,-0.037,,,7+일,before
39,2021-10-08,SS,1,SSG,패배, 7:3,0,1.1,0,0,0.0,4,4,0,0,0,0,0,0,0,1,12,2.00,0.293,0.43,0.843,7.04,0.14,1.02,0.014,,,7+일,before
40,2021-10-10,SS,1,KIA,패배, 5:0,1,2.0,0,0,0.0,9,7,2,0,0,0,2,0,0,1,38,2.00,0.293,0.431,0.835,6.48,1.44,1.11,0.099,51.0,,2일,before
41,2021-10-16,SS,0,KT,패배, 2:11,0,1.0,4,4,4.0,8,5,3,0,0,0,1,0,1,1,33,2.08,0.308,0.443,0.856,7.62,0.02,-3.45,-0.005,,,6일,before
42,2022-04-06,SS,0,KIA,패배, 4:7,0,0.0,2,2,3.05,4,3,3,1,0,0,0,0,1,0,18,-,1.0,1.0,2.333,-,0.42,-3.67,-0.102,,,7+일,before
43,2022-06-04,SS,0,KT,패배, 3:4,1,2.2,4,4,3.5,14,12,4,1,0,0,2,0,0,1,55,3.38,0.467,0.556,1.156,20.25,1.06,-1.78,-0.182,33.0,L,7+일,after
44,2022-07-01,SS,0,SSG,패배, 6:7,1,3.0,3,3,3.0,15,13,4,0,0,2,2,0,0,4,69,2.65,0.393,0.485,1.164,14.29,0.97,-1.47,-0.121,41.0,,7+일,after
45,2022-07-06,SS,1,KT,패배, 8:1,0,3.0,0,0,0.0,11,10,3,0,0,0,1,0,0,3,41,2.19,0.368,0.455,1.034,9.35,0.14,1.53,0.022,,,5일,after
46,2022-07-29,SS,1,SSG,승리, 2:11,0,2.0,0,0,0.0,8,8,3,0,0,0,0,0,0,3,26,2.06,0.37,0.442,0.985,7.59,0.01,1.02,0.001,,,7+일,after
47,2024-05-03,SS,1,한화,패배, 4:2,0,1.0,0,0,0.0,6,5,2,0,0,0,1,0,0,2,29,3.00,0.4,0.5,0.9,0.00,0.12,-0.57,0.002,,,7+일,after
48,2024-05-09,SS,0,삼성,패배, 2:5,0,1.0,0,0,0.35,4,3,0,0,0,0,1,0,0,0,11,2.00,0.25,0.4,0.65,0.00,0.27,1.27,0.008,,,6일,after
49,2024-05-10,SS,1,SSG,패배, 4:2,0,0.2,0,0,0.85,3,3,1,0,0,0,0,0,0,1,8,1.88,0.273,0.385,0.658,0.00,3.83,0.03,-0.157,,,1일,after
50,2024-05-12,SS,1,SSG,승리, 2:3,0,0.1,0,0,0.0,3,1,0,0,0,0,2,0,0,1,16,2.33,0.25,0.438,0.688,0.00,3.32,-0.55,-0.091,,HD,2일,after
51,2024-05-12,SS,1,SSG,패배, 10:6,0,0.0,2,2,1.3,2,1,1,0,0,1,0,0,1,0,5,2.67,0.308,0.5,1.038,6.00,1.38,-1.44,-0.282,,L,0일,after
52,2024-05-16,SS,1,두산,패배, 7:7,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,7,2.00,0.25,0.429,0.867,4.50,0.62,0.61,0.047,,HD,4일,after
53,2024-05-17,SS,0,NC,승리, 7:4,0,2.0,1,1,1.0,10,6,2,0,0,0,2,0,0,2,41,2.00,0.273,0.433,0.842,4.50,2.27,0.23,-0.012,,W,1일,after
54,2024-05-22,SS,0,롯데,패배, 2:4,0,2.0,0,0,0.35,8,5,1,0,0,0,1,0,1,1,37,1.75,0.259,0.421,0.791,3.38,0.65,1.1,0.041,,,5일,after
55,2024-05-24,SS,1,두산,패배, 7:5,0,2.0,0,0,0.0,10,9,3,0,0,0,1,0,0,0,31,1.80,0.278,0.417,0.778,2.70,0.45,1.23,0.035,,,2일,after
56,2024-05-28,SS,0,NC,승리, 11:8,0,1.2,1,1,1.0,8,6,2,0,0,0,0,0,2,1,26,1.71,0.286,0.429,0.786,3.09,0.53,-0.16,0.01,,,4일,after
57,2024-05-31,SS,1,KT,패배, 8:5,0,2.1,2,2,3.55,9,9,3,0,0,2,0,0,0,2,35,1.64,0.294,0.415,0.886,3.86,0.61,-1.87,-0.308,,,3일,after
58,2024-06-05,SS,1,롯데,패배, 9:3,0,1.0,1,1,2.2,5,3,1,1,0,0,0,0,1,0,16,1.60,0.296,0.42,0.901,4.20,0.47,-1.36,-0.036,,,5일,after
59,2024-06-07,SS,0,두산,패배, 5:6,0,0.0,1,1,0.65,3,3,3,0,0,0,0,0,0,0,9,1.80,0.333,0.444,0.953,4.80,2.9,-1.97,-0.299,,L,2일,after
60,2024-06-09,SS,0,두산,승리, 8:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,8,1.69,0.317,0.427,0.91,4.50,0.04,0.61,0.003,,,2일,after
61,2024-06-11,SS,0,SSG,패배, 6:7,0,0.1,1,0,1.0,3,3,2,0,0,0,0,0,0,0,5,1.78,0.333,0.436,0.928,4.41,2.67,0.61,-0.363,,L,2일,after
62,2024-06-13,SS,0,SSG,패배, 1:7,0,1.1,1,1,1.0,5,5,1,0,0,1,0,0,0,0,15,1.70,0.324,0.422,0.937,4.58,0.05,0.52,0.002,,,2일,after
63,2024-06-14,SS,0,KT,승리, 11:1,0,2.0,0,0,0.0,7,6,0,0,0,0,1,0,0,2,25,1.58,0.297,0.4,0.873,4.12,0.0,1.23,0.0,,,1일,after
64,2024-06-18,SS,1,LG,승리, 4:11,0,0.1,1,1,0.65,4,2,1,0,0,0,2,0,0,1,26,1.70,0.303,0.415,0.889,4.50,0.2,-1.42,-0.022,,,4일,after
65,2024-06-21,SS,1,한화,승리, 3:8,0,1.2,0,0,0.0,8,8,3,0,0,0,0,0,0,3,27,1.71,0.31,0.412,0.876,4.15,0.34,0.68,0.031,,,3일,after
66,2024-06-23,SS,1,한화,승리, 1:4,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,2,16,1.68,0.307,0.406,0.861,3.97,1.37,1.57,0.136,,HD,2일,after
67,2024-06-25,SS,0,롯데,패배, 15:15,0,0.2,3,3,3.2,5,4,3,0,0,1,0,0,0,1,23,1.76,0.326,0.418,0.918,5.01,1.86,-3.44,-0.283,,,2일,after
68,2024-06-27,SS,0,롯데,패배, 2:11,0,1.2,5,5,4.5,11,10,5,2,1,0,1,0,0,1,41,1.88,0.343,0.43,0.969,6.48,0.17,-3.23,-0.04,,,2일,after
69,2024-07-12,SS,1,SSG,패배, 14:6,0,3.0,1,1,1.0,11,10,1,1,0,0,1,0,0,0,35,1.75,0.321,0.409,0.918,6.11,0.02,0.84,-0.002,,,7+일,after
70,2024-07-14,SS,1,SSG,승리, 4:13,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,11,1.69,0.313,0.4,0.896,5.90,0.0,0.61,0.0,,,2일,after
71,2024-07-19,SS,0,한화,승리, 7:3,1,5.0,1,0,1.0,16,16,2,1,0,0,0,0,0,4,68,1.50,0.29,0.371,0.829,5.03,0.82,2.07,0.153,65.0,W,5일,after
72,2024-07-25,SS,1,NC,패배, 7:4,1,1.1,6,4,6.0,14,8,3,1,0,0,5,0,1,3,73,1.67,0.295,0.394,0.854,5.86,0.81,-5.94,-0.415,26.0,L,6일,after
73,2024-07-31,SS,1,두산,패배, 30:6,1,2.1,6,6,4.95,16,15,8,1,0,1,1,0,0,2,63,1.81,0.318,0.409,0.903,6.93,1.12,-3.44,-0.391,18.0,L,6일,after
74,2024-08-06,SS,1,KT,승리, 0:2,1,5.0,0,0,0.0,24,21,6,0,0,0,2,0,1,3,89,1.78,0.314,0.405,0.874,6.12,1.57,3.07,0.288,56.0,W,6일,after
75,2024-08-11,SS,1,삼성,패배, 5:4,0,2.2,0,0,0.0,9,9,1,0,0,0,0,0,0,2,36,1.70,0.304,0.393,0.844,5.76,0.72,1.59,0.137,,,5일,after
76,2024-08-16,SS,0,LG,승리, 3:2,1,4.1,1,1,0.3,19,16,3,0,0,0,2,0,1,5,81,1.65,0.295,0.386,0.816,5.44,1.24,2.46,0.211,56.0,,5일,after
77,2024-08-22,SS,1,롯데,승리, 4:6,1,4.0,4,4,4.0,20,18,6,3,0,1,2,0,0,2,86,1.68,0.298,0.387,0.837,5.70,0.95,-1.55,-0.227,34.0,,6일,after
78,2024-08-28,SS,1,SSG,승리, 6:7,1,4.1,3,3,3.0,21,19,6,0,0,2,2,0,0,2,84,1.69,0.3,0.387,0.851,5.74,1.16,-1.1,-0.172,39.0,,6일,after
79,2024-09-04,SS,1,한화,패배, 5:4,1,5.0,3,3,3.0,22,20,6,0,0,0,1,0,1,3,83,1.67,0.3,0.385,0.836,5.71,0.66,0.07,-0.123,45.0,,7일,after
80,2024-09-17,SS,0,SSG,패배, 0:2,1,5.0,1,1,1.0,22,20,7,0,0,0,1,0,0,2,75,1.66,0.303,0.385,0.829,5.43,0.97,1.62,0.091,50.0,L,7+일,after
81,2024-09-24,SS,1,삼성,승리, 1:7,1,7.0,0,0,0.0,24,22,3,1,0,0,2,0,0,7,89,1.57,0.291,0.372,0.797,4.92,0.53,4.29,0.203,76.0,W,7일,after
