,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2015-06-03,SS,0,두산,패배, 1:8,0,2.0,1,1,1.0,9,9,4,0,0,0,0,0,0,1,30,2.00,0.444,0.444,0.888,4.50,0.01,0.23,-0.003,,,7+일,before
1,2015-07-03,SS,0,KT,패배, 3:10,0,6.0,4,2,4.0,26,25,6,1,0,1,1,0,0,6,82,1.38,0.294,0.314,0.726,3.38,0.15,-0.32,-0.06,,,7+일,before
2,2015-07-08,SS,0,넥센,패배, 3:4,1,5.0,2,2,2.0,22,19,5,4,0,0,2,0,0,7,95,1.38,0.283,0.316,0.75,3.46,1.18,0.06,0.017,54,,5일,before
3,2015-07-14,SS,1,LG,패배, 3:2,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,1.38,0.283,0.328,0.762,3.46,2.19,-0.11,-0.013,,,6일,before
4,2015-07-16,SS,1,LG,승리, 1:15,0,1.0,0,0,0.0,3,2,0,0,0,0,0,0,1,0,11,1.29,0.273,0.328,0.746,3.21,0.0,0.61,0.0,,,2일,before
5,2015-07-22,SS,0,삼성,패배, 10:14,0,0.1,0,0,0.7,2,1,0,0,0,0,1,0,0,0,7,1.33,0.268,0.333,0.744,3.14,1.93,-0.02,-0.022,,,6일,before
6,2015-07-25,SS,1,롯데,패배, 7:1,1,4.1,2,2,1.65,19,16,4,0,0,0,2,0,0,2,72,1.34,0.264,0.329,0.704,3.38,0.96,0.7,0.018,47,L,3일,before
7,2015-07-31,SS,0,한화,승리, 12:4,1,2.0,1,1,1.0,10,7,1,0,0,0,2,0,1,1,44,1.35,0.253,0.337,0.691,3.48,1.27,0.23,0.0,49,,6일,before
8,2015-08-06,SS,1,KT,패배, 7:2,0,1.1,1,1,1.0,5,5,2,0,1,0,0,0,0,0,11,1.36,0.262,0.34,0.721,3.68,0.09,0.15,0.001,,,6일,before
9,2015-08-08,SS,0,NC,패배, 2:9,0,1.0,2,0,2.0,7,7,3,0,0,0,0,0,0,0,27,1.43,0.275,0.346,0.731,3.52,0.0,-1.39,-0.001,,,2일,before
10,2015-08-12,SS,1,두산,승리, 3:10,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,15,1.38,0.266,0.336,0.708,3.38,0.01,0.61,0.001,,,4일,before
11,2015-08-13,SS,1,삼성,패배, 5:2,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,9,1.36,0.265,0.333,0.7,3.24,0.11,0.61,0.008,,,1일,before
12,2015-08-21,SS,0,롯데,패배, 1:9,0,1.0,1,1,1.0,6,4,1,0,0,0,2,0,0,0,27,1.42,0.265,0.342,0.705,3.46,0.02,-0.39,-0.001,,,7+일,before
13,2015-08-27,SS,0,KT,패배, 3:5,1,4.0,5,5,5.0,22,18,8,3,0,1,3,0,0,0,87,1.60,0.292,0.367,0.792,4.50,0.84,-3.17,-0.34,23,L,6일,before
14,2015-09-19,SS,0,SK,패배, 4:8,0,0.0,4,3,3.15,5,3,3,1,0,0,0,0,1,0,21,1.70,0.309,0.385,0.832,5.40,0.98,-4.22,-0.246,,,7+일,before
15,2015-09-22,SS,1,LG,패배, 15:5,0,5.0,3,3,3.0,23,20,5,2,0,1,3,0,0,3,100,1.69,0.301,0.38,0.835,5.40,0.01,0.06,-0.004,,,3일,before
16,2015-09-30,SS,0,롯데,승리, 13:1,0,2.0,0,0,0.0,8,8,2,1,0,0,0,0,0,2,33,1.65,0.298,0.374,0.824,5.11,0.0,1.23,0.0,,,7+일,before
17,2015-10-04,SS,0,두산,패배, 0:9,0,2.0,3,3,3.0,9,6,1,0,0,1,2,0,0,0,39,1.64,0.293,0.374,0.833,5.54,0.17,-1.77,-0.026,,,4일,before
18,2015-10-05,SS,1,삼성,패배, 6:4,0,3.1,2,2,1.15,13,10,1,0,0,0,1,0,2,3,61,1.56,0.281,0.369,0.806,5.53,1.36,2.21,0.161,,L,1일,before
19,2018-03-27,SS,1,삼성,승리, 0:17,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,1,12,0.00,0.0,0.0,0.0,0.00,0.02,0.87,0.0,,,7+일,before
20,2018-03-29,SS,1,삼성,승리, 0:7,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,2,22,0.00,0.0,0.0,0.0,0.00,0.39,1.25,0.061,,,2일,before
21,2018-03-31,SS,0,LG,패배, 4:6,0,1.2,0,0,0.35,5,4,0,0,0,0,0,0,0,1,24,0.00,0.0,0.0,0.0,0.00,0.41,0.67,-0.013,,,2일,before
22,2018-04-03,SS,0,SK,패배, 3:13,0,2.1,4,4,4.5,12,10,3,0,1,1,0,0,2,3,41,0.45,0.136,0.2,0.564,5.40,0.5,-2.71,-0.141,,,3일,before
23,2018-04-06,SS,1,넥센,승리, 5:11,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,2,16,0.52,0.154,0.207,0.669,5.87,0.15,-0.37,0.005,,,3일,before
24,2018-04-10,SS,0,한화,패배, 3:4,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,14,0.46,0.138,0.188,0.602,5.19,1.26,2.42,0.112,,,4일,before
25,2018-04-13,SS,1,롯데,패배, 8:4,0,0.2,1,1,1.0,5,3,1,1,0,0,2,0,0,0,20,0.75,0.156,0.243,0.681,5.79,0.5,-0.95,-0.032,,,3일,before
26,2018-04-18,SS,1,LG,승리, 3:4,0,1.1,0,0,0.0,5,5,1,1,0,0,0,0,0,2,25,0.75,0.162,0.238,0.67,5.06,1.55,0.9,0.12,,,5일,before
27,2018-04-22,SS,0,두산,승리, 14:4,0,1.0,2,1,2.0,7,7,3,0,1,0,0,0,0,1,34,0.94,0.205,0.265,0.742,5.40,0.01,-1.37,0.0,,,4일,before
28,2018-04-28,SS,0,KT,패배, 2:9,0,0.2,3,3,1.45,5,4,2,0,0,0,1,0,0,0,22,1.14,0.229,0.296,0.775,7.30,0.25,-0.34,-0.004,,,6일,before
29,2018-10-03,SS,0,삼성,패배, 5:20,0,1.0,7,7,5.8,12,9,6,2,0,0,2,0,1,2,65,1.65,0.298,0.379,0.923,11.48,0.11,-5.02,-0.025,,,7+일,before
30,2019-04-13,SS,0,SK,승리, 6:4,0,2.1,1,1,1.35,13,10,3,1,0,0,2,0,1,1,54,2.14,0.3,0.462,0.862,3.86,0.5,-0.11,-0.062,,,7+일,before
31,2019-04-24,SS,0,LG,패배, 3:10,0,1.2,1,1,1.0,6,6,3,0,0,0,0,0,0,0,15,2.00,0.375,0.474,0.912,4.50,0.01,0.05,0.0,,,7+일,before
32,2019-04-28,SS,0,키움,패배, 5:13,0,1.0,5,5,5.0,8,6,4,1,0,0,2,0,0,1,36,2.80,0.455,0.556,1.101,12.60,0.11,-4.48,-0.026,,,4일,before
33,2020-07-08,SS,1,KT,패배, 7:4,0,1.1,2,2,1.65,6,5,2,1,1,0,1,0,0,0,26,2.25,0.4,0.5,1.5,13.50,0.97,-0.87,-0.107,,,7+일,before
34,2020-07-10,SS,1,키움,승리, 8:9,0,1.0,0,0,0.0,4,3,1,1,0,0,1,0,0,2,17,2.14,0.375,0.5,1.375,7.71,1.3,0.58,0.07,,HD,2일,before
