,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2012-04-28,SS,0,SK,패배, 5:8,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,4,24,0.00,0.0,0.0,0.0,0.00,,,,,,7+일,before
1,2012-04-29,SS,0,SK,승리, 9:4,0,1.0,0,0,0.0,5,4,1,1,0,0,1,0,0,2,30,0.67,0.1,0.182,0.382,0.00,,,,,,1일,before
2,2012-05-02,SS,1,두산,패배, 5:3,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,1,26,0.75,0.077,0.2,0.354,0.00,,,,,,3일,before
3,2012-05-04,SS,1,한화,패배, 7:1,0,0.2,1,1,0.0,6,3,1,1,0,0,3,0,0,1,35,1.50,0.125,0.333,0.583,1.93,,,,,L,2일,before
4,2012-05-10,SS,0,롯데,패배, 2:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,11,1.24,0.105,0.292,0.503,1.59,,,,,,6일,before
5,2012-05-11,SS,0,LG,승리, 8:4,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,1,26,1.35,0.13,0.31,0.527,1.35,,,,,,1일,before
6,2012-05-15,SS,1,KIA,승리, 3:8,0,0.1,0,0,0.0,2,2,1,0,0,0,0,0,0,0,6,1.43,0.16,0.323,0.563,1.29,,,,,HD,4일,before
7,2012-05-16,SS,1,KIA,패배, 7:5,0,2.0,2,2,0.0,9,6,2,0,1,0,1,0,1,0,35,1.44,0.194,0.359,0.682,3.00,,,,,,1일,before
8,2012-05-19,SS,0,넥센,패배, 3:10,0,2.0,0,0,0.0,8,6,0,0,0,0,2,0,0,1,32,1.36,0.162,0.34,0.61,2.45,,,,,,3일,before
9,2012-05-24,SS,1,롯데,승리, 2:7,0,2.0,1,1,0.0,8,8,2,1,0,0,0,0,0,4,39,1.31,0.178,0.327,0.616,2.77,,,,,,5일,before
10,2012-05-26,SS,1,SK,패배, 4:3,0,1.0,0,0,0.0,4,4,1,1,0,0,0,0,0,1,13,1.29,0.184,0.322,0.628,2.57,,,,,,2일,before
11,2012-05-27,SS,1,SK,패배, 4:2,0,1.0,0,0,0.0,4,4,1,1,0,0,0,0,0,0,18,1.27,0.189,0.317,0.638,2.40,,,,,,1일,before
12,2012-06-02,SS,1,두산,승리, 8:12,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,1,21,1.12,0.169,0.29,0.578,2.12,,,,,W,6일,before
13,2012-06-05,SS,0,KIA,승리, 6:2,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,0,14,1.17,0.175,0.297,0.583,2.00,,,,,,3일,before
14,2012-06-07,SS,0,KIA,패배, 4:5,0,1.1,2,2,0.0,6,3,2,0,1,0,1,0,0,0,22,1.24,0.197,0.316,0.649,2.79,,,,,L,2일,before
15,2012-06-09,SS,0,SK,승리, 5:4,0,1.1,0,0,0.0,5,4,1,1,0,0,1,0,0,1,15,1.26,0.2,0.321,0.664,2.61,,,,,,2일,before
16,2012-06-12,SS,1,한화,승리, 3:9,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,15,1.20,0.192,0.31,0.639,2.49,,,,,,3일,before
