,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2017-09-14,SS,0,롯데,승리, 11:2,1,6.0,2,2,2.0,25,24,6,2,0,1,0,0,1,3,91,1.0,0.25,0.28,0.738,3.0,0.12,1.63,0.031,55,W,7+일,before
1,2017-09-20,SS,1,SK,패배, 4:3,1,5.0,2,2,2.0,21,21,6,0,0,1,0,0,0,5,88,1.09,0.267,0.283,0.727,3.27,0.77,1.03,0.0,52,L,6일,before
2,2017-09-24,SS,1,한화,패배, 5:0,0,0.2,0,0,0.0,3,3,1,0,0,0,0,0,0,0,9,1.11,0.271,0.286,0.724,3.09,0.02,0.32,0.001,,,4일,before
3,2017-10-01,SS,0,KT,패배, 2:20,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,1,23,1.11,0.269,0.283,0.706,2.84,0.22,0.61,0.013,,,7일,before
4,2018-03-28,SS,1,삼성,패배, 6:0,1,6.0,4,4,3.3,26,25,8,0,0,1,1,0,0,4,95,1.5,0.32,0.346,0.786,6.0,0.85,0.32,-0.068,43,L,7+일,before
5,2018-04-03,SS,0,SK,패배, 3:13,1,1.0,6,6,4.8,10,7,5,1,0,2,2,0,1,0,36,2.29,0.406,0.472,1.191,12.86,0.83,-5.44,-0.397,17,L,6일,before
6,2018-04-11,SS,0,한화,패배, 4:6,0,3.1,4,4,2.8,17,13,4,1,0,0,2,0,2,1,70,2.13,0.378,0.472,1.094,12.19,1.31,0.06,-0.111,,L,7+일,before
7,2018-04-20,SS,0,두산,패배, 4:6,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,12,1.94,0.354,0.446,1.029,11.12,0.04,0.63,0.003,,,7+일,before
8,2018-04-21,SS,0,두산,패배, 5:10,0,1.2,0,0,0.0,5,5,0,0,0,0,0,0,0,4,20,1.69,0.321,0.41,0.938,9.69,0.22,1.13,0.028,,,1일,before
9,2018-04-25,SS,1,한화,패배, 3:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,7,1.57,0.304,0.391,0.891,9.0,0.68,0.63,0.052,,,4일,before
10,2018-04-27,SS,0,KT,승리, 8:3,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,0,20,1.53,0.288,0.382,0.857,8.4,1.61,0.63,0.081,,HD,2일,before
11,2018-05-01,SS,0,롯데,패배, 0:4,0,1.1,2,2,2.0,10,8,4,0,1,0,1,0,1,1,41,1.71,0.313,0.41,0.917,8.82,0.33,-1.92,-0.026,,,4일,before
12,2018-05-04,SS,1,NC,패배, 6:5,0,0.1,0,0,0.35,2,2,1,0,1,0,0,0,0,0,6,1.74,0.319,0.413,0.949,8.64,2.78,-0.54,-0.317,,,3일,before
