,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2018-05-01,SS,0,삼성,승리, 12:3,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,,,7+일,before
1,2018-05-03,SS,0,삼성,패배, 4:8,0,2.2,2,2,1.65,11,10,3,1,0,0,1,0,0,2,46,1.09,0.231,0.286,0.594,4.91,0.38,-0.08,-0.082,,,2일,before
2,2018-05-08,SS,0,NC,패배, 0:9,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,12,0.86,0.188,0.235,0.485,3.86,0.08,0.63,0.006,,,5일,before
3,2018-05-11,SS,1,LG,패배, 14:9,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,1,27,0.6,0.136,0.174,0.356,2.7,0.47,1.25,0.072,,,3일,before
4,2018-05-13,SS,1,LG,승리, 0:10,0,1.2,0,0,0.0,5,5,0,0,0,0,0,0,0,1,15,0.48,0.111,0.143,0.291,2.16,0.02,1.29,0.003,,,2일,before
5,2018-05-20,SS,0,KIA,패배, 3:8,0,0.1,0,0,0.5,3,1,0,0,0,0,2,0,0,0,16,0.69,0.107,0.194,0.337,2.08,0.67,-0.42,-0.032,,,7일,before
6,2018-05-22,SS,1,넥센,패배, 10:4,0,0.1,0,0,0.85,3,1,0,0,0,0,2,0,0,0,12,0.89,0.103,0.235,0.373,2.0,1.21,-1.28,-0.068,,,2일,before
7,2018-05-30,SS,0,두산,패배, 3:11,0,1.0,2,2,2.0,6,5,3,0,0,0,0,0,1,1,17,1.1,0.176,0.3,0.506,3.6,0.01,-1.37,-0.002,,,7+일,before
8,2018-06-02,SS,1,KT,승리, 1:6,0,1.0,0,0,0.0,4,3,0,0,0,0,0,0,1,3,23,1.0,0.162,0.295,0.484,3.27,0.4,0.63,0.012,,,3일,before
9,2018-06-03,SS,1,KT,패배, 6:3,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,8,0.92,0.15,0.277,0.452,3.0,0.05,0.63,0.004,,,1일,before
10,2018-06-06,SS,1,삼성,승리, 2:7,0,1.0,0,0,0.0,3,3,1,0,0,0,0,0,0,0,8,0.92,0.163,0.28,0.466,2.77,0.29,0.63,0.012,,,3일,before
11,2018-06-08,SS,0,한화,패배, 5:7,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,20,0.86,0.152,0.264,0.438,2.57,0.18,0.63,0.014,,,2일,before
12,2018-06-10,SS,0,한화,패배, 3:4,0,0.1,1,1,1.0,4,3,1,0,0,0,1,0,0,0,17,0.98,0.163,0.281,0.465,3.14,3.26,0.63,-0.363,,L,2일,before
13,2018-06-15,SS,1,롯데,패배, 14:6,0,0.2,2,0,2.5,5,4,1,0,0,0,1,0,0,0,23,1.07,0.17,0.29,0.479,3.0,0.13,-2.13,-0.023,,,5일,before
14,2018-06-17,SS,1,롯데,패배, 13:7,0,2.0,1,1,1.0,9,9,2,1,0,1,0,0,0,0,29,1.06,0.177,0.282,0.54,3.18,0.02,0.25,-0.003,,,2일,before
15,2018-06-23,SS,0,KT,승리, 7:4,1,4.0,2,2,2.0,17,17,5,0,0,2,0,0,0,1,60,1.1,0.203,0.284,0.626,3.43,0.62,0.51,0.06,45,,6일,before
16,2018-07-04,SS,0,넥센,패배, 6:7,0,0.0,0,0,0.0,2,0,0,0,0,0,2,0,0,0,11,1.19,0.203,0.3,0.642,3.43,0.3,-1.07,-0.022,,,7+일,before
17,2018-07-22,SS,0,롯데,패배, 4:12,0,2.1,5,5,5.0,14,10,4,1,0,1,3,1,0,2,57,1.37,0.225,0.327,0.72,5.01,0.31,-3.46,-0.085,,,7+일,before
18,2018-08-01,SS,1,넥센,승리, 8:14,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,2,9,1.33,0.22,0.321,0.706,4.88,0.03,0.34,0.001,,,7+일,before
19,2018-08-04,SS,0,LG,승리, 9:2,0,0.0,0,0,0.0,2,2,2,0,0,0,0,0,0,0,7,1.42,0.237,0.333,0.731,4.88,0.13,-1.07,-0.012,,,3일,before
20,2018-08-07,SS,1,삼성,패배, 10:8,0,1.0,0,0,0.0,6,4,1,0,0,0,1,0,1,1,29,1.44,0.237,0.342,0.734,4.68,1.23,0.63,0.05,,,3일,before
21,2018-08-09,SS,0,NC,패배, 3:6,0,1.1,1,1,0.65,6,6,2,0,0,0,0,0,0,1,26,1.44,0.243,0.342,0.73,4.78,0.14,-0.14,-0.016,,,2일,before
22,2018-08-10,SS,0,NC,승리, 12:8,0,0.1,0,0,0.0,3,2,1,0,0,0,1,0,0,0,11,1.5,0.248,0.35,0.74,4.73,1.17,-0.95,-0.132,,,1일,before
23,2018-09-05,SS,1,넥센,승리, 11:12,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,2,16,1.48,0.248,0.346,0.759,4.88,0.04,-0.37,-0.006,,,7+일,before
24,2018-09-06,SS,0,롯데,패배, 0:10,0,1.2,2,2,2.0,8,8,3,1,0,0,0,0,0,2,23,1.5,0.256,0.348,0.767,5.22,0.0,-0.5,0.0,,,1일,before
25,2018-09-12,SS,1,KT,승리, 3:8,0,1.0,0,0,0.0,5,5,2,0,0,0,0,0,0,0,21,1.52,0.262,0.35,0.768,5.04,0.17,0.63,0.006,,,6일,before
26,2018-09-18,SS,0,KT,패배, 5:9,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,5,1.5,0.26,0.348,0.763,4.99,0.02,0.12,0.001,,,6일,before
27,2018-09-19,SS,0,KT,승리, 18:8,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,13,1.45,0.254,0.34,0.745,4.83,0.0,0.63,0.0,,,1일,before
28,2018-09-20,SS,1,한화,패배, 8:2,0,1.0,0,0,0.0,4,3,0,0,0,0,0,0,1,2,20,1.41,0.248,0.338,0.733,4.68,0.02,0.63,0.001,,,1일,before
29,2018-09-22,SS,0,넥센,패배, 2:8,0,2.0,3,2,3.0,11,8,2,1,0,0,3,0,0,3,41,1.47,0.248,0.346,0.74,4.93,0.21,-1.75,-0.035,,,2일,before
30,2018-09-29,SS,0,삼성,패배, 3:9,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,0,10,1.44,0.245,0.342,0.73,4.84,0.03,1.69,0.001,,,7일,before
31,2018-10-02,SS,1,롯데,패배, 8:6,0,0.0,0,0,0.35,2,1,1,0,0,0,1,0,0,0,7,1.5,0.25,0.35,0.743,4.84,0.95,-0.68,-0.032,,,3일,before
32,2018-10-06,SS,1,KIA,패배, 8:4,0,1.0,1,1,1.0,4,3,1,0,0,1,1,0,0,0,21,1.51,0.252,0.353,0.766,4.95,0.09,-1.37,-0.014,,,4일,before
