,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2012-07-18,SS,1,삼성,패배, 11:1,0,2.0,3,3,0.0,12,11,5,1,0,0,1,0,0,1,36,3.0,0.455,0.5,1.045,13.5,,,,,,7+일,before
1,2013-04-04,SS,1,KIA,패배, 12:4,0,0.1,0,0,1.2,3,3,2,0,0,0,0,0,0,0,8,6.0,0.667,0.667,1.334,0.0,0.01,-1.48,0.0,,,7+일,before
2,2013-04-11,SS,0,삼성,패배, 3:9,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,1,17,0.86,0.222,0.222,0.444,0.0,0.02,1.06,0.002,,,7일,before
3,2013-04-12,SS,1,LG,패배, 6:1,0,2.0,0,0,0.0,7,7,2,0,0,0,0,0,0,1,31,0.92,0.25,0.25,0.5,0.0,0.05,1.06,0.005,,,1일,before
4,2013-04-19,SS,0,두산,패배, 1:15,0,2.0,7,6,7.0,14,11,5,1,2,0,2,0,1,1,47,1.74,0.333,0.4,0.919,8.53,0.42,-5.94,-0.204,,,7일,before
5,2013-05-23,SS,0,KIA,패배, 2:10,0,2.0,1,1,1.0,9,9,3,0,0,1,0,0,0,1,32,1.68,0.333,0.385,0.941,7.56,0.01,0.06,-0.002,,,7+일,before
6,2013-05-24,SS,1,삼성,패배, 8:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,3,12,1.5,0.308,0.357,0.87,6.75,0.0,0.53,0.0,,,1일,before
7,2013-05-29,SS,0,LG,패배, 1:7,0,4.1,2,2,2.0,19,19,6,0,1,1,0,0,0,5,67,1.46,0.31,0.344,0.878,5.93,0.43,-0.22,-0.001,,,5일,before
8,2013-06-01,SS,1,NC,패배, 8:3,0,1.0,1,1,1.35,5,5,2,0,1,0,0,0,0,1,27,1.5,0.317,0.348,0.904,6.14,0.15,-0.61,-0.01,,,3일,before
9,2013-06-08,SS,0,SK,패배, 3:4,0,0.0,0,0,0.5,1,1,1,0,0,0,0,0,0,0,8,1.57,0.328,0.358,0.921,6.14,3.26,1.48,-0.185,,,7일,before
10,2013-06-11,SS,1,LG,패배, 11:3,0,3.0,1,1,2.2,11,10,1,1,0,0,1,0,0,2,46,1.42,0.297,0.333,0.847,5.6,0.2,-0.46,-0.02,,,3일,before
