,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2019-04-20,SS,1,두산,패배, 10:1,0,2.0,0,0,0.0,8,8,2,0,0,0,0,0,0,0,21,1.0,0.25,0.25,0.5,0.0,0.0,1.04,0.0,,,7+일,before
1,2019-04-23,SS,0,LG,패배, 2:9,0,1.2,0,0,0.0,5,5,0,0,0,0,0,0,0,1,19,0.55,0.154,0.154,0.308,0.0,0.02,1.05,0.002,,,3일,before
2,2019-04-28,SS,0,키움,패배, 5:13,0,1.0,0,0,0.0,5,5,2,0,0,0,0,0,0,0,18,0.86,0.222,0.222,0.444,0.0,0.32,0.52,0.012,,,5일,before
3,2019-05-01,SS,1,삼성,패배, 10:2,0,2.2,0,0,0.7,9,6,0,0,0,0,1,0,1,1,29,0.68,0.167,0.222,0.389,0.0,0.23,0.9,0.002,,,3일,before
4,2019-05-05,SS,0,NC,패배, 3:10,0,0.1,1,1,1.0,4,2,1,0,1,0,1,0,1,0,20,0.91,0.192,0.29,0.559,1.17,0.14,-1.67,-0.023,,,4일,before
5,2019-05-10,SS,1,SK,패배, 4:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,7,0.81,0.172,0.265,0.506,1.04,0.2,0.52,0.015,,,5일,before
6,2019-05-11,SS,1,SK,패배, 10:3,0,1.0,1,1,1.0,5,5,2,0,0,1,0,0,0,0,14,0.93,0.206,0.282,0.635,1.86,0.01,-0.48,-0.001,,,1일,before
7,2019-05-14,SS,1,KT,패배, 6:1,0,1.0,2,2,3.05,7,6,3,0,0,0,1,0,0,0,30,1.22,0.25,0.326,0.701,3.38,0.52,-2.0,-0.067,,,3일,before
8,2019-05-16,SS,1,KT,패배, 6:3,0,2.0,0,0,0.0,6,6,1,0,0,0,0,0,0,1,28,1.11,0.239,0.308,0.656,2.84,0.09,1.04,0.011,,,2일,before
9,2019-05-25,SS,1,KT,승리, 3:10,0,1.0,2,1,2.0,6,6,2,0,0,1,0,0,0,1,18,1.17,0.25,0.31,0.714,3.29,0.0,-1.48,0.0,,,7+일,before
10,2019-05-26,SS,1,KT,승리, 5:17,0,1.0,4,3,4.0,8,6,3,0,0,0,2,0,0,0,27,1.43,0.276,0.348,0.762,4.91,0.01,-3.48,0.0,,,1일,before
11,2019-06-15,SS,0,롯데,패배, 0:7,0,0.2,2,2,2.35,6,6,4,0,0,0,0,0,0,0,12,1.63,0.313,0.375,0.813,5.87,0.08,-1.94,-0.017,,,7+일,before
12,2019-09-19,SS,0,삼성,패배, 2:12,0,1.0,4,4,4.0,8,6,3,2,0,0,2,0,0,2,40,1.84,0.329,0.4,0.871,7.71,0.0,-3.48,-0.001,,,7+일,before
13,2021-09-02,SS,1,삼성,패배, 5:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.05,0.55,0.004,,,7+일,before
14,2021-09-04,SS,0,한화,패배, 2:6,0,1.0,0,0,0.0,6,4,1,0,0,0,1,0,1,1,25,1.0,0.143,0.333,0.476,0.0,0.03,0.55,0.001,,,2일,before
15,2021-09-10,SS,0,키움,패배, 3:4,0,1.0,0,0,0.0,6,4,2,1,0,0,1,0,1,0,23,1.67,0.273,0.467,0.831,0.0,0.53,0.55,0.017,,,6일,before
16,2021-09-14,SS,1,롯데,패배, 8:7,0,3.0,2,2,2.0,13,9,1,0,0,0,3,0,1,1,42,1.5,0.2,0.429,0.679,3.0,0.2,-0.34,-0.027,,,4일,before
17,2021-10-07,SS,1,LG,패배, 8:1,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,17,1.43,0.208,0.406,0.656,2.57,0.01,0.55,0.0,,,7+일,before
18,2021-10-15,SS,0,KT,패배, 7:7,0,1.0,0,0,0.0,5,3,0,0,0,0,2,0,0,1,17,1.5,0.185,0.405,0.627,2.25,0.71,0.15,-0.027,,,7+일,before
19,2021-10-17,SS,0,두산,패배, 2:5,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,14,1.44,0.194,0.39,0.616,2.0,0.13,0.55,0.006,,,2일,before
20,2021-10-21,SS,1,한화,패배, 13:2,0,3.0,1,0,1.0,13,10,1,1,0,0,3,0,0,1,55,1.42,0.171,0.37,0.59,1.5,0.01,0.66,0.0,,,4일,before
21,2021-10-29,SS,1,두산,패배, 11:5,0,2.1,3,3,3.0,13,10,2,0,0,1,3,0,0,1,40,1.53,0.176,0.373,0.648,3.14,0.16,-1.35,-0.043,,,7+일,before
22,2022-10-08,SS,1,KT,패배, 7:2,0,2.0,0,0,0.0,9,8,2,0,0,0,1,0,0,1,29,1.5,0.25,0.333,0.583,0.0,1.38,1.02,0.115,,,7+일,before
23,2023-04-16,SS,0,KT,패배, 2:14,0,2.0,5,4,5.0,11,9,4,0,0,0,2,0,0,0,44,3.0,0.444,0.545,0.989,18.0,0.04,-3.95,-0.007,,,7+일,after
24,2024-04-14,SS,1,KIA,패배, 5:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.1,0.61,0.008,,,7+일,after
25,2024-04-20,SS,1,삼성,패배, 1:0,0,1.0,0,0,0.0,5,4,2,1,0,0,1,1,0,1,15,1.5,0.286,0.375,0.804,0.0,1.11,0.61,0.052,,,6일,after
26,2024-04-23,SS,0,KT,패배, 6:9,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,4,1.29,0.25,0.333,0.708,0.0,0.11,0.25,0.003,,,3일,after
27,2024-04-25,SS,0,KT,패배, 0:9,0,2.0,1,1,1.0,8,7,2,1,0,0,1,0,0,0,39,1.38,0.267,0.353,0.753,2.08,0.12,1.23,-0.002,,,2일,after
28,2024-04-28,SS,1,두산,패배, 17:8,0,1.1,4,4,2.8,8,7,3,1,0,0,1,0,0,2,36,1.76,0.318,0.4,0.855,7.94,0.65,-1.61,-0.082,,,3일,after
29,2024-04-30,SS,1,SSG,승리, 2:8,0,1.0,0,0,0.0,4,3,0,0,0,0,0,0,1,1,13,1.5,0.28,0.379,0.779,6.75,0.05,0.61,0.003,,,2일,after
30,2024-05-01,SS,1,SSG,패배, 8:7,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,2,19,1.57,0.276,0.382,0.761,5.87,0.6,0.61,0.028,,,1일,after
31,2024-05-04,SS,0,KIA,패배, 2:10,0,1.0,4,4,3.5,8,5,2,1,0,0,3,1,0,0,27,1.96,0.294,0.429,0.841,9.35,0.33,-2.29,-0.042,,,3일,after
32,2024-05-09,SS,0,롯데,패배, 5:18,0,1.0,7,6,5.45,11,9,5,0,1,0,2,0,0,1,43,2.48,0.349,0.472,0.96,13.97,0.03,-5.36,-0.002,,,5일,after
33,2024-06-23,SS,0,KIA,패배, 1:4,0,0.1,0,0,0.0,3,3,2,0,0,0,0,0,0,1,12,2.6,0.37,0.482,0.982,13.5,0.13,0.13,0.002,,,7+일,after
34,2024-06-26,SS,1,두산,패배, 15:8,0,1.0,0,0,0.0,3,3,1,0,0,0,0,0,0,0,8,2.45,0.367,0.475,0.965,12.27,0.01,0.61,0.0,,,3일,after
35,2024-08-11,SS,1,키움,패배, 7:3,0,1.0,0,0,0.0,5,4,1,1,0,0,1,0,0,2,25,2.42,0.358,0.469,0.96,11.25,0.04,0.61,0.002,,,7+일,after
36,2024-08-15,SS,1,LG,패배, 17:3,0,2.0,2,2,2.0,11,10,4,0,1,0,0,0,1,1,32,2.36,0.365,0.467,0.975,10.93,0.0,-0.77,0.0,,,4일,after
