,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2024-03-23,SS,0,KIA,패배, 5:7,0,2.0,0,0,0.0,9,7,1,0,0,0,2,0,0,0,44,1.5,0.143,0.333,0.476,0.0,0.51,1.23,0.053,,,7+일,after
1,2024-03-29,SS,1,LG,패배, 3:0,0,1.0,1,1,1.0,5,4,1,0,0,0,1,0,0,1,21,1.67,0.182,0.357,0.539,3.0,0.25,-0.39,-0.033,,,6일,after
2,2024-03-31,SS,1,LG,승리, 4:8,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,18,1.5,0.2,0.333,0.533,2.25,0.02,0.61,0.001,,,2일,after
3,2024-04-05,SS,1,한화,승리, 7:11,0,0.1,3,3,1.95,4,3,2,0,0,0,1,0,0,1,17,2.08,0.278,0.409,0.687,8.31,0.34,-1.67,-0.039,,,5일,after
4,2024-04-07,SS,1,한화,승리, 3:4,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,11,1.69,0.238,0.36,0.598,6.75,1.81,-0.39,0.137,,W,2일,after
5,2024-04-09,SS,0,SSG,패배, 5:8,0,0.2,3,0,2.5,6,5,2,0,0,0,0,0,1,1,19,1.83,0.269,0.387,0.656,6.0,1.98,-1.93,-0.332,,L,2일,after
6,2024-04-12,SS,1,롯데,승리, 4:9,0,0.1,1,0,1.35,3,2,1,0,0,0,1,0,0,0,9,2.05,0.286,0.412,0.698,5.68,0.74,-1.4,-0.04,,,3일,after
7,2024-04-14,SS,1,롯데,승리, 5:7,0,1.1,0,0,0.0,8,7,1,1,0,0,1,0,0,0,30,1.96,0.257,0.381,0.667,4.7,0.63,-0.58,-0.012,,W,2일,after
8,2024-04-18,SS,1,KT,패배, 3:0,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,1,14,1.85,0.256,0.37,0.652,4.15,0.26,0.61,0.015,,,4일,after
9,2024-04-23,SS,1,KIA,패배, 5:2,0,0.1,0,0,0.35,2,2,1,0,0,0,0,0,0,0,6,1.89,0.268,0.375,0.668,4.0,0.45,-0.48,-0.033,,,5일,after
10,2024-04-24,SS,1,KIA,패배, 6:4,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,1,17,1.8,0.25,0.365,0.638,3.6,0.73,0.61,0.034,,,1일,after
11,2024-04-27,SS,1,삼성,패배, 11:0,0,0.1,4,3,3.85,5,3,2,0,0,0,0,0,2,0,17,1.94,0.277,0.404,0.702,6.1,0.57,-3.26,-0.088,,,3일,after
12,2024-05-12,SS,0,한화,패배, 3:8,1,3.0,2,0,2.0,14,12,2,0,0,0,2,0,0,5,62,1.8,0.254,0.38,0.651,4.73,1.16,-0.16,-0.093,54.0,L,7+일,after
13,2024-05-24,SS,0,KT,패배, 4:5,1,4.2,4,4,4.0,20,17,4,1,0,2,3,0,0,1,76,1.72,0.25,0.374,0.729,5.5,1.09,-1.19,-0.235,38.0,,7+일,after
14,2024-05-29,SS,0,삼성,승리, 11:5,0,1.0,0,0,0.0,4,3,1,0,0,0,0,0,1,0,8,1.68,0.253,0.379,0.733,5.21,0.18,0.61,0.003,,,5일,after
15,2024-06-02,SS,1,SSG,패배, 6:2,1,2.0,2,2,2.0,11,8,3,0,0,1,3,0,0,1,55,1.81,0.264,0.396,0.787,5.57,0.79,-0.77,-0.114,40.0,L,4일,after
16,2024-09-19,SS,0,SSG,패배, 6:8,1,3.1,3,3,3.0,15,13,3,0,0,0,2,0,0,3,72,1.77,0.26,0.388,0.758,5.92,1.22,-1.16,-0.212,43.0,L,7+일,after
17,2024-09-27,SS,0,KT,패배, 7:8,1,3.1,5,5,5.0,23,19,9,2,0,1,3,0,1,2,74,1.99,0.294,0.417,0.846,6.83,0.61,-3.16,-0.301,21.0,,7+일,after
