,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2008-03-29,SS,0,SK,패배, 4:5,0,4.0,0,0,0.0,17,12,2,0,0,0,3,0,0,4,68,1.25,0.167,0.333,0.5,0.0,,,,,,7+일,before
1,2008-04-01,SS,1,삼성,패배, 6:2,0,0.2,0,0,0.0,4,2,0,0,0,0,1,0,1,0,16,1.29,0.143,0.368,0.511,0.0,,,,,,3일,before
2,2008-04-02,SS,1,삼성,패배, 5:4,0,1.2,1,0,0.0,9,6,2,0,0,0,2,0,0,2,29,1.58,0.2,0.407,0.607,0.0,,,,,L,1일,before
3,2008-04-04,SS,1,롯데,패배, 6:4,0,1.0,2,2,0.0,7,5,1,0,0,0,1,0,1,2,21,1.64,0.2,0.412,0.612,2.45,,,,,,2일,before
4,2008-04-09,SS,0,우리,패배, 3:7,0,0.2,0,0,0.0,3,3,2,0,0,0,0,0,0,0,6,1.75,0.25,0.432,0.682,2.25,,,,,,5일,before
5,2008-04-12,SS,0,두산,승리, 6:5,0,3.0,0,0,0.0,11,11,2,2,0,0,0,0,0,6,46,1.45,0.231,0.375,0.657,1.64,,,,,W,3일,before
6,2008-04-15,SS,1,KIA,승리, 9:10,0,0.1,0,0,0.0,2,2,0,0,0,0,0,0,0,0,7,1.41,0.22,0.36,0.628,1.59,,,,BLSV,W,3일,before
7,2008-04-16,SS,1,KIA,패배, 1:0,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1,1.37,0.214,0.353,0.615,1.54,,,,,,1일,before
8,2008-04-19,SS,0,삼성,승리, 4:1,0,2.0,0,0,0.0,9,8,2,2,0,0,1,0,0,1,44,1.39,0.22,0.35,0.65,1.32,,,,,HD,3일,before
9,2008-04-23,SS,1,한화,패배, 8:4,0,0.2,1,1,0.0,4,3,1,0,0,0,1,0,0,0,18,1.47,0.226,0.359,0.661,1.88,,,,,HD,4일,before
10,2008-04-26,SS,1,우리,패배, 1:0,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,10,1.37,0.214,0.343,0.629,1.76,,,,,,3일,before
11,2008-04-27,SS,1,우리,승리, 7:8,0,2.1,1,1,0.0,12,10,3,0,0,0,1,0,1,1,45,1.42,0.227,0.354,0.642,2.04,,,,,,1일,before
12,2008-05-01,SS,0,롯데,패배, 5:8,0,1.0,3,2,0.0,6,4,2,1,0,0,1,0,0,0,25,1.5,0.243,0.369,0.683,2.89,,,,,,4일,before
13,2008-05-04,SS,1,두산,패배, 8:3,0,4.0,0,0,0.0,16,13,4,0,0,0,3,0,0,0,55,1.54,0.253,0.38,0.693,2.38,,,,,,3일,before
14,2008-05-06,SS,1,SK,패배, 7:5,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,6,1.59,0.253,0.386,0.699,2.38,,,,,,2일,before
15,2008-05-08,SS,1,SK,패배, 6:4,0,2.1,0,0,0.0,11,11,4,1,0,0,0,0,0,1,43,1.6,0.266,0.384,0.714,2.16,,,,,,2일,before
