,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2006-06-08,SS,1,롯데,승리, 8:17,0,1.0,1,1,0.0,5,5,2,0,0,0,0,0,0,0,14,2.00,0.4,0.4,0.8,9.00,,,,,,7+일,
1,2006-06-13,SS,0,현대,패배, 1:12,0,2.1,4,4,0.0,14,12,7,3,0,0,1,0,0,1,53,3.00,0.529,0.526,1.232,13.50,,,,,,5일,
2,2006-08-08,SS,0,한화,승리, 9:2,0,0.1,0,0,0.0,3,2,1,0,0,0,1,0,0,0,11,3.27,0.526,0.545,1.229,12.27,,,,,,7+일,
3,2006-08-09,SS,0,한화,패배, 2:8,0,1.0,1,1,0.0,5,5,2,1,0,0,0,0,0,0,18,3.00,0.5,0.519,1.186,11.57,,,,,,1일,
4,2007-04-25,SS,0,삼성,패배, 3:7,0,0.2,1,1,0.0,3,3,1,0,0,0,0,0,0,0,8,1.50,0.333,0.333,0.666,13.50,,,,,,7+일,
5,2007-04-26,SS,0,삼성,패배, 1:5,0,2.0,0,0,0.0,6,6,1,0,0,0,0,0,0,1,29,0.75,0.222,0.222,0.444,3.38,,,,,,1일,
6,2007-04-29,SS,1,한화,패배, 7:2,0,3.0,3,3,0.0,15,14,6,3,0,1,1,0,0,1,54,1.59,0.348,0.375,0.984,6.35,,,,,,3일,
7,2007-05-03,SS,0,롯데,승리, 4:1,1,6.0,1,1,0.0,24,21,4,0,1,0,2,0,0,0,84,1.29,0.273,0.319,0.774,3.86,,,,58,,4일,
8,2007-05-11,SS,1,SK,패배, 9:6,1,4.2,4,4,0.0,20,16,5,1,0,0,2,0,2,2,87,1.35,0.283,0.358,0.791,4.96,,,,38,,7+일,
9,2007-05-17,SS,0,현대,승리, 4:3,1,4.1,2,2,0.0,22,20,8,1,0,1,1,1,1,2,71,1.50,0.313,0.382,0.857,4.79,,,,40,,6일,
10,2007-05-23,SS,1,롯데,패배, 7:3,1,5.0,3,3,0.0,22,19,5,2,0,0,2,0,0,0,74,1.48,0.303,0.369,0.824,4.91,,,,43,L,6일,
11,2007-05-29,SS,1,현대,패배, 5:2,1,2.0,3,3,0.0,12,9,4,1,0,0,2,0,0,0,33,1.59,0.315,0.385,0.848,5.53,,,,34,L,6일,
12,2007-06-02,SS,0,롯데,패배, 4:6,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,1,18,1.48,0.298,0.367,0.806,5.16,,,,,,4일,
13,2007-06-03,SS,0,롯데,패배, 1:12,0,0.2,3,3,0.0,8,7,5,2,0,0,1,0,0,1,25,1.65,0.322,0.39,0.861,5.93,,,,,,1일,
14,2007-06-05,SS,1,두산,패배, 10:4,0,2.0,2,2,0.0,9,9,2,1,1,0,0,0,0,2,23,1.61,0.315,0.379,0.856,6.12,,,,,,2일,
15,2007-06-22,SS,0,두산,패배, 3:9,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,12,1.59,0.313,0.376,0.846,5.94,,,,,,7+일,
16,2007-08-01,SS,0,SK,패배, 6:8,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,1,18,1.59,0.309,0.375,0.838,5.82,,,,,,7+일,
17,2007-08-03,SS,1,롯데,패배, 15:4,0,2.0,5,5,0.0,12,10,5,1,0,0,1,0,0,0,32,1.67,0.322,0.384,0.857,6.75,,,,,,2일,
