,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2015-09-24,SS,1,두산,패배, 10:6,0,1.1,0,0,0.0,4,4,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.11,1.15,0.011,,,7+일,before
1,2015-09-30,SS,1,KIA,패배, 13:1,0,0.0,2,0,0.8,2,1,0,0,0,0,1,0,0,0,11,0.75,0.0,0.167,0.167,0.0,0.06,-1.06,-0.004,,,6일,before
2,2016-04-21,SS,1,한화,패배, 9:5,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.12,0.64,0.004,,,7+일,before
3,2016-05-20,SS,1,두산,패배, 19:5,0,2.1,6,6,4.45,13,9,3,0,0,1,4,0,0,0,54,2.63,0.3,0.5,1.1,20.25,0.07,-3.88,-0.037,,,7+일,before
4,2017-06-23,SS,0,두산,패배, 1:9,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,,,7+일,before
5,2017-06-27,SS,1,LG,승리, 10:11,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.05,0.62,0.002,,,4일,before
6,2017-07-09,SS,1,SK,패배, 6:0,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,2,18,0.43,0.125,0.125,0.25,0.0,0.01,0.61,0.001,,,7+일,before
7,2019-03-23,SS,1,키움,패배, 7:4,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.11,0.52,0.008,,,7+일,before
8,2019-03-27,SS,1,삼성,패배, 23:4,0,0.2,1,1,0.65,5,4,2,1,0,0,1,0,0,1,15,1.8,0.286,0.375,0.804,5.4,0.7,-0.5,-0.035,,,4일,before
9,2019-03-28,SS,1,삼성,패배, 12:7,0,0.2,2,0,2.7,6,3,1,0,0,0,2,1,0,0,22,2.57,0.3,0.429,0.829,3.86,0.17,-2.47,-0.03,,,1일,before
10,2019-06-27,SS,1,KT,패배, 10:2,0,1.2,0,0,0.7,8,8,3,0,0,0,0,0,0,1,31,2.25,0.333,0.409,0.798,2.25,0.01,0.05,-0.001,,,7+일,before
11,2019-07-02,SS,0,SK,패배, 1:10,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,1,5,1.93,0.3,0.375,0.725,1.93,0.0,0.42,0.0,,,5일,before
12,2019-07-03,SS,0,SK,패배, 5:8,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,17,1.59,0.261,0.333,0.637,1.59,0.33,1.2,0.023,,,1일,before
13,2019-07-05,SS,0,키움,패배, 1:14,0,3.0,1,1,1.0,14,11,2,1,0,0,3,0,0,3,53,1.62,0.235,0.341,0.635,2.08,0.0,0.56,0.0,,,2일,before
14,2019-07-11,SS,1,NC,패배, 4:0,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,8,1.45,0.216,0.318,0.588,1.86,0.15,0.52,0.012,,,6일,before
15,2019-07-14,SS,1,두산,패배, 8:2,0,0.0,2,2,1.15,3,1,1,0,0,0,2,0,0,0,9,1.76,0.237,0.362,0.651,3.72,0.08,-2.1,-0.009,,,3일,before
16,2020-05-16,SS,0,LG,패배, 1:3,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.08,0.58,0.006,,,7+일,after
