,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2013-07-07,SS,1,삼성,패배, 8:2,0,0.2,1,1,1.0,5,5,3,0,0,0,0,0,0,1,18,4.50,0.6,0.6,1.2,13.50,0.34,-0.93,-0.011,,,7+일,before
1,2013-07-11,SS,0,한화,패배, 0:6,0,0.2,1,1,1.0,4,3,1,1,0,0,1,0,0,1,18,3.75,0.5,0.556,1.181,13.50,0.02,-0.79,-0.003,,,4일,before
2,2013-09-06,SS,1,KIA,승리, 5:6,0,0.0,3,3,2.15,3,2,2,1,0,0,1,0,0,0,13,6.00,0.6,0.667,1.467,33.75,0.43,-2.46,-0.077,,,7+일,before
3,2014-06-20,SS,1,KIA,패배, 7:1,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,1,12,1.00,0.25,0.25,0.5,0.00,0.01,0.64,0.001,,,7+일,before
4,2014-06-28,SS,1,넥센,패배, 8:1,0,0.1,1,1,0.65,2,2,1,0,0,0,0,0,0,0,9,1.50,0.333,0.333,0.666,6.75,0.23,0.09,0.002,,,7+일,before
5,2014-06-29,SS,1,넥센,패배, 7:0,0,1.0,0,0,0.0,4,4,1,1,0,0,0,0,0,0,10,1.29,0.3,0.3,0.7,3.86,0.01,0.64,0.0,,,1일,before
6,2014-07-05,SS,1,삼성,패배, 6:0,0,1.0,0,0,1.2,6,3,1,0,0,0,2,0,0,0,18,1.80,0.308,0.375,0.76,2.70,0.19,-0.73,-0.02,,,6일,before
7,2014-07-06,SS,1,삼성,패배, 7:4,0,0.1,0,0,0.7,1,1,1,1,0,0,0,0,0,0,5,1.91,0.357,0.412,0.912,2.45,0.11,0.26,-0.015,,,1일,before
8,2014-07-10,SS,0,LG,승리, 13:12,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,6,2.18,0.357,0.444,0.944,2.45,0.99,-0.27,-0.026,,,4일,before
9,2014-07-11,SS,1,한화,패배, 9:6,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,10,1.71,0.294,0.381,0.793,1.93,0.1,0.64,0.008,,,1일,before
10,2014-07-12,SS,1,한화,승리, 3:6,0,1.1,0,0,0.0,5,4,1,0,0,0,1,0,0,0,21,1.67,0.286,0.385,0.766,1.50,1.12,1.06,0.073,,W,1일,before
11,2014-07-16,SS,0,NC,패배, 8:10,0,0.0,1,1,0.65,2,1,1,0,0,0,1,0,0,0,7,2.00,0.318,0.429,0.838,3.00,1.3,-0.87,-0.057,,,4일,before
12,2014-07-29,SS,0,롯데,승리, 12:1,0,1.0,0,0,0.0,4,4,0,0,0,0,0,0,0,1,18,1.71,0.269,0.375,0.721,2.57,0.02,0.64,0.0,,,7+일,before
13,2014-07-30,SS,0,롯데,패배, 1:3,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1,1.64,0.259,0.364,0.697,2.45,0.44,0.53,0.008,,,1일,before
14,2014-07-31,SS,0,롯데,패배, 3:13,0,2.0,6,6,5.5,12,12,7,4,0,1,0,0,0,2,52,2.04,0.359,0.422,1.012,7.71,0.04,-2.85,0.0,,,1일,before
15,2014-08-08,SS,1,넥센,패배, 15:10,0,1.1,0,0,0.0,3,3,0,0,0,0,0,0,0,2,22,1.78,0.333,0.396,0.944,6.75,0.09,0.9,0.009,,,7+일,before
16,2014-08-14,SS,0,넥센,패배, 2:8,0,1.0,1,1,0.3,5,4,1,0,0,0,0,0,1,2,25,1.71,0.326,0.396,0.918,6.94,0.07,0.64,0.002,,,6일,before
17,2014-08-19,SS,0,SK,승리, 12:6,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,2,10,1.62,0.313,0.382,0.882,6.57,0.02,0.35,0.001,,,5일,before
18,2014-08-20,SS,0,SK,패배, 3:6,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,2,22,1.65,0.308,0.383,0.864,6.08,0.12,0.64,0.006,,,1일,before
19,2014-08-21,SS,0,삼성,패배, 1:5,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,15,1.53,0.291,0.365,0.82,5.65,0.21,1.69,0.016,,,1일,before
20,2014-08-23,SS,1,NC,패배, 9:7,0,0.0,0,0,1.55,2,2,2,0,0,0,0,0,0,0,10,1.67,0.316,0.385,0.859,5.65,2.93,-2.4,-0.26,,,2일,before
