,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2011-07-01,SS,1,한화,승리, 4:12,0,0.2,1,1,0.0,5,4,2,0,0,0,0,0,1,1,14,3.0,0.5,0.6,1.1,13.5,,,,,,7+일,before
1,2011-07-31,SS,1,넥센,패배, 9:4,0,1.0,1,1,0.0,4,3,1,1,0,0,0,0,0,0,16,1.8,0.429,0.444,1.015,10.8,,,,,,7+일,before
2,2011-08-03,SS,0,두산,패배, 4:5,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,5,1.13,0.3,0.333,0.733,6.75,,,,,,3일,before
3,2011-08-10,SS,1,LG,패배, 13:4,0,1.2,2,2,0.0,10,8,2,0,0,0,2,0,0,1,35,1.62,0.278,0.364,0.697,8.31,,,,,,7일,before
4,2011-10-06,SS,1,SK,패배, 6:5,0,1.0,0,0,0.0,4,4,2,1,0,0,0,0,0,1,17,1.69,0.318,0.385,0.794,6.75,,,,,,7+일,before
5,2015-04-03,SS,0,KT,승리, 5:0,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,1,23,1.0,0.0,0.25,0.25,0.0,0.14,0.61,0.008,,,7+일,before
6,2015-04-07,SS,1,NC,패배, 5:3,0,1.0,0,0,0.0,5,3,0,0,0,0,1,1,1,1,26,1.0,0.0,0.333,0.333,0.0,0.47,0.61,0.017,,,4일,before
7,2015-04-08,SS,1,NC,패배, 13:5,0,3.0,2,2,2.0,11,10,1,0,0,1,1,0,0,1,37,0.8,0.063,0.25,0.5,3.6,0.0,0.28,0.0,,,1일,before
8,2015-04-11,SS,0,삼성,패배, 2:5,0,1.0,0,0,0.0,5,4,1,1,0,0,1,0,0,2,29,1.0,0.1,0.28,0.58,3.0,0.24,0.61,0.012,,,3일,before
9,2015-04-16,SS,0,LG,패배, 5:10,0,1.2,0,0,0.0,8,5,0,0,0,0,3,0,0,3,44,1.17,0.08,0.303,0.543,2.35,1.06,0.75,0.054,,,5일,before
10,2015-04-19,SS,1,넥센,패배, 15:4,0,2.2,1,1,1.5,13,12,4,1,1,0,1,0,0,2,62,1.35,0.162,0.326,0.677,2.61,0.01,-0.91,0.0,,,3일,before
11,2015-04-22,SS,1,롯데,패배, 7:6,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,0,24,1.14,0.14,0.288,0.59,2.19,0.06,1.23,0.008,,,3일,before
12,2015-04-26,SS,0,두산,패배, 3:4,1,5.0,1,1,1.0,21,19,5,0,0,0,2,0,0,1,82,1.21,0.177,0.301,0.591,2.08,1.17,2.06,0.158,52,,4일,before
13,2015-05-05,SS,0,NC,패배, 3:7,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,14,1.15,0.169,0.289,0.566,1.96,0.02,0.61,0.001,,,7+일,before
14,2015-05-08,SS,0,넥센,패배, 4:5,1,4.0,4,4,4.0,16,15,3,0,0,3,0,0,1,6,78,1.07,0.175,0.283,0.658,3.22,0.58,-1.55,-0.269,46,,3일,before
15,2015-05-13,SS,1,KT,승리, 8:9,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,5,1.06,0.173,0.28,0.65,3.18,0.24,0.4,0.007,,W,5일,before
16,2015-05-16,SS,1,두산,패배, 7:5,0,2.2,1,1,1.0,10,7,1,1,0,0,3,0,0,0,44,1.11,0.17,0.291,0.655,3.2,1.69,1.8,0.079,,,3일,before
17,2015-05-20,SS,0,롯데,승리, 9:5,0,4.0,1,1,1.5,17,15,4,0,0,0,2,0,0,9,72,1.16,0.184,0.3,0.65,3.07,1.41,0.45,0.006,,W,4일,before
18,2015-05-27,SS,0,한화,패배, 4:8,0,1.1,2,2,0.95,8,3,1,1,0,0,3,1,0,0,34,1.24,0.189,0.317,0.675,3.52,1.09,-0.14,-0.011,,,7일,before
19,2015-05-30,SS,1,NC,패배, 11:6,0,1.2,2,2,0.95,7,4,1,0,0,0,2,1,0,3,29,1.27,0.191,0.326,0.681,3.9,0.42,0.69,0.028,,,3일,before
20,2015-06-03,SS,0,두산,패배, 1:8,0,0.1,2,2,2.0,6,3,2,0,0,0,2,0,0,1,25,1.38,0.204,0.343,0.706,4.41,0.26,-3.24,-0.053,,,4일,before
21,2015-06-12,SS,1,삼성,패배, 10:2,0,3.2,4,4,5.05,17,16,6,1,0,3,1,0,0,2,60,1.43,0.225,0.351,0.793,4.95,0.26,-2.63,-0.121,,,7+일,before
22,2015-06-17,SS,0,LG,패배, 0:5,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,15,1.39,0.22,0.344,0.776,4.82,0.04,0.61,0.003,,,5일,before
23,2015-06-21,SS,1,KT,승리, 0:7,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,3,17,1.38,0.221,0.342,0.768,4.7,0.03,0.61,0.003,,,4일,before
24,2015-06-26,SS,1,두산,패배, 9:1,0,1.2,6,6,5.65,15,11,6,2,0,1,4,0,0,1,67,1.58,0.245,0.369,0.838,5.85,0.56,-5.37,-0.234,,,5일,before
25,2015-07-02,SS,1,한화,패배, 14:7,0,3.1,0,0,0.0,10,10,1,0,0,0,0,0,0,1,32,1.48,0.236,0.355,0.801,5.4,0.03,2.32,0.006,,,6일,before
26,2015-07-04,SS,0,KT,패배, 3:12,0,1.0,3,3,1.25,7,5,2,0,0,0,2,0,0,2,31,1.53,0.241,0.363,0.807,5.89,0.25,-1.6,-0.016,,,2일,before
27,2015-07-05,SS,0,KT,패배, 2:9,0,1.2,0,0,0.35,5,4,0,0,0,0,0,0,0,2,22,1.48,0.235,0.354,0.788,5.67,0.08,1.46,0.001,,,1일,before
28,2015-07-09,SS,0,넥센,패배, 4:16,1,1.2,8,0,8.0,15,12,6,1,0,2,3,0,0,1,68,1.62,0.253,0.371,0.849,5.48,1.12,-6.89,-0.38,25,L,4일,before
29,2015-07-26,SS,1,롯데,패배, 4:2,0,0.0,2,2,1.15,2,0,0,0,0,0,2,0,0,0,16,1.66,0.253,0.377,0.855,5.85,3.16,-1.84,-0.319,,L,7+일,before
30,2015-08-04,SS,0,넥센,패배, 6:11,0,2.0,3,3,3.0,11,11,5,1,0,0,0,0,0,2,48,1.69,0.265,0.381,0.862,6.16,0.01,-2.77,-0.006,,,7+일,before
31,2015-08-12,SS,1,두산,승리, 3:10,0,2.0,1,1,1.0,8,8,2,0,0,1,0,0,0,1,36,1.66,0.264,0.376,0.863,6.1,0.03,0.23,0.004,,,7+일,before
32,2015-08-14,SS,1,삼성,승리, 1:13,0,4.0,1,1,1.0,16,15,3,0,0,1,1,0,0,3,63,1.62,0.259,0.368,0.849,5.82,0.0,1.45,0.001,,SV,2일,before
33,2015-08-21,SS,0,롯데,패배, 1:9,0,2.1,0,0,0.0,8,8,1,0,0,0,0,0,0,1,27,1.57,0.255,0.36,0.828,5.59,0.02,1.48,0.004,,,7일,before
34,2015-08-26,SS,0,SK,패배, 4:5,1,5.0,0,0,0.0,19,16,2,0,0,0,3,0,0,5,87,1.52,0.246,0.354,0.799,5.14,1.19,2.06,0.292,65,,5일,before
35,2015-09-01,SS,0,한화,패배, 2:8,1,2.2,6,6,6.0,16,13,7,0,1,2,2,0,0,4,63,1.6,0.261,0.366,0.848,5.76,1.2,-5.28,-0.378,22,L,6일,before
36,2015-09-06,SS,0,삼성,패배, 3:9,0,1.2,1,1,1.0,10,8,3,0,0,0,2,1,0,3,45,1.63,0.265,0.371,0.85,5.75,0.4,-0.03,-0.029,,,5일,before
37,2015-09-08,SS,1,NC,패배, 5:1,0,1.1,1,1,1.5,7,5,1,0,0,0,2,0,0,1,29,1.65,0.263,0.372,0.845,5.77,0.59,-1.02,-0.091,,,2일,before
38,2015-09-13,SS,1,LG,패배, 5:2,1,3.0,5,5,5.0,15,13,4,0,0,2,2,0,0,3,62,1.66,0.265,0.373,0.86,6.15,0.93,-3.16,-0.292,32,L,5일,before
39,2015-09-19,SS,0,SK,패배, 4:8,0,4.0,2,2,2.85,20,15,5,0,0,1,3,0,1,6,88,1.68,0.269,0.378,0.868,6.07,0.26,0.67,-0.036,,,6일,before
40,2015-09-24,SS,0,NC,패배, 5:16,0,1.2,1,1,1.0,9,6,1,0,0,1,2,0,1,3,47,1.68,0.267,0.38,0.873,6.05,0.01,-0.77,0.0,,,5일,before
41,2015-09-30,SS,0,롯데,승리, 13:1,0,2.0,1,1,1.0,9,9,2,1,0,0,0,0,0,6,35,1.66,0.266,0.376,0.865,6.01,0.03,0.23,0.001,,,6일,before
42,2015-10-04,SS,0,두산,패배, 0:9,1,2.2,2,2,2.0,16,10,3,0,0,0,6,0,0,1,70,1.72,0.267,0.384,0.867,6.04,1.12,-0.7,-0.117,39,L,4일,before
43,2016-04-08,SS,0,KT,패배, 0:4,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,15,0.0,0.0,0.0,0.0,0.0,0.04,0.64,0.003,,,7+일,before
44,2016-04-10,SS,0,KT,패배, 6:9,0,2.0,2,2,2.0,10,9,2,1,0,1,1,0,0,3,31,1.0,0.167,0.231,0.731,6.0,0.65,-0.72,-0.063,,,2일,before
45,2016-04-13,SS,0,SK,패배, 0:2,0,1.1,0,0,0.0,5,5,2,0,0,0,0,0,0,2,17,1.15,0.235,0.278,0.749,4.15,0.26,0.78,0.02,,,3일,before
46,2016-04-19,SS,1,삼성,승리, 2:7,0,0.2,1,1,1.0,6,5,3,0,0,0,1,0,0,0,24,1.8,0.318,0.375,0.875,5.4,0.11,-1.34,-0.01,,,6일,before
47,2016-04-21,SS,1,삼성,패배, 8:1,0,4.2,0,0,0.0,19,16,3,1,0,0,3,0,0,5,69,1.55,0.263,0.349,0.744,2.79,0.01,2.93,0.004,,,2일,before
48,2016-04-24,SS,0,롯데,승리, 11:4,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,1,13,1.5,0.262,0.34,0.792,3.38,0.01,-0.36,0.001,,,3일,before
49,2016-04-28,SS,0,한화,패배, 2:3,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,1,13,1.46,0.261,0.333,0.768,3.09,2.67,0.64,0.137,,,4일,before
50,2016-04-29,SS,1,두산,승리, 1:4,0,1.2,0,0,0.0,6,5,0,0,0,0,1,0,0,2,27,1.35,0.235,0.316,0.708,2.7,1.41,1.72,0.125,,SV,1일,before
51,2016-05-01,SS,1,두산,패배, 4:1,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,9,1.33,0.236,0.311,0.693,2.51,0.11,0.64,0.008,,,2일,before
52,2016-05-03,SS,1,롯데,승리, 2:3,0,1.0,0,0,0.5,4,3,0,0,0,0,1,1,0,1,18,1.3,0.224,0.308,0.67,2.35,3.55,0.75,0.176,,HD,2일,before
53,2016-05-04,SS,1,롯데,승리, 2:3,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,6,1.28,0.22,0.303,0.659,2.3,1.41,0.13,0.036,,SV,1일,before
54,2016-05-08,SS,0,넥센,패배, 6:7,0,1.1,2,2,1.5,8,6,2,1,0,1,2,1,0,1,37,1.41,0.231,0.324,0.739,3.18,2.97,-0.8,-0.366,BLSV,L,4일,before
55,2016-05-12,SS,1,KT,승리, 6:10,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,14,1.33,0.221,0.312,0.709,3.0,0.18,0.64,0.014,,,4일,before
56,2016-05-13,SS,1,한화,승리, 2:4,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,0,11,1.34,0.214,0.313,0.699,2.89,1.96,0.66,0.082,,HD,1일,before
57,2016-05-15,SS,1,한화,승리, 7:8,0,1.2,3,3,4.2,11,11,7,1,0,0,0,0,0,2,37,1.57,0.272,0.352,0.784,3.98,2.26,-3.25,-0.284,,,2일,before
58,2016-05-21,SS,1,SK,패배, 8:7,0,1.1,0,0,0.0,7,5,1,0,0,0,1,0,1,0,33,1.57,0.267,0.357,0.776,3.74,0.56,0.2,0.016,,,6일,before
