,id,date,from,to,statizId,trade type,resource,주포지션,before_regular_war_sum,after_regular_war_sum,before_regular_owar_sum,after_regular_owar_sum,before_regular_dwar_sum,after_regular_dwar_sum,before_regular_win_sum,after_regular_win_sum,before_regular_lose_sum,after_regular_lose_sum,before_regular_hold_sum,after_regular_hold_sum,before_regular_save_sum,after_regular_save_sum,before_regular_era_avg,after_regular_era_avg,before_regular_whip_avg,after_regular_whip_avg
0,1,2020-01-28,키움,KIA,10404,player,장영석,3B,-1.26,-1.12,0.42,-0.34,-1.7,-0.79,,,,,,,,,,,,
1,1,2020-01-28,KIA,키움,11260,player,박준태,CF,0.44,0.62,0.41,1.57,0.01,-0.94,,,,,,,,,,,,
2,2,2020-04-06,키움,롯데,13094,player,추재현,RF,0.05,0.48,-0.03,0.27,0.08,0.22,,,,,,,,,,,,
3,2,2020-04-06,롯데,키움,11422,player,전병우,3B,0.56,0.08,0.05,-1.19,0.51,1.26,,,,,,,,,,,,
4,2,2020-04-06,롯데,키움,11399,player,차재용,P,0.11,0.11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624,3.348,1.493,1.584
5,3,2020-05-29,두산,SSG,11108,player,이흥련,C,-0.02,-0.45,-0.04,0.15,0.01,-0.59,,,,,,,,,,,,
6,3,2020-05-29,두산,SSG,11207,player,김경호,LF,-0.17,-0.5,-0.2,-0.46,0.02,-0.05,,,,,,,,,,,,
7,3,2020-05-29,SSG,두산,12678,player,이승진,P,0.1,0.64,,,,,0.0,6.0,1.0,9.0,1.0,21.0,0.0,2.0,5.73,5.542,1.567,1.538
8,3,2020-05-29,SSG,두산,12921,player,권기영,C,,,,,,,,,,,,,,,,,,
9,4,2020-06-07,두산,KIA,10894,player,류지혁,SS,6.24,4.49,3.69,4.95,2.56,-0.44,,,,,,,,,,,,
10,4,2020-06-07,KIA,두산,10696,player,홍건희,P,1.28,6.3,,,,,9.0,16.0,20.0,27.0,5.0,50.0,5.0,53.0,6.23,3.378,1.698,1.375
11,5,2020-06-18,SSG,한화,11268,player,노수광,RF,4.63,0.96,4.44,0.74,0.19,0.22,,,,,,,,,,,,
12,5,2020-06-18,한화,SSG,10609,player,이태양,P,7.21,5.81,,,,,20.0,18.0,35.0,17.0,22.0,11.0,1.0,0.0,5.058,4.544,1.423,1.371
13,6,2020-08-12,NC,KIA,11164,player,장현식,P,3.54,4.39,,,,,19.0,14.0,18.0,18.0,11.0,80.0,2.0,5.0,5.541,4.521,1.581,1.58
